Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	16	7.079646017699115	1.7302489428925113E-5	P62909, P50882, P46791, Q7ZWJ4, P34519, P46782, Q9FY65, B4PEU8, P62083, Q7PQV7, P62282, Q8VEM8, P36241, Q5E973, Q4R7Y2, O16797	204	36	1536	3.34640522875817	0.017714840386202857	0.017873471580079642	0.017873471580079642
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	7	3.0973451327433628	0.0022969050199869016	Q9VWH4, P53596, P04636, Q01205, Q94517, O17214, Q17GM7	204	12	1536	4.392156862745098	0.907025684560779	0.875206815269283	0.875206815269283
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	6	2.6548672566371683	0.0030903393010450575	P20108, Q61941, P54399, Q9V3P0, Q5E947, O14530	204	9	1536	5.019607843137255	0.9591260917977616	0.875206815269283	0.875206815269283
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	2.2123893805309733	0.0035827071021837776	P50882, P47826, P36241, Q9UET6, O16797	204	6	1536	6.2745098039215685	0.9754632184545913	0.875206815269283	0.875206815269283
GOTERM_BP_DIRECT	GO:0008340~determination of adult lifespan	10	4.424778761061947	0.004236238215243384	P07207, P46461, G5ECN9, Q9XTL9, Q9JHR7, P13607, Q9V3P0, Q9VEN1, P53703, Q94517	204	26	1536	2.895927601809955	0.9875412151967756	0.875206815269283	0.875206815269283
GOTERM_BP_DIRECT	GO:0015074~DNA integration	5	2.2123893805309733	0.02175455396322729	Q99315, P0CT39, P10272, Q7LHG5, Q6R2W3	204	9	1536	4.183006535947713	0.9999999998642896	1.0	1.0
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	7	3.0973451327433628	0.02321214881898215	P20108, P62909, Q32QL6, Q03468, Q9V3P0, Q5E947, Q9WVS6	204	18	1536	2.928104575163399	0.9999999999709157	1.0	1.0
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	14	6.1946902654867255	0.044091954015034025	Q61941, Q9V774, Q9V3P0, Q05762, P13697, A0JPQ8, P20108, Q91VD9, Q9NZ01, P0C2X9, Q5E947, Q68FU3, Q9C8L4, Q91W43	204	60	1536	1.7568627450980394	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0070050~neuron cellular homeostasis	3	1.3274336283185841	0.04761806490431627	P91645, P46461, Q9WVS6	204	3	1536	7.529411764705882	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006108~malate metabolic process	3	1.3274336283185841	0.04761806490431627	P04636, O17214, P13697	204	3	1536	7.529411764705882	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032197~transposition, RNA-mediated	3	1.3274336283185841	0.04761806490431627	Q99315, Q7LHG5, O00370	204	3	1536	7.529411764705882	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	3.0973451327433628	0.048343290119947924	P54399, Q7SF72, P52013, P50991, Q10147, Q9D868, Q4R6V2	204	21	1536	2.509803921568628	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051262~protein tetramerization	4	1.7699115044247788	0.07683472523306131	P50514, P04040, O17214, P13697	204	8	1536	3.764705882352941	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030708~germarium-derived female germ-line cyst encapsulation	3	1.3274336283185841	0.08701259516697273	P07207, P00528, Q9VEN1	204	4	1536	5.647058823529412	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051881~regulation of mitochondrial membrane potential	3	1.3274336283185841	0.08701259516697273	P20108, Q91VD9, Q9WVS6	204	4	1536	5.647058823529412	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030174~regulation of DNA-dependent DNA replication initiation	3	1.3274336283185841	0.08701259516697273	Q6GL41, Q6NX31, Q498J7	204	4	1536	5.647058823529412	1.0	1.0	1.0
