Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0015991~ATP hydrolysis coupled proton transport	4	3.4482758620689653	0.005192212950508637	Q5TTG1, Q9V7D2, P13607, P49712	105	6	1536	9.752380952380953	0.9805662624160714	1.0	1.0
GOTERM_BP_DIRECT	GO:0007400~neuroblast fate determination	3	2.586206896551724	0.01302569287250483	P07207, Q8SX83, Q8MQJ9	105	3	1536	14.628571428571428	0.999951075500424	1.0	1.0
GOTERM_BP_DIRECT	GO:0006412~translation	7	6.0344827586206895	0.03069189491346005	P46791, Q8VEM8, P36241, Q5E973, O16797, P62083, Q7PQV7	105	36	1536	2.8444444444444446	0.9999999999435563	1.0	1.0
GOTERM_BP_DIRECT	GO:0042493~response to drug	5	4.310344827586207	0.03489050611206827	G3V9H8, P40939, Q03720, P04040, Q6P5F9	105	19	1536	3.8496240601503757	0.999999999997889	1.0	1.0
GOTERM_BP_DIRECT	GO:0006379~mRNA cleavage	3	2.586206896551724	0.03968437485740385	P25991, Q9VAH9, Q7QJW7	105	5	1536	8.777142857142856	0.9999999999999513	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	3	2.586206896551724	0.05693045581089953	P36241, Q9UET6, O16797	105	6	1536	7.314285714285714	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050770~regulation of axonogenesis	3	2.586206896551724	0.05693045581089953	G3V9H8, Q6NN85, Q9VX32	105	6	1536	7.314285714285714	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007474~imaginal disc-derived wing vein specification	3	2.586206896551724	0.05693045581089953	P32866, P32865, P07207	105	6	1536	7.314285714285714	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046034~ATP metabolic process	3	2.586206896551724	0.05693045581089953	Q91VD9, Q5TTG1, P49712	105	6	1536	7.314285714285714	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	3	2.586206896551724	0.07624606647887579	G3V9H8, P22392, Q13905	105	7	1536	6.2693877551020405	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	3	2.586206896551724	0.0972776377629765	Q4R4T8, Q9JHR7, Q95029	105	8	1536	5.485714285714286	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006812~cation transport	3	2.586206896551724	0.0972776377629765	P13607, Q9VJJ7, Q9HD20	105	8	1536	5.485714285714286	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	2.586206896551724	0.0972776377629765	P13607, Q03720, Q7KVW5	105	8	1536	5.485714285714286	1.0	1.0	1.0
