name	term	lev	seq	value
"cell development"	GO:0002064;GO:0048468	3	g1393	-0.17516638828216
"cell development"	GO:0002064;GO:0048468	3	g15745	-0.0252435101419743
"cell development"	GO:0002064;GO:0048468	3	g47545	-0.129499764186336
"cell development"	GO:0002064;GO:0048468	3	g60535	-0.167861513035808
"cell development"	GO:0002064;GO:0048468	3	g137338	-0.112286863704351
"cell development"	GO:0002064;GO:0048468	3	g74823	-0.0666792831320962
"cell development"	GO:0002064;GO:0048468	3	g131201	-0.0520927990146152
"metanephros development"	GO:0001656	2	g23726	0.0133616835285416
"metanephros development"	GO:0001656	2	g66159	0.060458313705672
"metanephros development"	GO:0001656	2	g80153	0.0524346099845852
"metanephros development"	GO:0001656	2	g82220	0.00388200207526243
"metanephros development"	GO:0001656	2	g118277	-0.118165355089082
"metanephros development"	GO:0001656	2	g118729	-0.21127641482348
"metanephros development"	GO:0001656	2	g128245	-0.232763065424223
"metanephros development"	GO:0001656	2	g140971	-0.413204925178262
"metanephros development"	GO:0001656	2	g159488	-0.108523052075394
"metanephros development"	GO:0001656	2	g159703	0.0847521715202979
"metanephros development"	GO:0001656	2	g160098	-0.0931160416126929
"meiotic cell cycle process"	GO:1903046	2	g19192	-0.091153075591836
"meiotic cell cycle process"	GO:1903046	2	g19191	-0.0514837918053873
"meiotic cell cycle process"	GO:1903046	2	g19273	-0.0761732813644753
"meiotic cell cycle process"	GO:1903046	2	g27571	0.0360253127139002
"meiotic cell cycle process"	GO:1903046	2	g27899	-0.287663396618814
"meiotic cell cycle process"	GO:1903046	2	g31826	0.145168043979396
"meiotic cell cycle process"	GO:1903046	2	g31835	0.163259369400619
"meiotic cell cycle process"	GO:1903046	2	g35537	0.0547233673674522
"meiotic cell cycle process"	GO:1903046	2	g55266	-0.322998439357163
"meiotic cell cycle process"	GO:1903046	2	g74504	-0.318899102473487
"meiotic cell cycle process"	GO:1903046	2	g86445	-0.0928833021897065
"meiotic cell cycle process"	GO:1903046	2	g98777	0.0722885608492084
"meiotic cell cycle process"	GO:1903046	2	g98844	0.0486406040305676
"meiotic cell cycle process"	GO:1903046	2	g99584	-0.0191671791776925
"carbohydrate derivative transport"	GO:0000017;GO:0042946;GO:1901656;GO:1901264	5	g47980	-0.064737512343567
"carbohydrate derivative transport"	GO:0000017;GO:0042946;GO:1901656;GO:1901264	5	g50732	0.0429581702037179
"carbohydrate derivative transport"	GO:0000017;GO:0042946;GO:1901656;GO:1901264	5	g50863	0.10111793235615
"carbohydrate derivative transport"	GO:0000017;GO:0042946;GO:1901656;GO:1901264	5	g82461	-0.0509131885563529
"carbohydrate derivative transport"	GO:0000017;GO:0042946;GO:1901656;GO:1901264	5	g144163	0.0764793626106832
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g27397	0.0655984443165405
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g34575	-0.261217763891402
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g35712	-0.243191631861277
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g41722	-0.0260822539444284
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g51178	0.0785239681945614
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g51211	0.138213101477512
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g83824	-0.169079532525072
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g90836	0.218748016324913
"RNA phosphodiester bond hydrolysis"	GO:0000469;GO:0090501;GO:0090305;GO:0000479;GO:0000478;GO:0090502	4	g115746	-0.0575801737058245
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g301	0.0551583298644598
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g305	-0.12479718513728
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g299	0.0157132433155637
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g269	0.102738353105754
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g769	-0.129587270645239
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g898	-0.215357052909084
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1289	0.0831429232739203
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1425	0.111478171549594
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1444	-0.215902268771632
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1446	-0.297342460057065
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1465	-0.143574014733157
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1464	-0.287908058533549
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1664	0.050185828208428
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1724	0.0398594817667591
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1721	-0.0289789870261253
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1754	-0.174153521517432
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g1982	-0.228445374009719
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2017	-0.268553711929739
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2015	-0.348858875905274
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2065	-0.213375775683129
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2416	0.0371970951810988
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2490	-0.00772967601827507
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2623	0.0218492272546989
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2716	0.109527798385435
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g2880	-0.13091805331183
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g3011	-0.101442315257898
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g3009	0.00709679286209516
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g3370	0.0738041257414742
"metabolic process"	GO:0043170;GO:0044238;GO:0006807;GO:0008152;GO:0071704	2	g3432	-0.12619956363796
