name	term	lev	seq	value
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_21.346	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_27.118	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_66.156	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_28.12	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_46.218	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_60.398	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_48.118	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_60.280	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_79.380	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_58.162	0.410572099041434
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_70.57	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_19.94	0
"morphogenesis of an epithelium"	GO:0002009;GO:0048729	3	evm.TU.HiC_scaffold_76.25	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_74.388	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_52.84	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_66.154	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_60.449	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_11.4	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_98.77	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_31.37	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_100.301	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_57.6	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_46.23	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_3.172	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_28.251	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_35.78	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_35.77	0
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_17.26	0.537773451033751
"organelle assembly"	GO:0070925;GO:0000045;GO:1905037;GO:0007033	2	evm.TU.HiC_scaffold_99.103	0.352215190732822
"organelle fission"	GO:0000266;GO:0048285	5	evm.TU.HiC_scaffold_101.33	0
"organelle fission"	GO:0000266;GO:0048285	5	evm.TU.HiC_scaffold_9.39	0
"organelle fission"	GO:0000266;GO:0048285	5	evm.TU.HiC_scaffold_3.133	0.536591738383182
"organelle fission"	GO:0000266;GO:0048285	5	evm.TU.HiC_scaffold_3.129	0.506324991483355
"organelle fission"	GO:0000266;GO:0048285	5	evm.TU.HiC_scaffold_3.128	0.480162953458192
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_79.613	0
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_84.306	0
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_89.272	0
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_68.164	0
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_68.202	0
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_96.253	0.844164600264258
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_35.115	0.390943554233662
"larval development"	GO:0002119;GO:0002164	2	evm.TU.HiC_scaffold_31.23	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_49.168	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_94.129	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_103.197	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_93.101	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_45.148	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_60.60	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_73.190	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_93.56	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_33.111	0
"cellular macromolecule biosynthetic process"	GO:0034645;GO:0009059	2	evm.TU.HiC_scaffold_53.177	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_50.187	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_50.93	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_31.121	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_68.258	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_78.329	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_59.208	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_50.186	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_97.111	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_22.152	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_86.224	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_7.109	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_50.335	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_3.25	0
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_45.35	0.822859581263597
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_10.133	0.512529242671549
"kidney development"	GO:0001822	2	evm.TU.HiC_scaffold_50.168	0.235166691358117
"branching morphogenesis of an epithelial tube"	GO:0048754;GO:0061138;GO:0001763	4	evm.TU.HiC_scaffold_27.118	0
"branching morphogenesis of an epithelial tube"	GO:0048754;GO:0061138;GO:0001763	4	evm.TU.HiC_scaffold_60.280	0
"branching morphogenesis of an epithelial tube"	GO:0048754;GO:0061138;GO:0001763	4	evm.TU.HiC_scaffold_58.162	0.410572099041434
"branching morphogenesis of an epithelial tube"	GO:0048754;GO:0061138;GO:0001763	4	evm.TU.HiC_scaffold_70.57	0
"branching morphogenesis of an epithelial tube"	GO:0048754;GO:0061138;GO:0001763	4	evm.TU.HiC_scaffold_76.25	0
"regulation of heart rate"	GO:0002027	5	evm.TU.HiC_scaffold_48.28	0
"regulation of heart rate"	GO:0002027	5	evm.TU.HiC_scaffold_16.14	0
"regulation of heart rate"	GO:0002027	5	evm.TU.HiC_scaffold_80.151	0
"regulation of heart rate"	GO:0002027	5	evm.TU.HiC_scaffold_102.5	0
"regulation of heart rate"	GO:0002027	5	evm.TU.HiC_scaffold_54.183	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_68.108	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_46.371	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_48.114	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_28.10	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_80.72	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_52.4	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_60.197	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_69.130	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_38.11	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_21.170	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_16.349	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_79.168	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_1250.1	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_24.89	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_16.191	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_67.93	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_35.15	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_22.91	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_77.66	0.647580988006028
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_96.40	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_15.12	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_53.159	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_15.14	0
"ncRNA processing"	GO:0006364;GO:0016072;GO:0034470;GO:0034660	8	evm.TU.HiC_scaffold_84.163	0.762647633254334
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_76.212	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_18.110	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_28.91	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_2.89	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_74.388	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_52.84	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_72.135	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_19.207	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_66.154	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_60.449	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_11.4	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_46.91	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_54.56	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_98.77	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_31.37	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_33.77	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_100.301	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_57.6	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_54.191	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_46.23	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_67.207	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_9.215	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_5.158	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_79.471	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_3.172	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_100.289	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_62.84	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_86.134	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_58.25	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_56.389	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_28.251	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_9.209	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_19.63	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_79.635	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_48.226	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_69.51	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_57.176	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_35.78	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_95.110	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_2.185	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_84.359	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_6.111	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_86.180	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_94.240	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_86.48	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_101.33	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_62.1	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_8.158	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_84.226	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_102.288	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_101.116	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_4.239	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_51.199	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_51.273	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_59.7	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_56.185	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_58.111	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_35.77	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_84.361	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_19.137	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_76.4	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_27.19	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_68.171	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_69.129	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_90.51	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_35.135	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_51.89	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_15.378	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_88.63	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_11.154	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_97.58	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_48.48	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_9.39	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_72.193	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_78.209	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_72.194	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_67.337	0.828942052717295
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_36.45	0.82903914767815
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_87.180	0.363977533110339
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_58.136	0.54448561998416
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_3.133	0.536591738383182
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_36.28	0.169369517383748
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_3.129	0.506324991483355
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_79.15	0.346449580686343
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_3.54	0.421921154850314
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_57.275	0.808169954312347
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_97.89	0.490297226144736
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_3.128	0.480162953458192
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_17.26	0.537773451033751
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_99.103	0.352215190732822
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_100.2	0.343506304685402
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_80.194	0.574183794984888
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_85.205	0.124780002544732
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_56.415	-0.0231208512255649
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_94.264	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_50.377	0
"organelle organization"	GO:0006996	4	evm.TU.HiC_scaffold_6.171	0
"regulation of blood pressure"	GO:0008217	3	evm.TU.HiC_scaffold_94.3	0
"regulation of blood pressure"	GO:0008217	3	evm.TU.HiC_scaffold_94.19	0
"regulation of blood pressure"	GO:0008217	3	evm.TU.HiC_scaffold_68.85	0
"regulation of blood pressure"	GO:0008217	3	evm.TU.HiC_scaffold_84.412	0
"regulation of blood pressure"	GO:0008217	3	evm.TU.HiC_scaffold_23.170	0.226305174792059
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_101.111	0
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_18.15	0
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_26.333	0
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_84.384	0.394088723240461
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_56.270	0
"regulation of cell population proliferation"	GO:0042127	3	evm.TU.HiC_scaffold_90.342	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_4.139	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_19.310	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_68.108	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_13.53	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_46.371	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_15.320	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_96.40	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_36.29	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_48.114	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_58.214	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_67.65	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_55.170	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_101.14	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_78.224	0
"RNA metabolic process"	GO:0006396;GO:0016070	4	evm.TU.HiC_scaffold_94.127	0
