name	term	lev	seq	value
"ribosome"	GO:0005840	5	g140389	0
"ribosome"	GO:0005840	5	g142592	0
"ribosome"	GO:0005840	5	g124965	0
"ribosome"	GO:0005840	5	g127089	0
"plant-type vacuole"	GO:0000325	2	g109817	0
"plant-type vacuole"	GO:0000325	2	g16423	0
"plant-type vacuole"	GO:0000325	2	g16424	0
"plant-type vacuole"	GO:0000325	2	g138659	0.785351541194329
"plant-type vacuole"	GO:0000325	2	g139147	0
"Golgi medial cisterna"	GO:0005797	2	g73017	0
"Golgi medial cisterna"	GO:0005797	2	g66806	0
"Golgi medial cisterna"	GO:0005797	2	g88315	0.590123560720837
"Golgi medial cisterna"	GO:0005797	2	g65081	0
"Golgi medial cisterna"	GO:0005797	2	g147386	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g48399	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g56895	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g11991	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g28396	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g8869	0
"SAGA-type complex"	GO:0000124;GO:0070461	3	g69925	0
"photoreceptor inner segment"	GO:0001917	2	g87792	0
"photoreceptor inner segment"	GO:0001917	2	g4567	0
"photoreceptor inner segment"	GO:0001917	2	g73073	0
"photoreceptor inner segment"	GO:0001917	2	g139066	0.793798358465071
"photoreceptor inner segment"	GO:0001917	2	g156734	0
"photoreceptor inner segment"	GO:0001917	2	g101677	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g14405	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g45471	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g27266	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g2210	0.891935836123064
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g156580	0.795082712810777
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g19345	0.945253048404575
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g5623	0.917637170334756
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g84569	0.752528654873347
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g130711	0.645575029235114
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g71640	0.89396017976001
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g135349	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g71641	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g20953	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g20952	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g66674	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g45470	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g129768	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g89882	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g45345	0
"mitochondrial protein-containing complex"	GO:0098800;GO:0098798	2	g66555	0
"transferase complex"	GO:1990234	2	g28320	0
"transferase complex"	GO:1990234	2	g105450	0
"transferase complex"	GO:1990234	2	g108858	0
"transferase complex"	GO:1990234	2	g35948	0
"transferase complex"	GO:1990234	2	g105495	0
"transferase complex"	GO:1990234	2	g24807	0
"transferase complex"	GO:1990234	2	g23760	0
"transferase complex"	GO:1990234	2	g135144	0
"transferase complex"	GO:1990234	2	g13418	0
"transferase complex"	GO:1990234	2	g62459	0
"transferase complex"	GO:1990234	2	g20270	0
"transferase complex"	GO:1990234	2	g22830	0
"transferase complex"	GO:1990234	2	g63611	0
"transferase complex"	GO:1990234	2	g104368	0
"transferase complex"	GO:1990234	2	g20329	0
"transferase complex"	GO:1990234	2	g26914	0
"transferase complex"	GO:1990234	2	g20328	0
"transferase complex"	GO:1990234	2	g10446	0
"transferase complex"	GO:1990234	2	g67552	0
"transferase complex"	GO:1990234	2	g136683	0
"transferase complex"	GO:1990234	2	g73205	0
"transferase complex"	GO:1990234	2	g25172	0
"transferase complex"	GO:1990234	2	g37527	0
"transferase complex"	GO:1990234	2	g5619	0
"transferase complex"	GO:1990234	2	g48399	0
"transferase complex"	GO:1990234	2	g25422	0
"transferase complex"	GO:1990234	2	g135843	0
"transferase complex"	GO:1990234	2	g57914	0
"transferase complex"	GO:1990234	2	g56895	0
"transferase complex"	GO:1990234	2	g11991	0
"transferase complex"	GO:1990234	2	g137149	0
"transferase complex"	GO:1990234	2	g24805	0
"transferase complex"	GO:1990234	2	g28396	0
"transferase complex"	GO:1990234	2	g26895	0
"transferase complex"	GO:1990234	2	g16172	0
"transferase complex"	GO:1990234	2	g51134	0
"transferase complex"	GO:1990234	2	g44865	0
"transferase complex"	GO:1990234	2	g103028	0
"transferase complex"	GO:1990234	2	g3949	0
"transferase complex"	GO:1990234	2	g18158	0
"transferase complex"	GO:1990234	2	g76832	0
"transferase complex"	GO:1990234	2	g7897	0
"transferase complex"	GO:1990234	2	g14154	0
"transferase complex"	GO:1990234	2	g1625	0
"transferase complex"	GO:1990234	2	g66123	0
"transferase complex"	GO:1990234	2	g66193	0
"transferase complex"	GO:1990234	2	g35582	0
"transferase complex"	GO:1990234	2	g37498	0
"transferase complex"	GO:1990234	2	g37491	0
"transferase complex"	GO:1990234	2	g26877	0
"transferase complex"	GO:1990234	2	g7042	0
"transferase complex"	GO:1990234	2	g49934	0
"transferase complex"	GO:1990234	2	g49297	0
"transferase complex"	GO:1990234	2	g119048	0
"transferase complex"	GO:1990234	2	g42263	0
"transferase complex"	GO:1990234	2	g36380	0
"transferase complex"	GO:1990234	2	g43143	0
"transferase complex"	GO:1990234	2	g9309	0
"transferase complex"	GO:1990234	2	g27548	0
"transferase complex"	GO:1990234	2	g91259	0
"transferase complex"	GO:1990234	2	g35979	0
"transferase complex"	GO:1990234	2	g16169	0
"transferase complex"	GO:1990234	2	g28134	0
"transferase complex"	GO:1990234	2	g3954	0
"transferase complex"	GO:1990234	2	g150725	0
"transferase complex"	GO:1990234	2	g30932	0
"transferase complex"	GO:1990234	2	g27174	0
"transferase complex"	GO:1990234	2	g112886	0
"transferase complex"	GO:1990234	2	g30943	0
"transferase complex"	GO:1990234	2	g84270	0
"transferase complex"	GO:1990234	2	g33761	0
"transferase complex"	GO:1990234	2	g1897	0
"transferase complex"	GO:1990234	2	g119418	0
"transferase complex"	GO:1990234	2	g35414	0
"transferase complex"	GO:1990234	2	g5618	0
"transferase complex"	GO:1990234	2	g35416	0
"transferase complex"	GO:1990234	2	g67553	0
"transferase complex"	GO:1990234	2	g14151	0
"transferase complex"	GO:1990234	2	g121789	0
"transferase complex"	GO:1990234	2	g8261	0
"transferase complex"	GO:1990234	2	g39866	0
"transferase complex"	GO:1990234	2	g40809	0
"transferase complex"	GO:1990234	2	g113968	0
