name	term	lev	seq	value
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_27.233	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_100.287	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_46.38	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_51.211	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_98.82	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_11.88	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_37.36	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_54.180	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_51.5	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_60.243	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_88.85	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_68.62	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_103.85	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_37.42	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_88.107	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_49.28	0
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_24.142	0.877310646628186
"condensed nuclear chromosome"	GO:0000794;GO:0000793	2	evm.TU.HiC_scaffold_86.162	0
"chromosome, centromeric region"	GO:0000775	2	evm.TU.HiC_scaffold_78.288	0
"chromosome, centromeric region"	GO:0000775	2	evm.TU.HiC_scaffold_38.8	0
"chromosome, centromeric region"	GO:0000775	2	evm.TU.HiC_scaffold_46.346	0
"chromosome, centromeric region"	GO:0000775	2	evm.TU.HiC_scaffold_31.147	0
"chromosome, centromeric region"	GO:0000775	2	evm.TU.HiC_scaffold_4.24	0.124826738446814
"cation channel complex"	GO:0098797;GO:0034703;GO:0034702	4	evm.TU.HiC_scaffold_9.42	0
"cation channel complex"	GO:0098797;GO:0034703;GO:0034702	4	evm.TU.HiC_scaffold_89.294	0
"cation channel complex"	GO:0098797;GO:0034703;GO:0034702	4	evm.TU.HiC_scaffold_52.129	0
"cation channel complex"	GO:0098797;GO:0034703;GO:0034702	4	evm.TU.HiC_scaffold_52.130	0.402526778933073
"cation channel complex"	GO:0098797;GO:0034703;GO:0034702	4	evm.TU.HiC_scaffold_9.38	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_102.215	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_36.24	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_79.94	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_81.134	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_28.111	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_33.243	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_79.569	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_58.103	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_38.102	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_91.210	0
"histone deacetylase complex"	GO:0000118	2	evm.TU.HiC_scaffold_89.129	0.552378367510557
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_99.14	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_49.197	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_19.55	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_7.46	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_79.123	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_41.179	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_64.100	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_67.6	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_79.563	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_6.220	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_82.14	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_103.125	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_47.14	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_56.148	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_42.171	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_66.217	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_22.119	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_56.500	0.910378678535938
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_104.216	0.888422452592542
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_97.2	0.788187902788818
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_71.110	0.853529326230465
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_104.215	0.800156578106467
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_69.317	0.0822523678689092
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_18.304	0.556898338979902
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_88.75	0.872282609108052
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_101.127	0.362693262945338
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_22.160	0.526897536305705
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_80.250	0
"endoplasmic reticulum membrane"	GO:0005789	4	evm.TU.HiC_scaffold_41.99	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_74.154	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_102.278	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_76.334	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_48.80	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_95.234	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_74.82	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_35.57	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_56.175	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_46.101	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_42.3	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_79.178	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_21.119	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_3.4	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_66.24	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_50.255	0.34108483564412
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_81.160	0.397912375692916
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_95.280	0.596387201721681
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_46.198	0
"cytoplasmic vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	7	evm.TU.HiC_scaffold_87.153	0
