Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	52	7.192254495159059	7.96762168257358E-20	P35979, Q56FH2, O96647, Q99N87, Q9BMX5, B0WN96, Q95V31, Q4GXH6, Q962R1, Q5R938, Q95V39, A7S3J7, Q6XIM8, Q8WQI5, P62279, Q803F6, P62832, Q90YT5, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9V3G1, Q9VXX8, Q93572, Q5E973, Q90YX1, Q8JGS9, Q5UAP0, Q5UAP4, P30742, Q90YS3, Q7ZWJ4, O42248, Q07254, P62250, O61231, Q95307, Q4R7Y2, P79781, Q6F444, Q90YV8, Q498P2, Q9VMU4, O16797, P62985, A2I3Z2	559	117	5045	4.011130987875174	7.091183297490486E-18	7.091183297490486E-18	5.896040045104449E-18
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	48	6.639004149377594	4.756358412771099E-19	P30742, P35979, Q90YS3, Q56FH2, Q7ZWJ4, O96647, Q99N87, Q9BMX5, B0WN96, Q95V31, Q4GXH6, P62250, Q962R1, O61231, Q95307, Q5R938, Q95V39, Q4R7Y2, A7S3J7, P79781, Q6XIM8, Q8WQI5, P62279, Q803F6, P62832, Q90YT5, Q90YV8, Q6NUH0, P48162, Q90Z10, P60868, Q9FY65, Q7ZUG5, Q90YP3, A2Q0R8, Q9V3G1, Q95WA0, Q9VXX8, Q498P2, Q93572, Q5E973, Q8JGS9, Q9VMU4, O16797, Q5UAP0, A2I3Z2, P62985, Q5UAP4	677	110	6558	4.22699073452397	3.928752048948928E-16	3.928752048948928E-16	3.8716757479956743E-16
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	60	8.29875518672199	1.6530362309072282E-16	P35979, Q56FH2, O96647, Q99N87, Q9BMX5, Q9VU02, B0WN96, Q95V31, Q4GXH6, Q9N1Q0, Q962R1, Q5R938, Q95V39, A7S3J7, Q6XIM8, Q8WQI5, P62279, Q9UK45, Q803F6, P62832, Q90YT5, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9V3G1, Q9VXX8, Q93572, Q5E973, Q90YX1, P45441, Q8JGS9, Q5UAP0, Q5UAP4, P30742, Q90YS3, Q7ZWJ4, O42248, Q9UKF6, Q07254, P62250, Q6P8E9, O61231, Q95307, Q4R7Y2, P79781, Q6F444, Q90YV8, P38935, Q9D6Z1, Q498P2, Q9VMU4, O16797, P62985, A2I3Z2	559	174	5045	3.1120843871445314	9.880984919163893E-15	7.356011227537165E-15	6.116234054356744E-15
GOTERM_CC_DIRECT	GO:0005840~ribosome	36	4.979253112033195	2.6976420100525317E-15	P35979, Q56FH2, Q7ZWJ4, O96647, O42248, Q99N87, Q9BMX5, Q07254, Q95V31, P62250, Q962R1, O61231, Q95307, Q5R938, Q95V39, Q4R7Y2, Q8WQI5, P62279, Q803F6, P62832, Q90YT5, Q6F444, Q6NUH0, Q90Z10, Q7ZUG5, Q90YP3, Q9VXX8, Q498P2, Q93572, Q5E973, Q90YX1, Q8JGS9, Q9VMU4, O16797, Q5UAP0, P62985	669	80	6716	4.517488789237668	1.2176926134088717E-12	1.232822398594007E-12	1.1842648424130615E-12
GOTERM_BP_DIRECT	GO:0006412~translation	48	6.639004149377594	8.652799442995518E-14	P35979, Q90YS3, Q56FH2, Q7ZWJ4, O96647, Q99N87, Q9BMX5, Q6DRI1, B0WN96, Q95V31, Q4GXH6, P62250, Q962R1, O61231, Q95307, Q5R938, Q95V39, Q4R7Y2, A7S3J7, P79781, Q6XIM8, Q8WQI5, P62279, Q803F6, P62832, Q90YT5, Q90YV8, Q6NUH0, Q9VCD0, P48162, Q90Z10, P60868, Q9FY65, Q7ZUG5, Q90YP3, Q10039, A2Q0R8, P38935, Q95WA0, Q9VXX8, Q5E973, Q8JGS9, Q9VMU4, O16797, Q5UAP0, A2I3Z2, P62985, Q5UAP4	622	153	6516	3.2865519198032915	1.683024830612112E-10	1.6838347716069276E-10	1.6691250125538352E-10
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	91	12.586445366528354	1.5501463390541128E-11	O95831, Q2QEI3, F6S675, P04636, P41938, P0C870, Q8BYK4, Q27640, Q27712, P57093, Q00796, P00349, P0C2X9, B8A4W9, P04040, Q6DIY9, Q94511, P04762, P29981, P54385, O62839, Q7KML2, P56649, Q5ZJF4, P37227, Q9YHT1, Q6P286, Q04820, Q80XN0, Q5U3U0, O88844, Q7YRU4, P79274, Q8MI17, P20000, Q9VA27, O14832, Q8BMS1, P48758, P22985, P26268, P28765, Q8N335, P79733, O96347, P26443, Q6GNL7, Q9V774, O42563, Q99LB7, Q9V3P0, Q66HF1, Q5VT66, P59722, P11586, Q6UWP2, Q964T2, Q58D31, Q8BMF3, Q3T094, Q5E947, A7YWE4, P23921, Q91Z53, P07850, Q91XV4, Q5PRA2, Q6PAY8, P40939, P91929, P79401, P97852, P51174, P51977, Q9Z2K9, P51659, O96553, P13697, Q6GMC7, A0JPQ8, Q06197, Q91VD9, Q9Z0X1, Q64380, O88989, Q64581, Q9Z110, Q9C8L4, Q9LDU6, P07742, Q60TI7	559	408	5045	2.012938896488828	1.3796325193382586E-9	4.5987674725272015E-10	3.823694303000145E-10
UP_KW_DOMAIN	KW-0809~Transit peptide	72	9.95850622406639	1.9132748677533703E-11	O95831, P80147, P04636, P80021, Q5BK63, Q55F21, P57093, Q0P5L8, Q01205, P0C2X9, Q21217, Q16P20, Q94511, Q5R546, Q8R0F8, P34519, P54385, Q68FX0, Q3T0R7, Q3SZ71, Q9YHT1, Q6P286, Q9BKS0, Q80XN0, Q99KI0, P79274, P20000, O14832, Q8BMS1, P26268, Q13011, Q8VCW8, O96347, P26443, Q28F67, Q99LB7, P35434, Q66HF1, O75521, P36967, Q5RBL1, Q8BMF3, Q3T094, A7YWE4, Q99NB1, Q5PRA2, P23004, P25285, Q6PB66, Q9CQN1, P40939, Q9Y697, P91929, P51174, P46561, Q9HAC7, O01666, Q7TT47, Q04451, Q24751, Q91VD9, Q9Z0X1, P16332, Q498P2, Q8VEM8, Q64380, Q08BY0, F4KGU4, Q940M2, P22600, Q9C8L4, Q17GM7	373	400	4650	2.24396782841823	4.974500811272264E-10	4.974514656158763E-10	4.974514656158763E-10
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	21	2.904564315352697	9.147147823013384E-10	Q9YGD2, P04636, Q68FX0, Q9Z2K9, P36967, Q06197, P37227, Q9YHT1, Q6P286, Q04820, O88989, Q01205, Q7YRU4, Q99KI0, O88844, Q6DIY9, Q16P20, P26268, Q5PRA2, Q7N4H8, Q17GM7	622	45	6516	4.888745980707396	1.780033316967078E-6	8.900174831792023E-7	8.822424075296409E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0816~Tricarboxylic acid cycle	19	2.627939142461964	9.996234894326736E-10	Q9YGD2, P04636, Q68FX0, Q9Z2K9, P36967, Q06197, P37227, Q9YHT1, Q04820, O88989, Q01205, Q7YRU4, Q99KI0, O88844, Q6DIY9, Q16P20, P26268, Q7N4H8, Q17GM7	360	42	4392	5.519047619047619	1.319502926921956E-7	1.3195030060511292E-7	1.2595255966851687E-7
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	15	2.0746887966804977	1.2220413585197215E-9	P30742, P60868, Q7ZUG5, Q9FY65, Q90YP3, A2Q0R8, B0WN96, P62250, Q5R938, A7S3J7, P79781, P62279, A2I3Z2, Q803F6, Q5UAP4	669	22	6716	6.844679983693436	5.58472744494054E-7	2.792364504217564E-7	2.682380781950789E-7
UP_KW_MOLECULAR_FUNCTION	KW-0514~Muscle protein	18	2.4896265560165975	5.0628402012383646E-9	P49055, P49871, I2DDG2, P05946, P19351, Q9I7U4, Q26065, P06708, P10994, P14318, P10587, Q86RN8, A8DYP0, P35416, P29291, P45886, P45885, P05661	559	32	5045	5.076587656529518	4.505926727293996E-7	1.1264819447755361E-7	9.366254372290974E-8
