Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:Reverse transcriptase	25	11.013215859030836	2.4036548309082458E-20	P04323, P08548, Q10126, P0CT40, P11369, P31792, Q09575, P16423, P0CT39, Q99315, P21329, Q95SX7, P21328, P10394, O00370, P14381, Q9NBX4, P03360, P17192	216	66	7029	12.32638888888889	8.941595970978674E-18	8.941595970978674E-18	8.677193939578768E-18
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	25	11.013215859030836	8.473011108971176E-20	P04323, P08548, Q10126, P0CT40, P11369, P31792, Q09575, P16423, P0CT39, Q99315, P21329, Q95SX7, P21328, P10394, O00370, P14381, Q9NBX4, P03360, P17192	223	65	6753	11.647119696447051	7.947684420214963E-17	7.947684420214963E-17	7.735859142490683E-17
UP_SEQ_FEATURE	ZN_FING:C2H2-type 8	38	16.740088105726873	7.127533909012788E-19	Q5R633, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q9P255, Q8BJ90, Q15937, A6NNF4, Q7L3S4, P51522, Q96IR2, Q8N8E2, Q8BQN6, Q9UJU3, P08045, Q9BWM5, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, O15090, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, Q2EI21, P20662, A6NP11	223	195	6753	5.9012073128665055	6.685626806653995E-16	3.3428134033269976E-16	3.253719229464338E-16
UP_SEQ_FEATURE	ZN_FING:C2H2-type 6	38	16.740088105726873	1.8212812951541434E-17	Q5R633, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q9P255, Q8BJ90, Q15937, A6NNF4, Q7L3S4, P51522, Q96IR2, Q8N8E2, Q8BQN6, Q9UJU3, P08045, Q9BWM5, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, O15090, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, Q2EI21, P20662, A6NP11	223	214	6753	5.377268345836302	1.7083618548545866E-14	4.4049522359455495E-15	4.287549457802011E-15
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7	37	16.299559471365637	1.8784444502966096E-17	Q5R633, Q96SE7, Q08ER8, Q9UJN7, Q5R8X1, Q9P255, Q8BJ90, Q15937, A6NNF4, Q7L3S4, P51522, Q96IR2, Q8N8E2, Q8BQN6, Q9UJU3, P08045, Q9BWM5, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, O15090, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, Q2EI21, P20662, A6NP11	223	202	6753	5.546796607911912	1.7619808943782198E-14	4.4049522359455495E-15	4.287549457802011E-15
UP_SEQ_FEATURE	ZN_FING:C2H2-type 9	34	14.977973568281937	6.731739970110009E-17	Q5R633, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q9P255, Q15937, A6NNF4, P51522, Q96IR2, Q8BQN6, Q9UJU3, P08045, Q9BWM5, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, O15090, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, Q2EI21, P20662, A6NP11	223	174	6753	5.91727230555126	1.0413891970983968E-13	1.2628744183926376E-14	1.2292157185420876E-14
UP_SEQ_FEATURE	ZN_FING:C2H2-type 10	32	14.096916299559473	5.175681692960485E-16	Q5R633, Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, Q9P255, Q15937, A6NNF4, P51522, Q96IR2, Q8BQN6, Q9UJU3, P08045, Q9BWM5, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, P20662, A6NP11	223	161	6753	6.018884215803693	5.206945985491984E-13	8.091315713328225E-14	7.875662309454871E-14
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	22	9.691629955947137	8.039180767944347E-16	Q32M78, Q96SE7, O75437, Q08ER8, Q13106, Q6ZMW2, P51814, Q9P255, A6NNF4, Q15937, Q8TF32, P51522, P35789, P17019, Q96IR2, Q9HCG1, Q96N38, Q7Z340, Q9UJU3, A8MQ14, Q9BWM5, A6NP11	71	108	3316	9.513823682837767	7.849276784099857E-14	8.119572575623791E-14	8.119572575623791E-14
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	42	18.502202643171806	8.175117508966243E-16	Q5R633, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q9P255, Q8BJ90, Q15937, A6NNF4, Q7L3S4, P51522, Q96IR2, Q8N8E2, Q8BQN6, P42284, Q29419, Q9UJU3, P08045, Q9BWM5, Q6NTY6, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, Q8NI51, P35789, P17019, O15090, P16423, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, Q2EI21, P20662, A6NP11	216	315	7029	4.338888888888889	2.8910207561239076E-13	1.520571856667721E-13	1.4756087103684067E-13
UP_SEQ_FEATURE	ZN_FING:C2H2-type 11	30	13.215859030837004	8.669374548966567E-16	Q5R633, Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, Q9P255, Q15937, A6NNF4, P51522, Q96IR2, Q9UJU3, P08045, Q9BWM5, Q32M78, O75437, Q13106, Q6ZMW2, P51814, Q8TF32, P35789, P17019, Q9HCG1, Q96N38, Q7Z340, P18729, P17141, Q7Z7L9, A8MQ14, P20662, A6NP11	223	142	6753	6.397713636076549	8.331113576787175E-13	1.16169618956152E-13	1.130734137600925E-13
