Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0732~Signal	45	23.809523809523807	8.44913693273333E-9	P29413, H9J9M0, Q9GV46, P80067, Q7Z1E6, B2D0J5, O97396, Q6NVG7, O46108, Q5RBL1, Q9VZ49, C5FK77, Q86WI1, P0C2X9, Q4FAT7, P00688, Q8BTV1, P45971, P25784, Q04519, Q95029, A0A291PQH4, Q9GMB0, F4KHQ8, P55115, Q9CY50, P70691, P04746, O19015, Q9CPP7, Q3ZCJ8, P35502, O61866, P21439, Q66I12, Q4R4T8, P50903, Q2KIG3, Q5VYJ5, Q24319, H2N0D4, Q3TA59, Q13231, Q9HD20, Q8N0N3	104	862	4650	2.334129038015349	1.2673704663512808E-7	1.2673705399099995E-7	1.2673705399099995E-7
INTERPRO	IPR002194:Chaperonin TCP-1, conserved site	10	5.291005291005291	1.55237680042967E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	27	7030	13.998407009159697	6.659674368858504E-6	3.329848236921642E-6	3.089229832855043E-6
INTERPRO	IPR017998:Chaperone tailless complex polypeptide 1 (TCP-1)	10	5.291005291005291	1.55237680042967E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	27	7030	13.998407009159697	6.659674368858504E-6	3.329848236921642E-6	3.089229832855043E-6
INTERPRO	IPR027413:GroEL-like equatorial domain	10	5.291005291005291	3.169499326306771E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	29	7030	13.032999629217649	1.359705989889548E-5	4.532384036618682E-6	4.204869106233649E-6
GOTERM_CC_DIRECT	GO:0005832~chaperonin-containing T-complex	9	4.761904761904762	5.35989042397181E-8	Q2T9X2, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	164	24	6716	15.356707317073171	7.718212626683929E-6	7.718242210519405E-6	7.289450976601661E-6
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	10	5.291005291005291	6.096177905314664E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	31	7030	12.192160943461673	2.6152262041501118E-5	5.927897430264202E-6	5.499541205699655E-6
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	10	5.291005291005291	8.29076563673315E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	32	7030	11.811155913978494	3.556675356097827E-5	5.927897430264202E-6	5.499541205699655E-6
INTERPRO	IPR027409:GroEL-like apical domain	10	5.291005291005291	8.29076563673315E-8	Q2T9X2, P50143, P80313, Q9SF16, Q3T084, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	186	32	7030	11.811155913978494	3.556675356097827E-5	5.927897430264202E-6	5.499541205699655E-6
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	12	6.349206349206349	7.414335667529827E-7	P04323, Q95SX7, P21329, P21328, Q8I7P9, P10394, Q7LHG5, P08548, O00370, Q10126, Q9NBX4, P11369	180	65	6857	7.032820512820513	4.6551206816114465E-4	4.417407570903948E-4	4.2767258011299365E-4
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	14	7.4074074074074066	9.354635352088759E-7	Q54K67, P04746, O19015, O97396, Q01415, Q2KJJ9, Q04820, O88989, Q7YRU4, P00688, Q6DIY9, H2N0D4, Q8N0N3, Q13231	163	100	6516	5.596564417177914	5.33072330890727E-4	5.332142150690593E-4	5.276014338578061E-4
INTERPRO	IPR000477:Reverse transcriptase	12	6.349206349206349	9.479114574747033E-7	P04323, Q95SX7, P21329, P21328, Q8I7P9, P10394, Q7LHG5, P08548, O00370, Q10126, Q9NBX4, P11369	186	66	7030	6.871945259042033	4.065715353614996E-4	5.8093430750949674E-5	5.38955371535617E-5
UP_SEQ_FEATURE	SITE:Transition state stabilizer	12	6.349206349206349	1.851014830657386E-6	P55786, P15144, Q01415, P04746, P0C2X9, P20000, P00688, O97396, A7YWE4, H2N0D4, Q27640, P31335	180	71	6857	6.43849765258216	0.0011617630196963935	4.417407570903948E-4	4.2767258011299365E-4
UP_SEQ_FEATURE	ACT_SITE:Nucleophile	20	10.582010582010582	2.110226546610166E-6	Q54K67, F4KHQ8, P04746, O19015, Q9CPP7, O97396, Q02253, Q9JHE3, O46108, Q27640, O02467, O61866, Q4R4T8, P50903, P0C2X9, P00688, A7YWE4, P20000, Q9NTJ4, H2N0D4	180	211	6857	3.6108478146392837	0.001324345948416683	4.417407570903948E-4	4.2767258011299365E-4
UP_KW_PTM	KW-0325~Glycoprotein	51	26.984126984126984	2.391557711791871E-6	Q9Y3Q0, P80067, O46108, H6VGI3, Q924Z4, Q8BTV1, O15438, Q04519, A0A291PQH4, F4KHQ8, P55115, P70691, O19015, Q3ZCJ8, Q9JHE3, P81182, O61866, Q5R8G6, P15144, Q4R4T8, P50903, Q2KJI2, Q2KIG3, P06795, H2N0D4, Q9HD20, Q8N0N3, H9J9M0, B2D0J5, O97396, Q6NVG7, O02467, C5FK77, Q86WI1, Q4FAT7, Q95029, A0A291PQF1, Q9GMB0, Q9CY50, Q18515, P04746, Q9CPP7, Q5UPS7, P35502, Q6DCX5, Q9VUL9, P21439, Q5VYJ5, Q9GKZ4, Q3TA59, Q13231	107	1111	4224	1.8121587859720554	3.3481287490699785E-5	3.587336567687806E-5	3.587336567687806E-5
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	24	12.698412698412698	2.5638719830025803E-6	F4KHQ8, H9J9M0, P55115, Q9GV46, P04746, Q9CPP7, B2D0J5, O97396, Q9JHE3, P81182, O61866, B3EWZ6, Q5RBL1, B3EWZ5, P50903, Q9VZ49, Q2KIG3, P00688, H2N0D4, P22985, Q04519, Q8N0N3, P04069, Q13231	152	316	6084	3.0399733510992673	6.409482758318319E-5	6.40967995750645E-5	6.40967995750645E-5
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	12	6.349206349206349	3.4169723377500595E-6	Q2T9X2, P50143, P29413, P80313, Q9SF16, Q3T084, Q7Z1E6, Q54TH8, Q4R6V2, Q4R963, P48605, P80317	171	76	6558	6.055401662049862	0.0010621157679558957	0.0010626783970402686	0.0010592614247025185
UP_SEQ_FEATURE	BINDING:Substrate	26	13.756613756613756	8.81943406373404E-6	P55786, P80147, Q9Y3Q0, Q55F21, P19971, Q2KJJ9, C5FK77, H6VGI3, P0C2X9, Q21217, A7YWE4, Q9W3Z3, Q16851, Q6DIY9, O16129, P04069, O19015, Q9Z2K9, P51659, Q6GMC7, Q04820, O88989, Q6TLF6, Q7YRU4, Q2KIG3, P22985	180	368	6857	2.6914553140096613	0.005523319088529877	0.0013846511480062444	0.001340553977687574
UP_SEQ_FEATURE	METAL:Calcium; via carbonyl oxygen	9	4.761904761904762	1.2241932413377374E-5	P29413, Q9Y3Q0, P50903, P04746, Q7Z1E6, P00688, O97396, Q9JHE3, H2N0D4	180	43	6857	7.973255813953489	0.007658503678323658	0.0015375867111201982	0.0014886189814666887
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	11	5.82010582010582	1.238898865789578E-5	P04323, Q95SX7, P21329, P21328, Q8I7P9, P10394, Q7LHG5, P08548, O00370, Q9NBX4, P11369	171	71	6558	5.941685198912775	0.0038455860622411686	0.0019264877363027939	0.001920293241973846
SMART	SM00632:Aamy_C	4	2.1164021164021163	1.3071184272159396E-5	P04746, P00688, O97396, H2N0D4	60	4	3895	64.91666666666666	7.578463319508622E-4	7.581286877852449E-4	7.319863192409262E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	22	11.64021164021164	1.593459344022242E-5	F4KHQ8, P55115, Q9GV46, P04746, Q9CPP7, B2D0J5, O97396, Q9JHE3, P81182, O61866, B3EWZ6, B3EWZ5, Q4R4T8, P50903, Q93112, Q9VZ49, P04040, Q93113, H2N0D4, Q04519, Q8N0N3, P04069, Q13231	164	309	6716	2.915620806693504	0.0022919691556432253	0.0011472907276960142	0.0010835523539351245
GOTERM_BP_DIRECT	GO:0006457~protein folding	12	6.349206349206349	2.0538690091702497E-5	P54985, Q2T9X2, P50143, P29413, P80313, Q9SF16, Q3T084, Q7Z1E6, Q54TH8, Q4R963, P48605, P80317	163	95	6516	5.049531804972554	0.011638911266999452	0.005853526676135212	0.005791910605860104
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	7	3.7037037037037033	2.1289141209197305E-5	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369	186	23	7030	11.503038803179056	0.009091558368201968	0.0011416301973432054	0.001059134775157566
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	56	29.629629629629626	2.985164260871275E-5	P55786, Q9Y3Q0, P80067, P11369, O46108, P31335, Q8I7P9, Q640T1, P48605, Q04519, Q54K67, P04323, F4KHQ8, P55115, O19015, Q3ZCJ8, Q9JHE3, Q3T0R7, O61866, Q5R8G6, P15144, Q4R4T8, Q7LHG5, P50903, Q2KIG3, H2N0D4, Q9XYU1, H9J9M0, B2D0J5, O97396, O02467, P11586, Q5RBL1, Q2KJJ9, O00370, Q9VZ49, C5FK77, Q4FAT7, P00688, Q86TX2, P25784, Q95029, P04069, Q90YV8, P04746, Q9CPP7, O96553, P35502, Q9VUL9, P21439, P10394, Q6TLF6, Q9NTJ4, Q8IMX7, Q4V8V2, Q13231	154	1095	5045	1.6753839767538399	0.0015511043774583122	0.0010586231594492152	9.568324710406367E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	19	10.052910052910052	3.133715809255188E-5	Q8VCW8, F4KHQ8, P40939, Q9CPP7, Q07598, Q9JHE3, P51659, O46108, Q6GMC7, Q3T0R7, O61866, P50903, O62742, Q924Z4, Q86TX2, Q8CHN6, Q99NB1, Q7ZUC7, Q04519	85	327	4392	3.002266594711279	0.0020974198250313103	0.002099589592200976	0.002068252434108424
GOTERM_CC_DIRECT	GO:0008250~oligosaccharyltransferase complex	5	2.6455026455026456	3.8324369056937E-5	Q9GMB0, P61166, Q8BTV1, Q24319, P45971	164	9	6716	22.75067750677507	0.00550361421459411	0.00179071651973032	0.001691232268634191
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	11	5.82010582010582	4.071627536343135E-5	P04323, Q95SX7, P21329, P21328, Q8I7P9, P10394, Q7LHG5, P08548, O00370, Q9NBX4, P11369	154	70	5045	5.1479591836734695	0.002115049547108616	0.0010586231594492152	9.568324710406367E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	18	9.523809523809524	4.974212554806444E-5	P29413, H9J9M0, P04746, O19015, P80067, Q3ZCJ8, Q9JHE3, P15144, P50903, Q86WI1, Q2KIG3, Q4FAT7, P00688, P04040, P22985, Q04519, Q95029, Q13231	164	235	6716	3.136689154125584	0.007137450777062071	0.00179071651973032	0.001691232268634191
UP_KW_PTM	KW-1015~Disulfide bond	37	19.576719576719576	5.004906405763667E-5	P29413, H9J9M0, P80147, P80067, Q7Z1E6, B2D0J5, O97396, O02467, C5FK77, H6VGI3, P00688, Q8BTV1, Q4R963, P25784, P48605, Q04519, Q95029, P50143, P55115, Q18515, P04746, O19015, Q9CPP7, Q3ZCJ8, Q9JHE3, P35502, Q6DCX5, B3EWZ6, B3EWZ5, Q4R4T8, P15144, P50903, Q2KIG3, Q5VYJ5, P22985, H2N0D4, Q13231	107	761	4224	1.9193633561349428	7.004589957320118E-4	3.75367980432275E-4	3.75367980432275E-4
GOTERM_MF_DIRECT	GO:0004556~alpha-amylase activity	4	2.1164021164021163	6.717547549654902E-5	P04746, P00688, O97396, H2N0D4	171	4	6558	38.35087719298245	0.020675543005161834	0.006963857626475582	0.006941465801310064
