Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0090305~nucleic acid phosphodiester bond hydrolysis	4	14.814814814814813	1.6214757827680363E-4	Q99315, Q7LHG5, O00370, Q17QR8	22	34	6513	34.8288770053476	0.011447385832941692	0.011512478057653057	0.0089181168052242
GOTERM_BP_DIRECT	GO:0032197~transposition, RNA-mediated	3	11.11111111111111	4.387364395361651E-4	Q99315, Q7LHG5, O00370	22	10	6513	88.81363636363635	0.030676741470111457	0.015169898053070762	0.011751329477730872
GOTERM_BP_DIRECT	GO:0090501~RNA phosphodiester bond hydrolysis	3	11.11111111111111	6.409816078762294E-4	Q99315, Q7LHG5, Q6TUI4	22	12	6513	74.01136363636363	0.044503602736085224	0.015169898053070762	0.011751329477730872
GOTERM_BP_DIRECT	GO:0015074~DNA integration	4	14.814814814814813	0.001265522452933897	Q99315, Q7LHG5, Q6R2W3, P11369	22	68	6513	17.4144385026738	0.08598564054928959	0.022463023539576674	0.017400933727841083
GOTERM_BP_DIRECT	GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic	3	11.11111111111111	0.0020041184662756097	Q99315, Q7LHG5, Q6TUI4	22	21	6513	42.29220779220779	0.1327562391386924	0.028458482221113655	0.022045303129031708
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	4	14.814814814814813	0.0036091838349182307	Q99315, Q7LHG5, O00370, P11369	22	98	6513	12.083487940630798	0.22641180775601788	0.04270867537986573	0.033084185153417114
GOTERM_BP_DIRECT	GO:0070292~N-acylphosphatidylethanolamine metabolic process	2	7.4074074074074066	0.006438738474688237	Q5R611, Q8R3U1	22	2	6513	296.04545454545456	0.367849964976396	0.04571504317028648	0.0354130616107853
GOTERM_BP_DIRECT	GO:1904177~regulation of adipose tissue development	2	7.4074074074074066	0.006438738474688237	Q5R611, Q8R3U1	22	2	6513	296.04545454545456	0.367849964976396	0.04571504317028648	0.0354130616107853
GOTERM_BP_DIRECT	GO:0030397~membrane disassembly	2	7.4074074074074066	0.006438738474688237	Q5R611, Q8R3U1	22	2	6513	296.04545454545456	0.367849964976396	0.04571504317028648	0.0354130616107853
GOTERM_BP_DIRECT	GO:1903008~organelle disassembly	2	7.4074074074074066	0.006438738474688237	Q5R611, Q8R3U1	22	2	6513	296.04545454545456	0.367849964976396	0.04571504317028648	0.0354130616107853
GOTERM_BP_DIRECT	GO:0031048~chromatin silencing by small RNA	2	7.4074074074074066	0.012837981641135424	Q8R151, Q9P2E3	22	4	6513	148.02272727272728	0.6004427214042047	0.08286333604732864	0.06418990820567712
GOTERM_BP_DIRECT	GO:0046485~ether lipid metabolic process	2	7.4074074074074066	0.01602286447795003	Q5R611, Q8R3U1	22	5	6513	118.41818181818182	0.6823597768761893	0.08750949061034248	0.06778904202209629
GOTERM_BP_DIRECT	GO:0070306~lens fiber cell differentiation	2	7.4074074074074066	0.01602286447795003	Q5R611, Q8R3U1	22	5	6513	118.41818181818182	0.6823597768761893	0.08750949061034248	0.06778904202209629
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	2	7.4074074074074066	0.02236329595125659	Q8R151, Q9P2E3	22	7	6513	84.58441558441558	0.7992745813091765	0.11341385803851556	0.08785580552279373
GOTERM_BP_DIRECT	GO:0070213~protein auto-ADP-ribosylation	2	7.4074074074074066	0.025518901667013996	Q8BZ20, Q9H0J9	22	8	6513	74.01136363636364	0.8404441260358606	0.12078946789053292	0.09356930611238465
GOTERM_BP_DIRECT	GO:0006313~transposition, DNA-mediated	2	7.4074074074074066	0.028664805289156433	Q95SX7, Q9NBX4	22	9	6513	65.78787878787878	0.8731741236382975	0.12720007347063167	0.09853526818147523
GOTERM_BP_DIRECT	GO:0002218~activation of innate immune response	2	7.4074074074074066	0.03492761954779403	Q8R151, Q9P2E3	22	11	6513	53.82644628099174	0.9198779683746109	0.14587417575843392	0.11300112206639246
GOTERM_BP_DIRECT	GO:0007031~peroxisome organization	2	7.4074074074074066	0.041151964525694563	Q5R611, Q8R3U1	22	13	6513	45.545454545454554	0.9493902050380145	0.1623216378513508	0.12574211382851117
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	2	7.4074074074074066	0.05348614360504479	Q5R611, Q8R3U1	22	17	6513	34.8288770053476	0.9798156249570859	0.19986927347148317	0.15482831043565598
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	2	7.4074074074074066	0.056545994434074626	Q8R151, Q9P2E3	22	18	6513	32.89393939393939	0.9839611945268862	0.2007382802409649	0.15550148469370523
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	2	7.4074074074074066	0.06263745713898941	Q99315, Q7LHG5	22	20	6513	29.604545454545455	0.9898739690741595	0.21177425985086895	0.1640504829830675
GOTERM_BP_DIRECT	GO:0071897~DNA biosynthetic process	2	7.4074074074074066	0.08366394615257558	Q99315, Q7LHG5	22	27	6513	21.929292929292927	0.9979774978599554	0.27000637167422115	0.20915986538143894
