Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0015074~DNA integration	15	6.521739130434782	6.6404255615606574E-9	Q99315, P04323, P03356, Q8I7P9, P10394, Q7LHG5, Q94HW2, P0CT40, P11369, P05895, Q09575, P34457	192	68	6513	7.482766544117648	5.850197810075564E-6	5.850214919734939E-6	5.850214919734939E-6
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	6	2.608695652173913	2.2288027235869883E-4	Q99315, Q7LHG5, P0CT40	192	20	6513	10.1765625	0.17829958197131224	0.09817875997400684	0.09817875997400684
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	11	4.782608695652174	5.53113331776333E-4	Q99315, P03356, Q94HW2, Q7LHG5, O00370, P0CT40, P11369, P05895	192	98	6513	3.8075573979591835	0.3857956932869535	0.16243094843164982	0.16243094843164982
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	7	3.0434782608695654	0.004289969517833421	Q27237, P29594, Q3T0H0, Q9JI44, F6R2G2, A2AWP0, B7SBD2	192	53	6513	4.480247641509433	0.97734995174187	0.944865786302811	0.944865786302811
GOTERM_BP_DIRECT	GO:0019752~carboxylic acid metabolic process	4	1.7391304347826086	0.0057143819628419825	Q9LY82, Q66HY8, Q95028, A6NK58	192	13	6513	10.4375	0.9935830329878624	1.0	1.0
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	4	1.7391304347826086	0.014640354455651388	Q9LY82, P93733, Q23979, F6R2G2	192	18	6513	7.538194444444444	0.9999977249324291	1.0	1.0
GOTERM_BP_DIRECT	GO:0006516~glycoprotein catabolic process	3	1.3043478260869565	0.016303444299794266	O00462, Q29444, Q95327	192	7	6513	14.537946428571429	0.9999994863422804	1.0	1.0
GOTERM_BP_DIRECT	GO:0006313~transposition, DNA-mediated	3	1.3043478260869565	0.02689137746220474	Q95SX7, Q8I7P9, Q9NBX4	192	9	6513	11.307291666666666	0.999999999962836	1.0	1.0
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	8	3.4782608695652173	0.0270345438206635	P79403, Q9LY82, P07768, Q03249, O00462, Q95028, Q29444, Q95327	192	100	6513	2.71375	0.9999999999673541	1.0	1.0
GOTERM_BP_DIRECT	GO:0045087~innate immune response	7	3.0434782608695654	0.031015047578007465	Q15139, O14802, Q9JMA1, Q921X6, Q9Z142, F6R2G2, O45539	192	81	6513	2.931520061728395	0.9999999999991184	1.0	1.0
GOTERM_BP_DIRECT	GO:0032197~transposition, RNA-mediated	3	1.3043478260869565	0.032974583116899284	Q99315, Q7LHG5, O00370	192	10	6513	10.1765625	0.9999999999998518	1.0	1.0
GOTERM_BP_DIRECT	GO:0008152~metabolic process	5	2.1739130434782608	0.039072314961116156	Q99315, Q7LHG5, O00462, Q9Z110, P07742	192	44	6513	3.854758522727273	0.9999999999999994	1.0	1.0
GOTERM_BP_DIRECT	GO:0006810~transport	3	1.3043478260869565	0.03953725684043941	Q8R420, Q9UJS0, O88576	192	11	6513	9.251420454545455	0.9999999999999997	1.0	1.0
GOTERM_BP_DIRECT	GO:0015804~neutral amino acid transport	3	1.3043478260869565	0.053970353534149806	Q29GB8, B3NV41, Q9UJS0	192	13	6513	7.828125000000001	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030050~vesicle transport along actin filament	3	1.3043478260869565	0.061779159599725283	Q9D6A1, Q23979, Q9I8D1	192	14	6513	7.268973214285714	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007015~actin filament organization	5	2.1739130434782608	0.06521343359887728	Q9D6A1, Q22038, Q23979, Q9I8D1, O60504	192	52	6513	3.2617187500000004	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007264~small GTPase mediated signal transduction	4	1.7391304347826086	0.0712301953509167	Q22038, P35465, Q8WZA2, P60028	192	33	6513	4.111742424242424	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090305~nucleic acid phosphodiester bond hydrolysis	4	1.7391304347826086	0.07650604851934067	Q99315, Q7LHG5, O00370, P28339	192	34	6513	3.9908088235294117	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033499~galactose catabolic process via UDP-galactose	2	0.8695652173913043	0.08543580526669706	P51570, Q03249	192	3	6513	22.614583333333332	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010496~intercellular transport	2	0.8695652173913043	0.08543580526669706	Q9VAS7, Q9V427	192	3	6513	22.614583333333332	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061623~glycolytic process from galactose	2	0.8695652173913043	0.08543580526669706	P51570, Q03249	192	3	6513	22.614583333333332	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006811~ion transport	6	2.608695652173913	0.08854634292069845	Q923I7, Q9VAS7, Q9V427, Q9Z1G4, Q9XYN0, Q64446	192	81	6513	2.5127314814814814	1.0	1.0	1.0
