Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	14	21.875	7.306374174498335E-15	Q94HW2, P08548, P10978, P11369, P16423, Q99315, Q95SX7, P21329, P21328, Q8I7P9, Q7LHG5, O00370, P20825, Q9NBX4	55	87	8142	23.82194357366771	8.060219158778636E-13	8.037011591948169E-13	8.037011591948169E-13
INTERPRO	IPR000477:Reverse transcriptase	13	20.3125	6.984759573160726E-14	P08548, Q10126, P11369, P16423, Q99315, Q95SX7, P21329, P21328, Q8I7P9, Q7LHG5, O00370, P20825, Q9NBX4	57	81	8736	24.597790773229367	1.0824119378582964E-11	1.0826377338399125E-11	1.0686682146935911E-11
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	13	20.3125	1.2080547202855401E-13	P08548, Q10126, P11369, P16423, Q99315, Q95SX7, P21329, P21328, Q8I7P9, Q7LHG5, O00370, P20825, Q9NBX4	59	80	8551	23.55148305084746	4.3968384488835E-11	4.397319181839366E-11	4.3489969930279446E-11
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	13	20.3125	5.163881072646382E-13	P08548, P10978, P11369, P16423, Q99315, Q95SX7, P21329, P21328, Q8I7P9, Q7LHG5, O00370, P20825, Q9NBX4	47	86	6291	20.233300346363187	1.858913023511377E-11	1.8589971861526974E-11	1.6524419432468422E-11
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	13	20.3125	4.472875195184827E-9	P08548, P10978, P11369, P16423, Q99315, Q95SX7, P21329, P21328, Q8I7P9, Q7LHG5, O00370, P20825, Q9NBX4	47	184	6291	9.456868640148011	1.6102349387203674E-7	8.051175351332688E-8	7.156600312295723E-8
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	7	10.9375	1.4063357391593337E-8	Q95SX7, P21329, P21328, P08548, O00370, Q9NBX4, P11369	57	27	8736	39.734892787524366	2.1798180315224513E-6	1.0899101978484837E-6	1.0758468404568902E-6
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	8	12.5	3.996661563426827E-7	Q99315, Q8I7P9, Q94HW2, Q7LHG5, P20825, P10978, P11369, P16423	55	72	8142	16.448484848484846	4.3962319617341095E-5	2.1981638598847547E-5	2.1981638598847547E-5
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	9	14.0625	4.536651270932558E-6	Q99315, Q8I7P9, Q94HW2, Q7LHG5, O00370, P20825, P10978, P11369, P16423	47	134	6291	8.989996824388694	1.6330648026297023E-4	5.443981525119069E-5	4.839094688994728E-5
INTERPRO	IPR001584:Integrase, catalytic core	7	10.9375	7.554258297673817E-6	Q99315, Q8I7P9, Q94HW2, Q7LHG5, P20825, P10978, P11369	57	75	8736	14.30456140350877	0.00117022920598997	3.903033453798139E-4	3.8526717318136466E-4
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	7	10.9375	1.0483221290736941E-5	Q99315, Q8I7P9, Q94HW2, Q7LHG5, P20825, P10978, P11369	59	75	8551	13.527005649717514	0.0038086412089586297	0.0019079462749141234	0.0018869798323326494
