Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	13	27.083333333333332	1.1677935313431982E-14	P08548, P03359, Q03278, P11369, P31792, Q95SX7, P21329, P21328, P10394, Q7LHG5, O00370, Q9NBX4, P17192	44	71	6552	27.26504481434059	1.3639089857520048E-12	1.366318431671542E-12	1.366318431671542E-12
GOTERM_MF_DIRECT	GO:0004523~RNA-DNA hybrid ribonuclease activity	5	10.416666666666668	1.3655306974154674E-4	Q7LHG5, P03359, P31792, P11369, P17192	44	41	6552	18.15964523281596	0.015850832167638607	0.007988354579880485	0.007988354579880485
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	4	8.333333333333332	0.007273576024042325	P10394, Q7LHG5, Q03278, P11369	44	61	6552	9.764530551415797	0.5743417232166722	0.28366946493765066	0.28366946493765066
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	4	8.333333333333332	0.01062055551349069	Q7LHG5, P03359, P31792, P17192	44	70	6552	8.50909090909091	0.713280435601795	0.31065124876960265	0.31065124876960265
GOTERM_MF_DIRECT	GO:0038023~signaling receptor activity	3	6.25	0.03629019759441942	Q7JQ32, Q9P2E9	44	46	6552	9.711462450592885	0.9867652925955387	0.8420067919016155	0.8420067919016155
GOTERM_MF_DIRECT	GO:0001653~peptide receptor activity	2	4.166666666666666	0.05133955666288855	Q7JQ32	44	8	6552	37.22727272727273	0.9979012405459454	0.8420067919016155	0.8420067919016155
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	3	6.25	0.05518097799114074	P10394, Q7LHG5, P03359	44	58	6552	7.70219435736677	0.9986944620081825	0.8420067919016155	0.8420067919016155
GOTERM_MF_DIRECT	GO:0004383~guanylate cyclase activity	2	4.166666666666666	0.05757311397617884	Q7JQ32	44	9	6552	33.090909090909086	0.9990295412401852	0.8420067919016155	0.8420067919016155
GOTERM_MF_DIRECT	GO:0030215~semaphorin receptor binding	2	4.166666666666666	0.06992043838457242	Q7JQ32	44	11	6552	27.074380165289256	0.9997925794379903	0.889606054257367	0.889606054257367
GOTERM_MF_DIRECT	GO:0030507~spectrin binding	2	4.166666666666666	0.07603470549208266	Q01484, Q60673	44	12	6552	24.81818181818182	0.9999041235206069	0.889606054257367	0.889606054257367
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	15	31.25	0.09060993371592692	P08548, A0A0G2JZ79, Q49AG3, Q9UQ26, Q03278, P11369, P32870, P10076, Q7JQ32, Q7LHG5, O00370, Q9M2U3, Q90421, P17192	44	1490	6552	1.49908480780964	0.9999850798191189	0.9637602040694045	0.9637602040694045
