Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	27	12.442396313364055	7.643576729690452E-22	P04323, Q94HW2, P08548, P10401, P11369, P16423, P0CT39, Q99315, Q95SX7, P21329, Q8I7P9, P21328, Q7LHG5, P10394, P21414, P15594, O00370, P14350, P0CT43, P20825, Q9NBX4, P03360, P05895	206	71	6552	12.095172979625325	2.3771523629337307E-19	2.3771523629337307E-19	2.3771523629337307E-19
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	17	7.834101382488479	1.1810741668642358E-11	P04323, Q94HW2, P16423, P0CT39, Q99315, P10394, P21414, Q7LHG5, P14350, P20825, P0CT43, P03360, P05895	206	58	6552	9.322397053900236	3.673150894556443E-9	1.8365703294738867E-9	1.8365703294738867E-9
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	16	7.373271889400922	3.2058735914779345E-10	P0CT39, Q99315, P04323, Q8I7P9, P10394, Q7LHG5, Q94HW2, P20825, P0CT43, P10401, P11369, P16423	206	61	6552	8.34251153907369	9.970265602010642E-8	3.323422289832126E-8	3.323422289832126E-8
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	22	10.138248847926267	4.330294218021526E-6	P04323, Q9Y2T7, Q94HW2, Q61329, Q8BIY1, P10401, P11369, Q8IX06, Q6NYP8, Q09575, Q99315, Q6ZNG9, B2RRL2, Q8I7P9, Q6DGV1, P10394, Q7LHG5, P20825, P49756, A4FVJ7, P21573, Q9V7A7	206	220	6552	3.1805825242718444	0.0013458179912696489	3.366803754511737E-4	3.366803754511737E-4
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	12	5.529953917050691	9.21930313961269E-6	P0CT39, Q99315, P21414, Q7LHG5, P14350, P0CT43, P03360, P05895	206	70	6552	5.4524271844660195	0.0028631099538038995	5.734406552839093E-4	5.734406552839093E-4
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	27	12.442396313364055	5.909911829109336E-5	Q61116, Q9P255, Q8BJ90, P10076, P16951, Q96MX3, Q6PD29, P47236, Q9NW07, Q14590, Q32M78, Q13127, P28698, Q0VA40, Q62513, Q9NP71, O75437, Q61329, Q6ZMW2, Q8NI51, P17019, Q9HCG1, P17025, Q24478, A6NK75, Q8BIQ3, Q9H8G1	206	364	6552	2.359223300970874	0.018212480137630993	0.0030633042980883394	0.0030633042980883394
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	25	11.52073732718894	1.7462493271275394E-4	Q61116, Q9VQS7, Q9P255, P16951, Q6PD29, P47236, Q14590, Q32M78, Q13127, P28698, Q0VA40, Q62513, Q9NP71, O75437, Q61329, P15857, Q96N20, Q8NI51, P17019, Q9HCG1, P17025, Q24478, A6NK75, Q8BIQ3, Q9H8G1	206	345	6552	2.304769945124525	0.05286448466770666	0.007758336296238068	0.007758336296238068
GOTERM_MF_DIRECT	GO:0003677~DNA binding	37	17.050691244239633	8.815726217031431E-4	Q61116, Q04202, Q8BJ90, P10076, P16951, B2RRL2, Q7KRI2, Q6PD29, P0CT43, Q6NT04, P05895, Q9Y2T7, Q62513, Q9NP71, Q61329, P51593, P15857, Q96MW7, Q96N20, Q8NI51, P35600, P0CT39, Q99315, Q7M3K2, Q7LHG5, P21414, Q24478, Q4W5G0, P21573, P03360, Q8BIQ3	206	675	6552	1.7434304207119742	0.2398883939380927	0.034271135668709686	0.034271135668709686
GOTERM_MF_DIRECT	GO:0004523~RNA-DNA hybrid ribonuclease activity	7	3.225806451612903	0.0015700767688611678	Q99315, P21414, Q7LHG5, P14350, P03360, P11369, P05895	206	41	6552	5.430262846317783	0.3865629366140675	0.05425487501286924	0.05425487501286924
GOTERM_MF_DIRECT	GO:0004803~transposase activity	3	1.3824884792626728	0.002862573117792955	Q7M3K2	206	3	6552	31.80582524271845	0.58997489689595	0.08093274905760081	0.08093274905760081
GOTERM_MF_DIRECT	GO:0003693~P-element binding	3	1.3824884792626728	0.002862573117792955	Q7M3K2	206	3	6552	31.80582524271845	0.58997489689595	0.08093274905760081	0.08093274905760081
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	64	29.493087557603687	0.00449374817876221	Q61116, Q9CWQ2, Q9P255, Q8BJ90, P11369, P10076, Q9QXV3, Q96MX3, Q6PD29, Q9NW07, Q8BR93, P28698, Q13127, Q94HW2, Q61329, Q6PBM1, Q3UFB2, P16423, P0CT39, Q99315, Q7M3K2, A9ULZ2, Q7LHG5, P03360, Q802G6, Q9H8G1, Q641K1, Q99JW2, Q9VQS7, A0A0B4K692, O02827, Q9N2V2, P16951, Q8WW22, O00370, P0CT43, Q14590, Q32M78, P08548, Q0VA40, Q62513, O75437, Q19529, Q6ZMW2, Q96N20, Q8NI51, Q9W436, P17019, Q22460, Q9HCG1, P17025, Q9GK13, Q24478, P37172, P14350, Q91W63, A6NK75, Q8BIQ3	206	1490	6552	1.3661562520362285	0.7535768883341322	0.11646297363292063	0.11646297363292063
GOTERM_MF_DIRECT	GO:0004567~beta-mannosidase activity	3	1.3824884792626728	0.005607154232607741	O00462, Q29444, Q95327	206	4	6552	23.854368932038835	0.8260056178358908	0.13414038202623135	0.13414038202623135
GOTERM_MF_DIRECT	GO:0016980~creatinase activity	2	0.9216589861751152	0.06160199050573909	P38487, P19213	206	2	6552	31.805825242718445	0.9999999974154721	1.0	1.0
GOTERM_MF_DIRECT	GO:0015129~lactate transmembrane transporter activity	2	0.9216589861751152	0.06160199050573909	Q49B93, Q1EHB4	206	2	6552	31.805825242718445	0.9999999974154721	1.0	1.0
GOTERM_MF_DIRECT	GO:0018549~methanethiol oxidase activity	2	0.9216589861751152	0.06160199050573909	Q6PHD9, Q13228	206	2	6552	31.805825242718445	0.9999999974154721	1.0	1.0
GOTERM_MF_DIRECT	GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	8	3.686635944700461	0.09022057291923616	P28698, P47236, Q6ZMW2, Q8BJ90, P10076, Q8NI51, P16951, Q96MX3	206	123	6552	2.0686715605020125	0.9999999999998305	1.0	1.0
GOTERM_MF_DIRECT	GO:0008430~selenium binding	2	0.9216589861751152	0.09097169919969027	Q6PHD9, Q13228	206	3	6552	21.20388349514563	0.9999999999998689	1.0	1.0
