Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	3	37.5	0.0012428410562958336	Q91233, Q24133, Q61696	6	50	4392	43.92	0.013586611629520018	0.01367125161925417	0.01367125161925417
GOTERM_BP_DIRECT	GO:0051085~chaperone mediated protein folding requiring cofactor	2	25.0	0.01069999368570939	Q24133, Q61696	6	14	6516	155.1428571428571	0.377079646518677	0.47079972217121313	0.47079972217121313
INTERPRO	IPR018181:Heat shock protein 70, conserved site	2	25.0	0.02268787625741889	Q91233, Q61696	8	23	7030	76.41304347826087	0.382411767333781	0.24847422647442777	0.24847422647442777
INTERPRO	IPR013126:Heat shock protein 70 family	2	25.0	0.023664212045183597	Q91233, Q61696	8	24	7030	73.22916666666667	0.39523954455449317	0.24847422647442777	0.24847422647442777
GOTERM_BP_DIRECT	GO:0009408~response to heat	2	25.0	0.026578065765334447	Q24133, Q61696	6	35	6516	62.05714285714285	0.6943322407975367	0.5847174468373578	0.5847174468373578
INTERPRO	IPR000477:Reverse transcriptase	2	25.0	0.06392260182553317	P15594, P27502	8	66	7030	26.62878787878788	0.7502261640787129	0.44745821277873216	0.44745821277873216
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	2	25.0	0.06452549146392321	P15594, P27502	8	65	6857	26.373076923076926	0.8234649695150493	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	2	25.0	0.06750297925683113	P15594, P27502	6	70	5045	24.023809523809522	0.6241069108379229	0.4626857118916311	0.4626857118916311
GOTERM_BP_DIRECT	GO:0006457~protein folding	2	25.0	0.0708237389440804	Q24133, Q61696	6	95	6516	22.86315789473684	0.9605254986096636	1.0	1.0
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	2	25.0	0.07340027294957822	P15594, P27502	8	71	6558	23.091549295774648	0.9488560167108249	1.0	1.0
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	2	25.0	0.07839041243774716	Q24133, Q61696	8	76	6558	21.572368421052634	0.9585683356461792	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	4	50.0	0.09437890083368998	Q9VM90, P15594, A4II20, P27502	6	1217	5045	2.7636264037250067	0.7503960520672194	0.4626857118916311	0.4626857118916311
