Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	4	26.666666666666668	1.111723031812784E-5	Q95SX7, P21329, O00370, Q9NBX4	15	23	6979	80.9159420289855	4.5570511158343763E-4	4.558064430432414E-4	4.558064430432414E-4
GOTERM_CC_DIRECT	GO:0005634~nucleus	11	73.33333333333333	3.206377608598692E-5	Q8R151, Q5R5X9, Q9ULI0, Q6R2W3, Q8R3U1, Q9P2E3, Q6TUI4, F4KGU4, Q96MW7, B0JYW5, Q9NZJ4	11	2387	6710	2.8110599078341014	7.692469411091363E-4	7.695306260636861E-4	7.695306260636861E-4
INTERPRO	IPR000477:Reverse transcriptase	4	26.666666666666668	2.608830541891956E-4	Q95SX7, P21329, O00370, Q9NBX4	15	65	6979	28.63179487179487	0.01064058485551056	0.00534810261087851	0.00534810261087851
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	4	26.666666666666668	2.6755623854686326E-4	Q95SX7, P21329, O00370, Q9NBX4	15	64	6811	28.379166666666666	0.02117985181580051	0.02140449908374906	0.02140449908374906
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	4	26.666666666666668	4.07485237841224E-4	Q95SX7, P21329, O00370, Q9NBX4	15	71	6552	24.60845070422535	0.016571456969831866	0.016706894751490182	0.016706894751490182
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	4	26.666666666666668	5.152120271801952E-4	Q95SX7, P21329, O00370, Q9NBX4	13	70	5043	22.16703296703297	0.007188862738178314	0.007212968380522732	0.007212968380522732
GOTERM_CC_DIRECT	GO:0031380~nuclear RNA-directed RNA polymerase complex	2	13.333333333333334	0.0029786267040520322	Q8R151, Q9P2E3	11	2	6710	610.0	0.06909097072113957	0.03574352044862439	0.03574352044862439
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	4	26.666666666666668	0.003910981729172183	Q95SX7, P21329, O00370, Q9NBX4	13	141	5043	11.004909983633388	0.0533833710581082	0.02737687210420528	0.02737687210420528
UP_SEQ_FEATURE	ZN_FING:RZ-type	2	13.333333333333334	0.004107073057706857	Q8R151, Q9P2E3	15	2	6811	454.06666666666666	0.28053141776145296	0.10952194820551618	0.10952194820551618
UP_SEQ_FEATURE	DOMAIN:NF-X1-type	2	13.333333333333334	0.004107073057706857	Q8R151, Q9P2E3	15	2	6811	454.06666666666666	0.28053141776145296	0.10952194820551618	0.10952194820551618
GOTERM_BP_DIRECT	GO:0031048~chromatin silencing by small RNA	2	13.333333333333334	0.007351221075500754	Q8R151, Q9P2E3	13	4	6513	250.5	0.32365626348354526	0.266282191889807	0.2612579995899993
SMART	SM00438:ZnF_NFX	2	13.333333333333334	0.009011270922427336	Q8R151, Q9P2E3	8	5	3872	193.6	0.11101732689990607	0.11714652199155537	0.11714652199155537
INTERPRO	IPR000967:Zinc finger, NF-X1-type	2	13.333333333333334	0.00999278242171182	Q8R151, Q9P2E3	15	5	6979	186.10666666666665	0.33751996755077973	0.13656802643006155	0.13656802643006155
UP_SEQ_FEATURE	ZN_FING:NF-X1-type 1	2	13.333333333333334	0.010238322798754243	Q8R151, Q9P2E3	15	5	6811	181.62666666666667	0.5610139287066922	0.1170094034143342	0.1170094034143342
UP_SEQ_FEATURE	ZN_FING:NF-X1-type 4	2	13.333333333333334	0.010238322798754243	Q8R151, Q9P2E3	15	5	6811	181.62666666666667	0.5610139287066922	0.1170094034143342	0.1170094034143342
UP_SEQ_FEATURE	ZN_FING:NF-X1-type 2	2	13.333333333333334	0.010238322798754243	Q8R151, Q9P2E3	15	5	6811	181.62666666666667	0.5610139287066922	0.1170094034143342	0.1170094034143342
UP_SEQ_FEATURE	ZN_FING:NF-X1-type 3	2	13.333333333333334	0.010238322798754243	Q8R151, Q9P2E3	15	5	6811	181.62666666666667	0.5610139287066922	0.1170094034143342	0.1170094034143342
UP_KW_DOMAIN	KW-0175~Coiled coil	7	46.666666666666664	0.01089291043577852	Q8R151, Q5R5X9, Q9ULI0, Q6R2W3, Q9P2E3, Q6TUI4, Q9NZJ4	9	1379	4623	2.607445008460237	0.08389233275942476	0.08714328348622816	0.08714328348622816
GOTERM_MF_DIRECT	GO:0004386~helicase activity	3	20.0	0.011041214442882592	Q8R151, Q9P2E3, Q6TUI4	15	76	6552	17.242105263157896	0.3656836434799482	0.22634489607909314	0.22634489607909314
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	8	53.333333333333336	0.011577797373992435	Q95SX7, P21329, Q5R5X9, O00370, Q8R3U1, Q9NBX4, F4KGU4, B0JYW5	13	1217	5043	2.550028443208394	0.15043836570829172	0.05402972107863137	0.05402972107863137
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	2	13.333333333333334	0.012832091578572544	Q8R151, Q9P2E3	13	7	6513	143.14285714285714	0.4956587233836691	0.266282191889807	0.2612579995899993
UP_SEQ_FEATURE	DOMAIN:AAA_11	2	13.333333333333334	0.01633450608999214	Q8R151, Q9P2E3	15	8	6811	113.51666666666667	0.7322096270484104	0.1633450608999214	0.1633450608999214
GOTERM_BP_DIRECT	GO:0006313~transposition, DNA-mediated	2	13.333333333333334	0.01647057883788826	Q95SX7, Q9NBX4	13	9	6513	111.33333333333334	0.5853039856828416	0.266282191889807	0.2612579995899993
GOTERM_BP_DIRECT	GO:0002218~activation of innate immune response	2	13.333333333333334	0.020096769199230716	Q8R151, Q9P2E3	13	11	6513	91.0909090909091	0.6590355920010983	0.266282191889807	0.2612579995899993
UP_KW_BIOLOGICAL_PROCESS	KW-0051~Antiviral defense	2	13.333333333333334	0.029717535106242046	Q8R151, Q9P2E3	7	22	4389	57.0	0.30372918161057605	0.35661042127490455	0.35661042127490455
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	5	33.33333333333333	0.029868846955774395	Q8R151, Q9ULI0, Q9P2E3, Q6TUI4, F4KGU4	15	619	6979	3.7582121701669355	0.7115646474220615	0.3061556812966875	0.3061556812966875
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	2	13.333333333333334	0.03269214208378319	Q8R151, Q9P2E3	13	18	6513	55.66666666666667	0.8282368737514004	0.3465367060881018	0.33999827767134516
GOTERM_CC_DIRECT	GO:0010494~cytoplasmic stress granule	2	13.333333333333334	0.049563227064030324	Q8R151, Q9P2E3	11	34	6710	35.88235294117647	0.7047719993017978	0.3965058165122426	0.3965058165122426
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	2	13.333333333333334	0.05918400225231419	Q8R151, Q9P2E3	13	33	6513	30.363636363636367	0.9605770825813174	0.522792019895442	0.5129280195200563
UP_KW_BIOLOGICAL_PROCESS	KW-0399~Innate immunity	2	13.333333333333334	0.0818648785442886	Q8R151, Q9P2E3	7	62	4389	20.225806451612904	0.6411778785740931	0.4381431986894689	0.4381431986894689
UP_KW_CELLULAR_COMPONENT	KW-1000~Mitochondrion outer membrane	2	13.333333333333334	0.08540958391222003	Q8R151, Q9P2E3	11	54	6080	20.47138047138047	0.6254643971168945	0.8827076305130709	0.8827076305130709
GOTERM_CC_DIRECT	GO:0005741~mitochondrial outer membrane	2	13.333333333333334	0.08596053446516454	Q8R151, Q9P2E3	11	60	6710	20.333333333333332	0.8843465094693456	0.5157632067909872	0.5157632067909872
COG_ONTOLOGY	DNA replication, recombination, and repair	2	13.333333333333334	0.09101588523448177	Q8R151, Q9P2E3	3	53	1138	14.314465408805031	0.24894994731416953	0.18203177046896354	0.18203177046896354
GOTERM_MF_DIRECT	GO:0003723~RNA binding	4	26.666666666666668	0.09556164831299507	Q8R151, Q9P2E3, Q6TUI4, F4KGU4	15	524	6552	3.334351145038168	0.9837243716957184	1.0	1.0
