Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	4	50.0	1.0851899933200065E-6	Q95SX7, P21329, O00370, Q9NBX4	8	23	6979	151.7173913043478	1.1937025156560921E-5	1.1937089926520072E-5	1.0851899933200065E-5
INTERPRO	IPR000477:Reverse transcriptase	4	50.0	2.6284309874809522E-5	Q95SX7, P21329, O00370, Q9NBX4	8	65	6979	53.684615384615384	2.890894140472611E-4	1.4456370431145237E-4	1.314215493740476E-4
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	4	50.0	2.6966931238935224E-5	Q95SX7, P21329, O00370, Q9NBX4	8	64	6811	53.2109375	0.0010242323200645442	0.0010247433870795384	9.977764558406032E-4
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	4	50.0	4.137879384045179E-5	Q95SX7, P21329, O00370, Q9NBX4	8	71	6552	46.140845070422536	7.859043646271102E-4	7.86197082968584E-4	7.86197082968584E-4
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	4	50.0	4.9731209866526774E-5	Q95SX7, P21329, O00370, Q9NBX4	7	70	5043	41.16734693877551	3.977804364088122E-4	3.978496789322142E-4	3.978496789322142E-4
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	4	50.0	4.023307204123741E-4	Q95SX7, P21329, O00370, Q9NBX4	7	141	5043	20.43768996960486	0.0032141170482407055	0.0016093228816494963	0.0016093228816494963
GOTERM_CC_DIRECT	GO:0031380~nuclear RNA-directed RNA polymerase complex	2	25.0	8.940544976039232E-4	Q8R151, Q9P2E3	4	2	6710	1677.5	0.015090701554065	0.015198926459266694	0.015198926459266694
UP_SEQ_FEATURE	ZN_FING:RZ-type	2	25.0	0.002054592952457513	Q8R151, Q9P2E3	8	2	6811	851.375	0.07517879118039583	0.02602484406446183	0.025339979746975997
UP_SEQ_FEATURE	DOMAIN:NF-X1-type	2	25.0	0.002054592952457513	Q8R151, Q9P2E3	8	2	6811	851.375	0.07517879118039583	0.02602484406446183	0.025339979746975997
SMART	SM00438:ZnF_NFX	2	25.0	0.00258131027281933	Q8R151, Q9P2E3	3	5	3872	516.2666666666667	0.0077239585299748725	0.00774393081845799	0.00774393081845799
