Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005604~basement membrane	7	63.63636363636363	3.991547786966879E-12	Q01635, Q21313, Q9Y6N6, O76840, Q00174, P11047, Q868Z9	10	43	6710	109.23255813953487	9.978962101087063E-11	9.978869467417198E-11	9.579714688720509E-11
UP_KW_CELLULAR_COMPONENT	KW-0084~Basement membrane	6	54.54545454545454	5.2832474528523576E-11	Q01635, Q9Y6N6, O76840, Q00174, P11047, Q868Z9	9	26	6080	155.89743589743588	5.811576775371918E-10	5.811572198137594E-10	5.811572198137594E-10
UP_SEQ_FEATURE	DOMAIN:Laminin N-terminal	5	45.45454545454545	1.3995907683789392E-9	Q01635, Q21313, Q9Y6N6, Q00174, P11047	10	14	6811	243.25	1.287623432322249E-7	1.287623506908624E-7	5.738322150353651E-8
INTERPRO	IPR008211:Laminin, N-terminal	5	45.45454545454545	2.1138506916789095E-9	Q01635, Q21313, Q9Y6N6, Q00174, P11047	11	14	6979	226.5909090909091	6.13016670758526E-8	6.130167005868838E-8	3.382161106686255E-8
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 1	5	45.45454545454545	3.321829113968536E-9	Q01635, Q21313, Q9Y6N6, Q00174, P11047	10	17	6811	200.3235294117647	3.056082351626799E-7	1.3089791137031987E-7	5.8334938762859934E-8
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 2	5	45.45454545454545	4.2684101533799954E-9	Q01635, Q21313, Q9Y6N6, Q00174, P11047	10	18	6811	189.19444444444443	3.9269366036709386E-7	1.3089791137031987E-7	5.8334938762859934E-8
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	6	54.54545454545454	5.120484582718138E-9	Q01635, Q9Y6N6, O76840, Q00174, P11047, Q868Z9	9	62	6080	65.3763440860215	5.632532906751919E-8	2.8162665204949757E-8	2.8162665204949757E-8
SMART	SM00136:LamNT	5	45.45454545454545	7.4315226612401355E-9	Q01635, Q21313, Q9Y6N6, Q00174, P11047	9	14	3872	153.65079365079364	8.17467458169574E-8	8.174674927364148E-8	8.174674927364148E-8
UP_KW_DOMAIN	KW-0424~Laminin EGF-like domain	5	45.45454545454545	1.092369654191686E-8	Q01635, Q21313, Q9Y6N6, Q00174, P11047	8	21	4623	137.5892857142857	5.461848129328928E-8	5.46184827095843E-8	2.184739308383372E-8
INTERPRO	IPR002049:EGF-like, laminin	5	45.45454545454545	1.8583804502401185E-8	Q01635, Q21313, Q9Y6N6, Q00174, P11047	11	23	6979	137.92490118577075	5.389301901415067E-7	2.694651652848172E-7	1.4867043601920948E-7
GOTERM_BP_DIRECT	GO:0009888~tissue development	5	45.45454545454545	2.5284525690770322E-8	Q01635, Q21313, Q9Y6N6, Q00174, P11047	9	30	6513	120.61111111111113	1.7951997356435712E-6	1.795201324044693E-6	1.7446322726631522E-6
SMART	SM00180:EGF_Lam	5	45.45454545454545	6.525129126945699E-8	Q01635, Q21313, Q9Y6N6, Q00174, P11047	9	23	3872	93.52657004830918	7.177639697042437E-7	3.588821019820134E-7	3.588821019820134E-7
GOTERM_BP_DIRECT	GO:0009887~animal organ morphogenesis	5	45.45454545454545	7.555059742557748E-8	Q01635, Q21313, Q9Y6N6, Q00174, P11047	9	39	6513	92.77777777777777	5.36407823448215E-6	2.6820462086080005E-6	2.606495611182423E-6
UP_SEQ_FEATURE	DOMAIN:Laminin IV type A	4	36.36363636363637	1.9061624398050265E-7	Q21313, Q9Y6N6, Q00174, P11047	10	10	6811	272.44	1.7536542353480122E-5	4.013511860500092E-6	1.7886302856576493E-6
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 9	4	36.36363636363637	2.61924003555179E-7	Q21313, Q9Y6N6, Q00174, P11047	10	11	6811	247.67272727272726	2.409672115610828E-5	4.013511860500092E-6	1.7886302856576493E-6
INTERPRO	IPR000034:Laminin B type IV	4	36.36363636363637	3.475419616058462E-7	Q21313, Q9Y6N6, Q00174, P11047	11	11	6979	230.7107438016529	1.0078667849189316E-5	3.35957229552318E-6	1.853557128564513E-6
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 4	4	36.36363636363637	3.49001031347834E-7	Q21313, Q9Y6N6, Q00174, P11047	10	12	6811	227.03333333333333	3.210758502258937E-5	4.013511860500092E-6	1.7886302856576493E-6
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 8	4	36.36363636363637	3.49001031347834E-7	Q21313, Q9Y6N6, Q00174, P11047	10	12	6811	227.03333333333333	3.210758502258937E-5	4.013511860500092E-6	1.7886302856576493E-6
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 10	4	36.36363636363637	3.49001031347834E-7	Q21313, Q9Y6N6, Q00174, P11047	10	12	6811	227.03333333333333	3.210758502258937E-5	4.013511860500092E-6	1.7886302856576493E-6
UP_SEQ_FEATURE	DOMAIN:Laminin EGF-like 7	4	36.36363636363637	4.5340125194902763E-7	Q21313, Q9Y6N6, Q00174, P11047	10	13	6811	209.56923076923078	4.171205466729777E-5	4.171291517931054E-6	1.8589451329910132E-6
