Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	42	14.18918918918919	2.1912921735594E-11	Q92618, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q98T94, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, A9JTS5, Q96N22, Q25515, Q9UJU3, O15014, P08045, Q9BWM5, Q6NTY6, Q8N859, A7MBI1, O93567, Q6ZMW2, Q8IYN0, Q7T3H2, Q8TF32, P16423, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, Q13351, P20662, A6NP11	287	315	6979	3.242276422764227	1.1635758245809313E-8	1.1635761441600414E-8	1.1526196832922443E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 8	32	10.81081081081081	1.3311871051482071E-10	Q92618, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	195	6811	3.8277485072005617	1.5162223143683207E-7	1.516222112763808E-7	1.4749553125042135E-7
INTERPRO	IPR001909:Krueppel-associated box	26	8.783783783783784	1.376351620983024E-10	Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, Q8N859, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, A6NK75, A8MQ14, A6NP11	287	135	6979	4.683288166214996	7.308424898599952E-8	3.654213553709929E-8	3.619804763185353E-8
UP_SEQ_FEATURE	DOMAIN:KRAB	26	8.783783783783784	2.8072339776304057E-10	Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, Q8N859, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, A6NK75, A8MQ14, A6NP11	292	134	6811	4.525812717235739	3.197439522040213E-7	1.5987197502605162E-7	1.5552076236072448E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 12	26	8.783783783783784	4.596989861193525E-10	Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	137	6811	4.4267073292670736	5.235969620098757E-7	1.7453238172998083E-7	1.6978215887341418E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 10	28	9.45945945945946	6.536747571252306E-10	Q92618, Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	161	6811	4.056581298391899	7.445352986357179E-7	1.8613388709140942E-7	1.8106790772368888E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 9	29	9.797297297297296	8.295502088129107E-10	Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	174	6811	3.8875570776255706	9.448572390047261E-7	1.8897153756758108E-7	1.83828326272941E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 11	26	8.783783783783784	1.0128619345369325E-9	Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q96N22, Q9UJU3, P08045, Q9BWM5, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	142	6811	4.27083735288443	1.1536490454044923E-6	1.9227495723959436E-7	1.8704183724448685E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 6	32	10.81081081081081	1.4473278663353883E-9	Q92618, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q9UJU3, P08045, Q9BWM5, Q8N859, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	214	6811	3.487901677122007	1.6485050216008545E-6	2.3550091996514392E-7	2.2909132512851574E-7
SMART	SM00349:KRAB	26	8.783783783783784	2.1149071618902337E-9	Q96SE7, Q08ER8, Q5RDX1, Q5R8X1, A6NNF4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, Q8N859, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, A6NN14, Q9HCG1, Q96N38, P17141, A6NK75, A8MQ14, A6NP11	187	134	3872	4.017559262510974	2.8974223631461626E-7	2.2922826478489813E-7	2.2922826478489813E-7
SMART	SM00355:ZnF_C2H2	40	13.513513513513514	3.346398026056907E-9	Q92618, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q98T94, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q25515, Q9UJU3, P08045, Q9BWM5, Q6NTY6, Q8N859, A7MBI1, O93567, Q6ZMW2, Q8IYN0, Q7T3H2, Q8TF32, P16423, A6NN14, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, Q13351, P20662, A6NP11	187	300	3872	2.7607843137254897	4.584564281540082E-7	2.2922826478489813E-7	2.2922826478489813E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7	30	10.135135135135135	6.2786461036564345E-9	Q92618, Q96SE7, Q08ER8, Q9UJN7, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, P10076, Q96IR2, Q6ZNA1, Q03923, Q96N22, Q9UJU3, P08045, Q9BWM5, A7MBI1, Q6ZMW2, Q8IYN0, Q8TF32, Q9HCG1, Q96N38, P17141, P18729, A6NK75, Q7Z7L9, A8MQ14, P20662, A6NP11	292	202	6811	3.4641597721415978	7.1513524260158334E-6	8.939222390080848E-7	8.695924853564162E-7
UP_KW_DOMAIN	KW-0863~Zinc-finger	68	22.972972972972975	6.9806255285394595E-9	Q92618, Q9UJN7, Q08ER8, Q8BJ90, P11369, A6NNF4, Q7L3S4, P10076, Q09575, Q6ZNA1, A9JTS5, P05130, P08045, Q6NTY6, Q94HW2, Q8N859, P03359, A1L3F4, Q6C5V7, Q9VMJ7, Q8IYN0, Q8TF32, Q6WKZ8, P16423, Q99315, Q96N38, P18729, Q7YZH1, Q7Z7L9, Q9BY12, Q05192, Q96SE7, Q5RDX1, Q9UPP1, Q7T2G1, P11346, Q852K5, Q98T94, Q5R8X1, P51522, Q96IR2, Q8TBB1, Q03923, Q96N22, Q25515, Q9ZT94, Q9UJU3, O15014, Q9BWM5, Q9H3H1, A7MBI1, O43422, O93567, Q5TC82, Q6ZMW2, Q7T3H2, A6QQJ8, Q960X4, A6NN14, Q9HCG1, P17141, A6NK75, A8MQ14, Q13351, Q6DJN2, P20662, A6NP11, P49867	206	772	4623	1.9767342421650989	1.2565125195873605E-7	1.2565125951371027E-7	1.2565125951371027E-7
