Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	ZN_FING:C2H2-type 11	20	12.987012987012985	2.1249868445952058E-10	Q96SE7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	142	6811	6.311156412157153	1.4789907409884506E-7	7.41016913457895E-8	7.15464606097278E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 8	23	14.935064935064934	2.129358946718089E-10	Q96SE7, Q9UJN7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	195	6811	5.285188933873144	1.4820336924348254E-7	7.41016913457895E-8	7.15464606097278E-8
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	10	6.493506493506493	3.589694866552833E-10	Q95SX7, P21329, P21328, P08548, O00370, P14381, Q9NBX4, Q588U8, P11369, Q9VZS6	146	23	6979	20.783204288266823	1.0194733868207351E-7	7.229061175282515E-8	7.229061175282515E-8
INTERPRO	IPR000477:Reverse transcriptase	14	9.090909090909092	5.090888151607405E-10	P04323, P08548, P11369, Q09575, P16423, Q99315, Q95SX7, P21329, P21328, O00370, P14381, Q9NBX4, P03360, P17192	146	65	6979	10.29567966280295	1.44581200567373E-7	7.229061175282515E-8	7.229061175282515E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 12	19	12.337662337662337	8.924450909564066E-10	Q96SE7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	137	6811	6.214416058394161	6.211416093693245E-7	1.4998192720017408E-7	1.4481013660706462E-7
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	14	9.090909090909092	9.242090390628127E-10	P04323, P08548, P11369, Q09575, P16423, Q99315, Q95SX7, P21329, P21328, O00370, P14381, Q9NBX4, P03360, P17192	152	64	6811	9.802014802631579	6.432492870578344E-7	1.4998192720017408E-7	1.4481013660706462E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 9	21	13.636363636363635	1.0926676254856425E-9	Q96SE7, Q9UJN7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	174	6811	5.4080081669691475	7.604963768725881E-7	1.4998192720017408E-7	1.4481013660706462E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 6	23	14.935064935064934	1.2929476482773627E-9	Q96SE7, Q9UJN7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	214	6811	4.815943187407771	8.99891151595611E-7	1.4998192720017408E-7	1.4481013660706462E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 10	20	12.987012987012985	1.8849128229705396E-9	Q96SE7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	161	6811	5.566361556064073	1.3118984365512176E-6	1.8741418925535652E-7	1.809516310051718E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7	22	14.285714285714285	2.5984681263295256E-9	Q96SE7, Q9UJN7, Q08ER8, Q6ZMW2, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662, A6NP11	152	202	6811	4.880211047420532	1.8085321696892365E-6	2.2606672699066874E-7	2.1827132261168014E-7
INTERPRO	IPR001909:Krueppel-associated box	17	11.03896103896104	1.4652024492342934E-8	Q96SE7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, Q9UJU3, A8MQ14, P08045, Q9BWM5, A6NP11	146	135	6979	6.01943176052765	4.161166325844512E-6	1.3870583186084644E-6	1.3870583186084644E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	42	27.27272727272727	2.2038105491182616E-8	Q05192, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q9UPP1, Q7T2G1, Q5R8X1, Q80T69, Q8BJ90, A6NNF4, Q7L3S4, P51522, E9Q5F9, Q96IR2, B3LYS5, Q7KRI2, Q9UJU3, Q7JQF1, Q9BWM5, Q6NTY6, P97471, Q95YM8, Q6ZMW2, Q9VMJ7, Q62130, A2SXS5, O00255, Q960X4, Q8TF32, P31368, Q9HCG1, Q96N38, Q497V6, P17141, P18729, Q7Z7L9, A8MQ14, P20482, P20662, P49867, A6NP11	90	883	4389	2.3195922989807474	1.0798665959210751E-6	1.0798671690679482E-6	1.0798671690679482E-6
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	13	8.441558441558442	2.2472068808787497E-8	Q96SE7, Q08ER8, Q6ZMW2, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, Q9UJU3, A8MQ14, Q9BWM5, A6NP11	51	104	3303	8.095588235294116	2.0449561893842727E-6	2.044958261599662E-6	2.044958261599662E-6
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	25	16.233766233766232	2.3862268539018225E-8	Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, P51522, Q96IR2, Q9UJU3, P08045, Q9BWM5, Q6NTY6, Q6ZMW2, Q8TF32, P16423, Q9HCG1, Q96N38, P17141, P18729, Q7Z7L9, A8MQ14, P20662, A6NP11	146	315	6979	3.7937595129375947	6.77686137029454E-6	1.694221066270294E-6	1.694221066270294E-6
UP_SEQ_FEATURE	DOMAIN:KRAB	17	11.03896103896104	3.306707394839307E-8	Q96SE7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, A6NNF4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, Q9UJU3, A8MQ14, P08045, Q9BWM5, A6NP11	152	134	6811	5.684750589159466	2.3014419026412547E-5	2.557187052009064E-6	2.469008188146683E-6
UP_SEQ_FEATURE	ZN_FING:C2H2-type 5	22	14.285714285714285	3.9181365721042394E-8	Q96SE7, Q9UJN7, Q08ER8, Q5RDX1, Q6ZMW2, Q5R8X1, Q8BJ90, A6NNF4, Q7L3S4, Q8TF32, P51522, Q96IR2, Q9HCG1, Q96N38, P17141, P18729, Q9UJU3, Q7Z7L9, A8MQ14, P08045, Q9BWM5, P20662	152	235	6811	4.194904815229563	2.7269859237288863E-5	2.7270230541845506E-6	2.6329877764540488E-6
UP_KW_LIGAND	KW-0862~Zinc	46	29.87012987012987	4.987521275378014E-8	Q05192, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q9UPP1, Q7T2G1, P11346, Q852K5, Q5R8X1, Q8BJ90, P11369, Q9VGI8, A6NNF4, Q7L3S4, P51522, E9Q5F9, Q96IR2, Q09575, Q80V42, Q8TBB1, Q9UJU3, P08045, Q9BWM5, Q6NTY6, P97471, Q6C5V7, Q6ZMW2, Q9VMJ7, A6QQJ8, Q960X4, Q8TF32, Q08499, Q9GSR1, P16423, Q99315, Q9HCG1, Q96N38, P17141, P18729, Q7Z7L9, A8MQ14, Q9BY12, P20662, P49867, A6NP11	74	1121	3612	2.002941389203655	8.977534486920291E-7	8.977538295680426E-7	8.977538295680426E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	42	27.27272727272727	8.84479342613583E-8	Q05192, Q96SE7, Q08ER8, Q9UJN7, Q5RDX1, Q9UPP1, Q7T2G1, Q5R8X1, Q80T69, Q8BJ90, A6NNF4, Q7L3S4, P51522, E9Q5F9, Q96IR2, B3LYS5, Q7KRI2, Q9UJU3, Q7JQF1, Q9BWM5, Q6NTY6, P97471, Q95YM8, Q6ZMW2, Q9VMJ7, Q62130, A2SXS5, O00255, Q960X4, Q8TF32, P31368, Q9HCG1, Q96N38, Q497V6, P17141, P18729, Q7Z7L9, A8MQ14, P20482, P20662, P49867, A6NP11	90	925	4389	2.2142702702702706	4.333939581324664E-6	2.1669743894032782E-6	2.1669743894032782E-6
