Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:Reverse transcriptase	14	10.687022900763358	7.877046498419172E-11	P04323, P08548, Q10126, P11369, P31792, Q09575, Q99315, P21329, Q95SX7, P21328, P10394, O00370, P14381, Q9NBX4	125	66	7029	11.928	2.189818060216453E-8	2.18981892656053E-8	2.1740648335636914E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 9	21	16.030534351145036	8.258274897727906E-11	Q5R633, Q9UJN7, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045, Q2EI21	131	174	6744	6.21321400368518	5.045803974645935E-8	2.8191893067114206E-8	2.7545924977196695E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 8	22	16.793893129770993	9.228115570250149E-11	Q5R633, Q9UJN7, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045, Q2EI21	131	195	6744	5.808103347034645	5.638380107253482E-8	2.8191893067114206E-8	2.7545924977196695E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7	22	16.793893129770993	1.8024637250214462E-10	Q5R633, Q9UJN7, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045, Q2EI21	131	202	6744	5.606832438969088	1.1013052803043877E-7	2.967723910333336E-8	2.8997236898019663E-8
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	14	10.687022900763358	1.9428634437534113E-10	P04323, P08548, Q10126, P11369, P31792, Q09575, Q99315, P21329, Q95SX7, P21328, P10394, O00370, P14381, Q9NBX4	131	65	6744	11.088197298884321	1.187089618825965E-7	2.967723910333336E-8	2.8997236898019663E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 6	22	16.793893129770993	5.325802714900205E-10	Q5R633, Q9UJN7, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045, Q2EI21	131	214	6744	5.2924306199614755	3.25406518508764E-7	6.50813091760805E-8	6.359008441590845E-8
UP_SEQ_FEATURE	ZN_FING:C2H2-type 10	19	14.50381679389313	1.254420529212587E-9	Q5R633, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045	131	161	6744	6.075387606087904	7.664506734839094E-7	1.2774182389148177E-7	1.248148426566524E-7
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	9	6.870229007633588	2.9375484918798798E-9	P21329, Q95SX7, P21328, P08548, O00370, P14381, Q9NBX4, Q588U8, P11369	125	23	7029	22.00382608695652	8.16638161205141E-7	4.083192403713033E-7	4.053816918794234E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 5	22	16.793893129770993	2.987942239232378E-9	Q5R633, Q9UJN7, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q7L3S4, Q8TF32, Q8NI51, P51522, P17019, Q9HCG1, Q96N38, Q8BQN6, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045, Q2EI21	131	235	6744	4.819490011369173	1.8256310369002549E-6	2.608046725958547E-7	2.5482878811739E-7
UP_SEQ_FEATURE	ZN_FING:C2H2-type 11	17	12.977099236641221	1.0024288873715658E-8	Q5R633, Q08ER8, Q13106, Q6ZMW2, Q9P255, Q15937, Q8TF32, P51522, P17019, Q9HCG1, Q96N38, Q7Z340, P17141, P18729, Q7Z7L9, A8MQ14, P08045	131	142	6744	6.163208257176647	6.124821757214072E-6	7.656050627300334E-7	7.48062557201031E-7
