Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	8	30.76923076923077	1.006590327434117E-9	Q95SX7, P21329, P21328, O00370, P20825, Q9NBX4, P11369, Q09575	24	64	6811	35.473958333333336	9.461949002087522E-8	9.4619490778807E-8	9.361290045137287E-8
INTERPRO	IPR000477:Reverse transcriptase	8	30.76923076923077	1.8393805874697867E-9	Q95SX7, P21329, P21328, O00370, P20825, Q9NBX4, P11369, Q09575	26	65	6979	33.036686390532545	1.2139910821051814E-7	1.213991187730059E-7	1.1772035759806635E-7
INTERPRO	IPR005135:Endonuclease/exonuclease/phosphatase	6	23.076923076923077	1.2429013586018574E-8	Q95SX7, P21329, P21328, O00370, Q9NBX4, P11369	26	23	6979	70.02341137123746	8.20314565941338E-7	4.1015744833861293E-7	3.9772843475259437E-7
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	7	26.923076923076923	1.3546435658780288E-7	Q95SX7, P21329, P21328, O00370, P20825, Q9NBX4, P11369	20	70	5043	25.215	3.1156755595507235E-6	3.115680201519466E-6	3.115680201519466E-6
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	7	26.923076923076923	1.5077320718253907E-7	Q95SX7, P21329, P21328, O00370, P20825, Q9NBX4, P11369	25	71	6552	25.838873239436623	9.800211180577278E-6	9.80025846686504E-6	9.80025846686504E-6
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	7	26.923076923076923	8.63349609454604E-6	Q95SX7, P21329, P21328, O00370, P20825, Q9NBX4, P11369	20	141	5043	12.518085106382978	1.985515533897697E-4	9.928520508727946E-5	9.928520508727946E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	19.230769230769234	9.886073380345113E-6	O16087, Q9I8F9, Q91233, Q24133, Q61696	14	50	4389	31.349999999999998	9.885633586959042E-5	9.886073380345113E-5	9.886073380345113E-5
GOTERM_BP_DIRECT	GO:0051085~chaperone mediated protein folding requiring cofactor	3	11.538461538461538	7.974836254286124E-4	Q9I8F9, Q24133, Q61696	21	14	6513	66.45918367346938	0.0927450870821126	0.09729300230229071	0.09729300230229071
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	4	15.384615384615385	0.002547848936893002	O16087, Q9I8F9, Q24133, Q61696	25	76	6552	13.793684210526315	0.15280256710162976	0.08280509044902257	0.08280509044902257
INTERPRO	IPR018181:Heat shock protein 70, conserved site	3	11.538461538461538	0.00297657057069259	Q9I8F9, Q91233, Q61696	26	23	6979	35.01170568561873	0.17860126559870648	0.05346094259480675	0.051840914031327755
INTERPRO	IPR013126:Heat shock protein 70 family	3	11.538461538461538	0.0032400571269579847	Q9I8F9, Q91233, Q61696	26	24	6979	33.55288461538462	0.1928057662806354	0.05346094259480675	0.051840914031327755
UP_KW_DISEASE	KW-0656~Proto-oncogene	3	11.538461538461538	0.005895042445127217	P12981, Q91822, P26323	4	24	523	16.34375	0.02912973955728848	0.029475212225636083	0.029475212225636083
UP_SEQ_FEATURE	REGION:Endonuclease activity	2	7.6923076923076925	0.006742871458562847	O00370, P11369	24	2	6811	283.7916666666667	0.4705817351505731	0.3169149585524538	0.3135435228231724
UP_SEQ_FEATURE	DOMAIN:DUF1725	2	7.6923076923076925	0.013442240638705626	O00370, P11369	24	4	6811	141.89583333333334	0.7197687467742239	0.39027968058546675	0.38612776908987667
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	3	11.538461538461538	0.016607645982360288	P20825, P11369, Q09575	24	59	6811	14.430084745762711	0.7928324336216244	0.39027968058546675	0.38612776908987667
GOTERM_BP_DIRECT	GO:0015074~DNA integration	3	11.538461538461538	0.018078867316732698	P20825, P11369, Q09575	21	68	6513	13.682773109243698	0.892019323583576	0.8577529254049665	0.8577529254049665
INTERPRO	IPR001584:Integrase, catalytic core	3	11.538461538461538	0.01860701714963931	P20825, P11369, Q09575	26	59	6979	13.648631029986962	0.7105093161473888	0.2456126263752389	0.23816981951538319
SMART	SM00338:BRLZ	2	7.6923076923076925	0.01973284172527781	Q6IMZ0, P12981	12	7	3872	92.19047619047619	0.2873837895393154	0.20606400330354316	0.20606400330354316
UP_KW_DOMAIN	KW-0175~Coiled coil	7	26.923076923076923	0.024468324064839553	P11369, Q91233, P12981, Q7TT49, Q5RJU0, Q9HC77, Q61696	10	1379	4623	2.346700507614213	0.13811712011914412	0.14680994438903733	0.14680994438903733
GOTERM_BP_DIRECT	GO:0006313~transposition, DNA-mediated	2	7.6923076923076925	0.027316560879492673	Q95SX7, Q9NBX4	21	9	6513	68.92063492063491	0.965917955299313	0.8577529254049665	0.8577529254049665
SMART	SM00251:SAM_PNT	2	7.6923076923076925	0.028080878664573657	Q32LN0, P26323	12	10	3872	64.53333333333333	0.3838135423550383	0.20606400330354316	0.20606400330354316
UP_SEQ_FEATURE	DOMAIN:bZIP	2	7.6923076923076925	0.03000209587588075	Q6IMZ0, P12981	24	9	6811	63.06481481481481	0.9429238312469052	0.429477858768913	0.42490894537775437
UP_SEQ_FEATURE	REGION:Basic motif	2	7.6923076923076925	0.03000209587588075	Q6IMZ0, P12981	24	9	6811	63.06481481481481	0.9429238312469052	0.429477858768913	0.42490894537775437
UP_SEQ_FEATURE	DOMAIN:PNT	2	7.6923076923076925	0.033282006459944675	Q32LN0, P26323	24	10	6811	56.75833333333333	0.9584872593003464	0.429477858768913	0.42490894537775437
GOTERM_BP_DIRECT	GO:0006457~protein folding	3	11.538461538461538	0.033730138469955914	O16087, Q24133, Q61696	21	95	6513	9.793984962406014	0.9847942119462549	0.8577529254049665	0.8577529254049665
INTERPRO	IPR003118:Pointed domain	2	7.6923076923076925	0.03527217705392846	Q32LN0, P26323	26	10	6979	53.684615384615384	0.9065203551322737	0.3325662407941826	0.3224884759216316
INTERPRO	IPR004827:Basic-leucine zipper domain	2	7.6923076923076925	0.03527217705392846	Q6IMZ0, P12981	26	10	6979	53.684615384615384	0.9065203551322737	0.3325662407941826	0.3224884759216316
SMART	SM00413:ETS	2	7.6923076923076925	0.03636423587709585	Q32LN0, P26323	12	13	3872	49.641025641025635	0.4672548942921879	0.20606400330354316	0.20606400330354316
UP_SEQ_FEATURE	DOMAIN:ETS	2	7.6923076923076925	0.03655130712926919	Q32LN0, P26323	24	11	6811	51.598484848484844	0.9698082953522992	0.429477858768913	0.42490894537775437
GOTERM_BP_DIRECT	GO:0042026~protein refolding	2	7.6923076923076925	0.039228349639784964	Q9I8F9, Q61696	21	13	6513	47.714285714285715	0.9924201269115922	0.8577529254049665	0.8577529254049665
GOTERM_BP_DIRECT	GO:0034620~cellular response to unfolded protein	2	7.6923076923076925	0.0421845701018836	Q9I8F9, Q61696	21	14	6513	44.306122448979586	0.9947954505409193	0.8577529254049665	0.8577529254049665
