gene,log2FoldChange
g2,-0.344206452036893
g8,0.183222291392971
g36,0.107815535584167
g15,-0.520835819470155
g12,0.0336469420185177
g11,0.0674902818521533
g38,0.300615067973654
g48,0.046517320641009
g49,-0.0438266126557724
g59,-0.0285177046576605
g58,-0.240763927052291
g100,-0.00386853269148415
g62,0.159013234677178
g66,-0.000453792149016907
g82,0.191272244812176
g72,0.344341880347916
g93,-0.0361340646310511
g99,0.0163696853023536
g106,0.0659700250072645
g128,-0.0784410370171995
g126,-0.00231294905480273
g122,0.116515218029262
g112,0.0135048965488229
g118,0.188801503848716
g135,0.103293213330691
g137,-0.369376101355095
g152,-0.10472879277645
g146,-0.118370949831388
g147,0.0995186549607729
g143,0.0204661131296448
g183,0.139756527592764
g159,-0.191320627702462
g155,-0.0503108440417295
g197,0.0261673216798855
g200,-0.181947245070468
g206,0.154051787558256
g204,0.205655526742535
g211,0.0667638380448567
g212,-0.182219072414112
g221,0.009927852555404
g224,-0.0928686943519167
g229,0.128244562464039
g228,0.301329802675266
g235,-0.142077816729342
g246,0.239107595477937
g241,-0.0761256770991133
g264,0.158310437414492
g261,0.0954233076464373
g263,-0.0209577521355718
g289,0.174199301304797
g272,-0.0299138270081156
g276,-0.0221615181793715
g274,0.17736955589884
g301,0.0551583298644598
g305,-0.12479718513728
g306,-0.055981868261452
g285,-0.121049317051966
g288,0.0615470010023262
g299,0.0157132433155637
g290,0.108204551074449
g297,0.126951875886819
g269,0.102738353105754
g314,-1.47037287915538e-05
g354,-0.0378533534336051
g336,-0.350897370076413
g335,-0.0541437899205314
g339,-0.00435639109773808
g338,0.252195682754342
g346,0.105069502111101
g347,0.14285001237087
g345,0.124613050963334
g343,0.140074817774596
g348,0.145027074909262
g325,0.411563775037769
g326,0.264474265965518
g328,0.0983426107158933
g321,0.577487327934024
g402,-0.103556163174716
g392,-0.0993874222082518
g400,0.0932610284966752
g375,-0.0897970572642194
g422,-0.187384466185654
g429,-0.130622871092873
g428,-0.115048816812475
g415,0.0870420174720728
g421,-0.0282326772388923
g433,-0.0997754262155297
g407,0.0530243394624874
g410,0.199899115417934
g411,-0.0449361366607461
g454,-0.114005505488118
g438,-0.355319391795335
g443,0.103649346781772
g445,0.14606773156339
g444,0.083819999366916
g447,-0.096910915944036
g460,-0.0926402839132315
g458,-0.21975820558377
g459,-0.10047587090553
g463,0.373977657984426
g467,-0.0922173075333196
g465,0.088070380171485
g474,0.093616720915478
g468,-0.00901421653882984
g498,-0.190128497723364
g485,0.286662075295257
g483,0.159160448076288
g493,0.118457071962872
g495,0.0263901364947114
g491,-0.305579702645988
g506,-0.0109221992240888
g507,0.341538183393077
g508,0.340495301700455
g531,-0.600550649621591
g528,-0.476097491806227
g519,-0.100067358098908
g555,-0.0253299215813567
g545,-0.198203241514618
g543,0.0474989750836164
g571,-0.0769739376278057
g575,0.0542566932478057
g557,-0.178477284402285
g605,0.124643171628386
g612,0.316618238797423
g599,-0.191796259836106
g617,-0.120166985216529
g615,-0.051164928646401
g623,-0.0517177137014364
g633,0.0266239328387022
g658,-0.125827034676754
g698,-0.118815112100774
g699,0.0785601389357954
g703,0.107108005819057
g667,-0.0321129244536463
g724,-0.127452867982324
g738,-0.421382965709755
g735,-0.220960209701048
g728,0.279559917911216
g741,0.011578903271644
g747,0.296204054737631
g750,0.103806046584809
g762,0.0795050782781396
g763,0.0462877475358897
g759,0.136483471009328
g769,-0.129587270645239
g755,-0.0225802923135499
g775,0.0911120196216303
g767,-0.105253322474729
g781,-0.025136263734296
g803,0.0577752396307284
g805,-0.0418992927931343
g800,0.0907639596257946
g808,-0.345829335663372
g806,-0.02221301779932
g810,-0.328763666047402
g818,-0.130770591180273
g831,-0.402392777609517
g832,-0.126060548501727
g852,-0.229913365515374
g843,0.0300596034682038
g842,-0.166099604536951
g838,-0.0485935655488104
g835,0.16436712470077
g834,0.0305700977503725
g837,-0.184886170981318
g858,-0.0357395715783601
g859,0.0881278775792657
g877,0.308310425483837
g878,0.287477036432836
g882,0.0524244561721591
g885,-0.0092513244826291
g911,-0.0828635975862475
g914,0.199959680377739
g898,-0.215357052909084
g899,0.343558682807687
g894,-0.224971911351403
