name	term	lev	seq	value
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g30450	-0.0390620291262598
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g30449	0.170614354130332
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g30847	-0.0791220302342842
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g31803	-0.480394077696837
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g106500	-0.239762601147003
"adenine nucleotide transmembrane transporter activity"	GO:0005347;GO:0000295;GO:0005346	4	g37428	-0.214838301950365
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g6044	-0.276593799406908
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g6045	-0.351809981087963
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g15094	-0.509668816234066
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g15100	-0.5590930670214
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g15099	-0.593591904862918
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g40649	0.00706293189764732
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g40676	0.0521509107398102
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g42788	-0.883729886142761
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g42784	-0.760250514611192
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g44546	-0.356978377902159
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g57334	-0.310431446083106
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g57429	-0.295348866510371
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g78431	-0.389438898255854
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g94270	-0.306814083096929
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g106359	-0.36315705384961
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g123481	-0.494102565825713
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g129764	0.088914874348235
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g138964	-0.687750468969166
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g6369	-0.634699096132101
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g15980	-0.430525967790436
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g35852	-0.130311936128578
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g66157	0.115135427313595
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	GO:0004029;GO:0004030;GO:0016620	6	g73916	-0.305707764474005
"deaminase activity"	GO:0019239	3	g23125	0.145414058333334
"deaminase activity"	GO:0019239	3	g23218	0.28597394916404
"deaminase activity"	GO:0019239	3	g24994	-1.39464293641612
"deaminase activity"	GO:0019239	3	g33022	-1.35794097500147
"deaminase activity"	GO:0019239	3	g43928	-0.0884231794021891
"deaminase activity"	GO:0019239	3	g43944	0.0521670032897899
"deaminase activity"	GO:0019239	3	g94313	0.183519075440437
"deaminase activity"	GO:0019239	3	g123654	-0.513099364233396
