name	term	lev	seq	value
"cell adhesion molecule binding"	GO:0050839	3	g134110	0
"cell adhesion molecule binding"	GO:0050839	3	g13116	0
"cell adhesion molecule binding"	GO:0050839	3	g109667	0
"cell adhesion molecule binding"	GO:0050839	3	g39141	0
"cell adhesion molecule binding"	GO:0050839	3	g40573	0
"cell adhesion molecule binding"	GO:0050839	3	g22350	0
"cell adhesion molecule binding"	GO:0050839	3	g13114	0.637071553156382
"cell adhesion molecule binding"	GO:0050839	3	g102089	0
"cell adhesion molecule binding"	GO:0050839	3	g20575	0
"cell adhesion molecule binding"	GO:0050839	3	g101627	0
"cell adhesion molecule binding"	GO:0050839	3	g7986	0
"cell adhesion molecule binding"	GO:0050839	3	g86990	0
"cell adhesion molecule binding"	GO:0050839	3	g7985	0
"cell adhesion molecule binding"	GO:0050839	3	g111136	0
"cell adhesion molecule binding"	GO:0050839	3	g109544	0
"cell adhesion molecule binding"	GO:0050839	3	g7984	0
"branched-chain-amino-acid transaminase activity"	GO:0004084	2	g33193	0
"branched-chain-amino-acid transaminase activity"	GO:0004084	2	g33192	0
"branched-chain-amino-acid transaminase activity"	GO:0004084	2	g155614	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g28919	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g29230	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g151011	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g158733	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g157302	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g130032	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g93667	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g135870	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g93771	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g83135	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g82886	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g82888	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g60716	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g30496	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g120806	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g156975	0.557329509153063
"protein tyrosine phosphatase activity"	GO:0004725	5	g58035	0.272496559369799
"protein tyrosine phosphatase activity"	GO:0004725	5	g106501	0.229316826881759
"protein tyrosine phosphatase activity"	GO:0004725	5	g59938	0.514433023525284
"protein tyrosine phosphatase activity"	GO:0004725	5	g122475	0.0590378140146117
"protein tyrosine phosphatase activity"	GO:0004725	5	g109381	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g151031	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g122054	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g73573	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g60711	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g42208	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g85219	0
"protein tyrosine phosphatase activity"	GO:0004725	5	g110662	0
"glucose-6-phosphate dehydrogenase activity"	GO:0004345	2	g131311	0
"glucose-6-phosphate dehydrogenase activity"	GO:0004345	2	g132116	0
"glucose-6-phosphate dehydrogenase activity"	GO:0004345	2	g47121	0
"glucose-6-phosphate dehydrogenase activity"	GO:0004345	2	g98618	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g116297	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g10547	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g134231	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g87729	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g131859	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g10530	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g10546	0
"glutamate dehydrogenase [NAD(P)+] activity"	GO:0004352;GO:0004353;GO:0016639	5	g87722	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g136049	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g129557	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g153980	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g3847	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g22137	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g3845	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g123965	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g19063	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g65725	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g47977	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g47509	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g64878	0
"ligase activity, forming carbon-carbon bonds"	GO:0016885	3	g157145	0
"single-stranded DNA binding"	GO:0003697	2	g73484	0
"single-stranded DNA binding"	GO:0003697	2	g125028	0
"single-stranded DNA binding"	GO:0003697	2	g41535	0
"single-stranded DNA binding"	GO:0003697	2	g48137	0
"single-stranded DNA binding"	GO:0003697	2	g78621	0
"single-stranded DNA binding"	GO:0003697	2	g92884	0
"single-stranded DNA binding"	GO:0003697	2	g40992	0
"glycerol-3-phosphate dehydrogenase [NAD+] activity"	GO:0004367;GO:0047952	3	g60917	0
"glycerol-3-phosphate dehydrogenase [NAD+] activity"	GO:0004367;GO:0047952	3	g60089	0
"glycerol-3-phosphate dehydrogenase [NAD+] activity"	GO:0004367;GO:0047952	3	g116918	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g120359	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g39640	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g24555	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g139958	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g156560	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g96768	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g6881	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g7348	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g105248	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g148922	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g145551	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g68057	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g4492	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g52328	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g23988	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g69018	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g7343	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g108997	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g49182	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g42898	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g106234	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g113216	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g63411	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g22406	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g19418	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g84462	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g73289	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g40602	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g10393	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79614	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g90941	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g58592	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g58593	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g49209	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g36498	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g90461	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g28939	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g38781	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g1150	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g34438	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g66421	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g40377	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g18481	0
