"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
304 0.184267600041768 2 10 "GO:0000002" "mitochondrial genome maintenance" 0.413569898142369
208 0.447169339464746 1 7 "GO:0000003" "reproduction" 0.687113863079976
292 0.163486542087463 5 12 "GO:0000012" "single strand break repair" 0.403037053063238
-258 0.346025985206129 5 7 "GO:0000017;GO:0042946;GO:1901656;GO:1901264" "glucoside transport" 0.593048957691633
-593 0.0669274634958086 2 5 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.231037271245805
-397 0.00200333638860139 2 32 "GO:0000027" "ribosomal large subunit assembly" 0.0168280256642517
-967 0.00106384196593713 2 6 "GO:0000028" "ribosomal small subunit assembly" 0.0111703406423399
-480 0.0216767186754365 2 12 "GO:0000038" "very long-chain fatty acid metabolic process" 0.0982488117597403
361 0.00860236817152902 2 28 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.0471260169396807
163 0.328291736526581 5 19 "GO:0000054;GO:0031503;GO:0033750;GO:0051168;GO:0006913;GO:0051169" "nuclear export" 0.56795807114308
9 0.976321699957589 2 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.99431985514042
-205 0.218639921959504 5 19 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.453156504043822
-102 0.729985963325852 2 6 "GO:0000076" "DNA replication checkpoint signaling" 0.903945731962443
-122 0.39346829466793 5 26 "GO:0000077;GO:0042770" "DNA damage checkpoint signaling" 0.639703291976247
394 0.149814340026498 5 7 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of kinase activity" 0.380337008533038
8 0.951685471145087 5 28 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.986933081187498
326 0.233861206740525 3 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.46772241348105
