"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-201 0.0446247970891486 2 9 "GO:0000027" "ribosomal large subunit assembly" 0.200174089799895
-324 9.85927800936589e-06 4 17 "GO:0000038" "very long-chain fatty acid metabolic process" 0.000774185830065218
229 0.00246147469082454 2 16 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.0429390584954947
-101 0.410914440127052 3 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.686314543616459
-70 0.483031150630163 7 9 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of protein serine/threonine kinase activity" 0.726710088656204
-2 0.986676272444418 3 11 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.993001120344703
156 0.142187583995776 2 8 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.388312842512441
183 0.13637947513282 6 6 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle localization" 0.382963005384927
-160 0.192407546541629 6 6 "GO:0000147;GO:0030866;GO:0044396;GO:0030036;GO:0030865" "cortical cytoskeleton organization" 0.437796881261388
-104 0.437691871562346 2 5 "GO:0000154" "rRNA modification" 0.701200243217228
15 0.820974711677288 5 22 "GO:0000165" "MAPK cascade" 0.920664498095244
-90 0.465802563319113 2 6 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.716970612167654
23 0.644087448832612 2 37 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.833025263169958
89 0.0261830499890944 4 59 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.152249586973623
94 0.485013021783487 7 5 "GO:0000245" "spliceosomal complex assembly" 0.726710088656204
55 0.684460248082322 5 5 "GO:0000266;GO:0048285" "organelle fission" 0.833025263169958
-161 0.002836541435052 3 32 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 0.0445337005303164
33 0.618505133847123 3 21 "GO:0000278;GO:0007049" "cell cycle" 0.833025263169958
71 0.281355665825798 3 21 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.532398562016393
-169 0.168838962720258 2 6 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.410947458467897
47 0.487228776587029 6 20 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA metabolic process" 0.726710088656204
-169 0.169262632517162 2 6 "GO:0000387" "spliceosomal snRNP assembly" 0.410947458467897
-80 0.116994715837873 6 36 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.353234045895117
-284 0.0125446964808125 7 7 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.103222370280413
-215 0.0582651007159886 3 7 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.23455437980539
-83 0.499902481368599 6 6 "GO:0000723;GO:0032200" "telomere organization" 0.726710088656204
-135 0.107428230280886 7 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.35108540649568
89 0.269707603344144 2 14 "GO:0000902" "cell morphogenesis" 0.525151596407521
-18 0.81698141225496 7 15 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.920664498095244
