"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
413 0.10858256888687 6 6 "GO:0000002" "mitochondrial genome maintenance" 0.377608038069264
-268 0.178522333636877 2 10 "GO:0000012" "single strand break repair" 0.507264679724297
419 0.137410126673869 5 5 "GO:0000017;GO:0042946;GO:1901656;GO:1901264" "carbohydrate derivative transport" 0.435138421611776
21 0.85169351840415 2 32 "GO:0000027" "ribosomal large subunit assembly" 0.927311167234425
-176 0.493641605196398 2 6 "GO:0000028" "ribosomal small subunit assembly" 0.72796515196684
316 0.0965947757017087 4 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.3627269346362
133 0.301437578539367 2 24 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.629850912952437
-55 0.705873267224652 5 19 "GO:0000054;GO:0031503;GO:0033750;GO:0051168;GO:0006913;GO:0051169" "ribosomal subunit export from nucleus" 0.870203551657904
40 0.877357908346918 2 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.937726571765284
-179 0.257951722953416 3 16 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.600143750319505
58 0.837336092379745 2 5 "GO:0000076" "DNA replication checkpoint signaling" 0.920279761907927
314 0.0264486133814047 3 20 "GO:0000077;GO:0042770" "DNA damage checkpoint signaling" 0.158013510714546
-125 0.627179898413733 7 6 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of protein serine/threonine kinase activity" 0.819032636536983
-35 0.794309918112292 4 22 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.904593665938262
58 0.822372854103671 3 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.913564236727711
-125 0.40269472960067 4 18 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.684874978079972
-71 0.674813230779854 4 14 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.849899906874086
783 0.00542499092266324 3 5 "GO:0000154" "rRNA modification" 0.0505609153992214
-2 0.985614652939613 2 36 "GO:0000165" "MAPK cascade" 0.989862991960905
316 0.0254699610988929 2 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.156171077264264
362 0.10439816425577 5 8 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.368557155630218
73 0.231324956621101 2 111 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.588518169164372
436 0.0165788921404905 6 12 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.110368053392408
35 0.83675434986814 2 14 "GO:0000245" "spliceosomal complex assembly" 0.920279761907927
-28 0.901653730755688 3 8 "GO:0000255" "allantoin metabolic process" 0.943782272969531
133 0.155377053710926 2 46 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 0.454989719432816
-213 0.00848720075795476 2 62 "GO:0000278;GO:0007049" "cell cycle" 0.06819026815874
8 0.976932716766524 2 6 "GO:0000280" "nuclear division" 0.985889034347456
-193 0.0608608345034397 4 38 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.289399478353091
193 0.309913535568541 2 11 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.629850912952437
455 0.0412450463435151 2 8 "GO:0000302;GO:0006979;GO:1901700;GO:0042221" "response to oxidative stress" 0.213557684400867
195 0.353264676143428 3 9 "GO:0000338;GO:0070646" "protein deneddylation" 0.651756534767022
