"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0322728795903502 3 9 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.00181640505533348 3 11 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.225
0 0.0558739047005101 5 6 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle localization" 0.860416666666667
0 0.269425483589215 2 5 "GO:0000154" "rRNA modification" 1
0 0.549031593361998 2 22 "GO:0000165" "MAPK cascade" 1
0 0.0469322743552292 2 6 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.826190476190476
0 0.254718367176515 9 37 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 1
0 0.0517856175513365 3 59 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.868181818181818
0 0.0319130051112672 3 5 "GO:0000245" "spliceosomal complex assembly" 1
0 0.0531075011781211 3 21 "GO:0000278;GO:0007049" "cell cycle" 0.85
0 0.743598174814366 3 21 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 0.170205236641343 5 20 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA metabolic process" 0.960416666666667
0 0.089446965687089 2 36 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.9421875
0 0.0809501020298024 3 7 "GO:0000463;GO:0000470" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.975862068965517
0 0.451264885710551 2 14 "GO:0000902" "cell morphogenesis" 1
0 0.0879129856037096 7 15 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.958064516129032
0 0.241566083489842 2 14 "GO:0001501;GO:0048731" "system development" 1
0 0.146433060365741 2 6 "GO:0001503" "ossification" 0.927777777777778
0 0.0425743001199161 4 9 "GO:0001656" "metanephros development" 0.894444444444444
0 0.240191931446513 6 7 "GO:0001661;GO:0007631;GO:0008306;GO:0007612;GO:0007611;GO:0050890" "feeding behavior" 1
0 0.396625744923806 4 9 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to abiotic stimulus" 1
0 0.254743166130943 2 7 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.0162911113563597 6 13 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.8
0 0.306384294143631 2 12 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 0.344769877741564 4 13 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 0.586201116874389 2 14 "GO:0001764" "neuron migration" 1
0 0.0608231529422463 2 16 "GO:0001822" "kidney development" 0.853846153846154
0 0.226668181883613 4 13 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 1
0 0.328011969885855 2 6 "GO:0002118" "aggressive behavior" 1
0 0.0203892061615433 2 12 "GO:0002250;GO:0006955" "immune response" 0.816666666666667
0 0.00699619832351833 1 28 "GO:0002376" "immune system process" 0.53
0 0.412869049426296 2 10 "GO:0003006" "developmental process involved in reproduction" 1
0 0.0350483947732282 2 28 "GO:0003008" "system process" 1
0 0.298530229014126 7 24 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 1
0 0.0176589031307074 5 78 "GO:0006396;GO:0016070" "RNA metabolic process" 0.76875
0 0.565800473366289 2 101 "GO:0006464;GO:0036211;GO:0044267;GO:0019538;GO:0043412;GO:1901564" "organonitrogen compound metabolic process" 1
0 0.382261656319504 2 10 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 1
0 0.736416091952896 2 46 "GO:0006629;GO:0006631;GO:0032787;GO:0044255;GO:0019752;GO:0043436;GO:0006082;GO:0044281" "small molecule metabolic process" 1
0 0.360057679053415 2 7 "GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053" "carboxylic acid biosynthetic process" 1
0 0.816720804374364 3 63 "GO:0006810;GO:0051234;GO:0051179" "localization" 1
0 0.641041689441251 2 16 "GO:0006811" "ion transport" 1
0 0.236797705772045 2 24 "GO:0006928" "movement of cell or subcellular component" 1
0 0.440614230426623 2 41 "GO:0006950" "response to stress" 1
0 0.308782799022011 3 6 "GO:0006952" "defense response" 1
0 0.369385674545672 2 97 "GO:0006996" "organelle organization" 1
0 0.445154168849839 2 10 "GO:0007155;GO:0022610" "cell adhesion" 1
0 0.66364592331825 2 49 "GO:0007165" "signal transduction" 1
0 0.00481763896633051 2 24 "GO:0007275" "multicellular organism development" 0.3875
0 0.123239842422893 1 18 "GO:0007610" "behavior" 0.917073170731707
0 0.154947745367411 2 5 "GO:0008217" "regulation of blood pressure" 0.920212765957447
0 0.126587933603644 4 46 "GO:0009057;GO:1901575;GO:0009056" "catabolic process" 0.90952380952381
0 0.153308842350125 5 13 "GO:0009451" "RNA modification" 0.931521739130435
0 0.0977089655482617 2 56 "GO:0009653" "anatomical structure morphogenesis" 0.878378378378378
0 0.0447597618901398 2 11 "GO:0009791" "post-embryonic development" 0.8225
0 0.0965366066955471 3 18 "GO:0010629" "negative regulation of gene expression" 0.893055555555555
0 0.0387687437054063 2 44 "GO:0016071" "mRNA metabolic process" 0.93125
0 0.686169418780694 3 19 "GO:0016477;GO:0048870;GO:0040011" "locomotion" 1
0 0.213075775500479 1 18 "GO:0022414" "reproductive process" 1
0 0.0594778212236998 2 65 "GO:0022607" "cellular component assembly" 0.87
0 0.0354613246333056 4 44 "GO:0022618;GO:0065003;GO:0071826;GO:0043933" "protein-containing complex organization" 0.957142857142857
0 0.0431405463336997 2 27 "GO:0030154;GO:0048869" "cellular developmental process" 0.852631578947368
0 0.00236209439232724 1 71 "GO:0032501" "multicellular organismal process" 0.283333333333333
0 0.102049764919099 3 8 "GO:0035239" "tube morphogenesis" 0.864102564102564
0 0.608756371393778 4 30 "GO:0035556" "intracellular signal transduction" 1
0 0.0370545827285369 4 6 "GO:0042127" "regulation of cell population proliferation" 0.916666666666667
0 0.133507863332865 3 14 "GO:0042592" "homeostatic process" 0.919767441860465
0 0.103187621803196 2 6 "GO:0043414;GO:0032259;GO:0001510" "macromolecule methylation" 0.85125
0 0.101305543001706 2 20 "GO:0044248" "cellular catabolic process" 0.881578947368421
0 0.4964350800314 2 11 "GO:0044283" "small molecule biosynthetic process" 1
0 0.0137775160370978 3 19 "GO:0044772;GO:0044770" "cell cycle phase transition" 0.791666666666667
0 0.079417214219067 2 32 "GO:0048513" "animal organ development" 1
0 0.0930774063207798 2 31 "GO:0048518" "positive regulation of biological process" 0.942424242424242
0 0.0694102095566218 4 15 "GO:0048522" "positive regulation of cellular process" 0.909259259259259
0 0.000252902335481927 3 7 "GO:0048598" "embryonic morphogenesis" 0
0 0.040284977817022 2 90 "GO:0048856" "anatomical structure development" 0.905882352941176
0 0.335283256997778 4 6 "GO:0048878" "chemical homeostasis" 1
0 0.412910843180217 3 16 "GO:0050877" "nervous system process" 1
0 0.0872618168655087 1 59 "GO:0050896" "response to stimulus" 0.986666666666667
0 0.284610174650181 2 16 "GO:0051641;GO:0051649" "cellular localization" 1
0 0.13944831247557 3 10 "GO:0051656;GO:0051640" "organelle localization" 0.926136363636364
0 0.240687313387378 2 36 "GO:0065008" "regulation of biological quality" 1
0 0.222875788526698 2 16 "GO:0070925;GO:0000045;GO:1905037;GO:0007033" "organelle assembly" 1
0 0.0955915089188921 3 122 "GO:0090304;GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360" "cellular nitrogen compound metabolic process" 0.917142857142857
0 0.771044774412485 2 27 "GO:1901576;GO:0009058;GO:0044249" "organic substance biosynthetic process" 1
0 0.0939860749898607 2 5 "GO:1903046" "meiotic cell cycle process" 0.923529411764706
0 0.0349382146133154 2 66 "GO:1903047;GO:0022402" "cell cycle process" 1
0 1 4 17 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 4 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 1
0 1 5 9 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of protein kinase activity" 1
0 1 2 8 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 4 6 "GO:0000147;GO:0030866;GO:0044396;GO:0030036;GO:0030865" "actin cortical patch organization" 1
0 1 2 5 "GO:0000266;GO:0048285" "mitochondrial fission" 1
0 1 3 32 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 1
0 1 6 6 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 1
0 1 3 6 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 7 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 1
0 1 2 6 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 1 6 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 1
0 1 3 11 "GO:0001504;GO:0001505;GO:0006836;GO:0098657" "regulation of neurotransmitter levels" 1
0 1 6 5 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456" "icosanoid metabolic process" 1
0 1 3 25 "GO:0001525" "angiogenesis" 1
0 1 4 6 "GO:0001558;GO:0040008" "regulation of cell growth" 1
0 1 4 6 "GO:0001649" "osteoblast differentiation" 1
0 1 3 8 "GO:0001654;GO:0007423" "sensory organ development" 1
0 1 4 10 "GO:0001745;GO:0048592;GO:0090596;GO:0009887" "animal organ morphogenesis" 1
0 1 6 7 "GO:0001778;GO:0007009" "plasma membrane repair" 1
0 1 4 7 "GO:0001817" "regulation of cytokine production" 1
0 1 3 5 "GO:0001818;GO:0051241" "negative regulation of cytokine production" 1
0 1 5 6 "GO:0001843;GO:0060606;GO:0035148" "neural tube closure" 1
0 1 5 25 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of protein metabolic process" 1
0 1 5 8 "GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0010563;GO:0051248" "negative regulation of cellular protein metabolic process" 1
0 1 3 6 "GO:0001941" "postsynaptic membrane organization" 1
0 1 2 5 "GO:0002027" "regulation of heart rate" 1
0 1 2 11 "GO:0002088" "lens development in camera-type eye" 1
0 1 2 8 "GO:0002119;GO:0002164" "larval development" 1
0 1 5 6 "GO:0002181;GO:0006412;GO:0043043;GO:0006518" "cytoplasmic translation" 1
0 1 5 10 "GO:0002218;GO:0002253;GO:0045089;GO:0031349;GO:0045088;GO:0031347;GO:0080134" "regulation of defense response" 1
0 1 3 6 "GO:0002221;GO:0002764" "immune response-regulating signaling pathway" 1
0 1 2 6 "GO:0002252" "immune effector process" 1
0 1 5 13 "GO:0002833;GO:0032103;GO:0002831;GO:0032101" "regulation of response to biotic stimulus" 1
0 1 2 10 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085" "amino acid transport" 1
0 1 4 29 "GO:0006259" "DNA metabolic process" 1
0 1 2 22 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 1
0 1 2 9 "GO:0006796;GO:0006793" "phosphorus metabolic process" 1
0 1 5 15 "GO:0007005" "mitochondrion organization" 1
0 1 4 5 "GO:0007600" "sensory perception" 1
0 1 4 7 "GO:0008016;GO:1903522;GO:0044057" "regulation of system process" 1
0 1 3 15 "GO:0010604;GO:0009893" "positive regulation of macromolecule metabolic process" 1
0 1 2 5 "GO:0010628" "positive regulation of gene expression" 1
0 1 3 6 "GO:0015031;GO:0045184;GO:0008104;GO:0033036;GO:0006886" "protein transport" 1
0 1 3 10 "GO:0016598" "protein arginylation" 1
0 1 3 7 "GO:0018130;GO:1901362" "organic cyclic compound biosynthetic process" 1
0 1 2 5 "GO:0019438" "aromatic compound biosynthetic process" 1
0 1 2 5 "GO:0019725" "cellular homeostasis" 1
0 1 4 6 "GO:0022411" "cellular component disassembly" 1
0 1 2 5 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 1
0 1 3 6 "GO:0030001;GO:0006812;GO:0006814" "cation transport" 1
0 1 2 9 "GO:0030029" "actin filament-based process" 1
0 1 2 10 "GO:0031325" "positive regulation of cellular metabolic process" 1
