"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.35480419562081 4 6 "GO:0000002" "mitochondrial genome maintenance" 1
0 0.0238575577321252 1 4 "GO:0000003" "reproduction" 0.540789473684211
0 0.0479885699760606 2 10 "GO:0000012" "single strand break repair" 0.725
0 0.0743962346861261 6 19 "GO:0000054;GO:0031503;GO:0033750;GO:0051168;GO:0006913;GO:0051169" "nuclear export" 0.865625
0 0.455139311192845 3 16 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 1
0 0.80301290725338 5 20 "GO:0000077;GO:0042770" "signal transduction in response to DNA damage" 1
0 0.10012390135076 4 22 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.930555555555556
0 0.260579995230396 3 18 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.00660539851582338 3 532 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:1903506;GO:1902679;GO:2001141;GO:0010558;GO:0031327;GO:0051253;GO:0010556;GO:0031326;GO:0051252;GO:0009890;GO:0010605;GO:0031324;GO:0045934;GO:0009889;GO:0019219;GO:0009892;GO:0048519;GO:0048523;GO:0051172" "negative regulation of biological process" 0.2825
0 0.0450895126367627 7 14 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.722549019607843
0 0.0634881411757838 3 5 "GO:0000154" "rRNA modification" 0.83135593220339
0 0.0888396521577538 5 36 "GO:0000165" "MAPK cascade" 0.908088235294118
0 0.381725129114602 7 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.0302829332944036 2 89 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.594047619047619
0 0.256395145823504 2 111 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 0.0690585830234684 3 14 "GO:0000245" "spliceosomal complex assembly" 0.831746031746032
0 0.61445676384831 3 46 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 1
0 0.808867001209269 3 62 "GO:0000278;GO:0007049" "cell cycle" 1
0 0.381804278735823 2 6 "GO:0000280" "nuclear division" 1
0 0.392782174728239 3 38 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.0476202634302837 3 11 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.731132075471698
0 0.632834256564817 3 108 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing" 1
0 0.143152608966662 4 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.996470588235294
0 0.387053274901572 7 48 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 1
0 0.557081554506671 3 15 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.686905306711021 3 29 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 1
0 0.578446159878336 4 12 "GO:0000731;GO:0071897;GO:0034654" "nucleobase-containing compound biosynthetic process" 1
0 0.643132490151497 2 38 "GO:0000902" "cell morphogenesis" 1
0 0.600988789579817 3 11 "GO:0001501" "skeletal system development" 1
0 0.231046711284461 2 11 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.282496198460436 3 5 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "diterpenoid metabolic process" 1
0 0.00407378979175239 3 52 "GO:0001525" "angiogenesis" 0.244117647058824
0 0.209511008946197 4 6 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.612981535314121 2 11 "GO:0001649" "osteoblast differentiation" 1
0 0.809716080888622 2 21 "GO:0001654;GO:0007423" "eye development" 1
0 0.617051613796991 3 11 "GO:0001656" "metanephros development" 1
0 0.0409427719709518 2 7 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.685416666666667
0 0.245732626663637 2 7 "GO:0001661;GO:0007631;GO:0008306;GO:0007612" "feeding behavior" 1
0 0.105514327801047 3 7 "GO:0001662;GO:0002209;GO:0042596;GO:0006952;GO:0033555" "defense response" 0.939189189189189
0 0.0189722447785144 3 4 "GO:0001675;GO:0010927;GO:0033363;GO:0016050" "vesicle organization" 0.496875
0 0.0596992217147376 5 5 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.806034482758621
0 0.0163892665182557 4 8 "GO:0001702;GO:0007369" "gastrulation" 0.45
0 0.849688403014581 3 30 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 0.603022810540062 4 30 "GO:0001745;GO:0048592;GO:0090596;GO:0009887" "animal organ morphogenesis" 1
0 0.0269811282957175 2 5 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.564634146341463
0 0.0506511822470576 6 13 "GO:0001754;GO:0046530;GO:0030182" "eye photoreceptor cell differentiation" 0.737272727272727
0 0.471764507022009 6 9 "GO:0001755;GO:0090497;GO:0001667" "ameboidal-type cell migration" 1
0 0.274867602472856 4 21 "GO:0001764" "neuron migration" 1
0 0.818202248474872 2 34 "GO:0001822" "kidney development" 1
0 0.117649459326523 2 4 "GO:0001919" "regulation of receptor recycling" 0.983552631578947
0 0.0238942380529964 2 43 "GO:0001932;GO:0031399;GO:0042325;GO:0051246;GO:0019220;GO:0051174" "regulation of protein metabolic process" 0.528205128205128
0 0.332239402471235 6 12 "GO:0001933;GO:0031400;GO:0042326;GO:0051248;GO:0045936;GO:0010563" "negative regulation of protein phosphorylation" 1
0 0.0202520665137796 2 6 "GO:0001945" "lymph vessel development" 0.521212121212121
0 0.00394142815256398 2 3 "GO:0001946" "lymphangiogenesis" 0.25625
0 0.00770277599632758 2 7 "GO:0001947" "heart looping" 0.269565217391304
0 0.00364997069559215 4 37 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.273333333333333
0 0.0644735360473765 2 8 "GO:0002011" "morphogenesis of an epithelial sheet" 0.825833333333333
0 0.0237434661287156 5 7 "GO:0002028;GO:0010959;GO:0043269" "regulation of metal ion transport" 0.552702702702703
0 0.0307546309588933 4 3 "GO:0002040" "sprouting angiogenesis" 0.584883720930233
0 0.256298191725889 6 13 "GO:0002052;GO:0050769;GO:1902692;GO:2000179;GO:0010720;GO:0050767;GO:0051962;GO:2000177;GO:0008284;GO:0045597;GO:0060284;GO:0045595;GO:0051094;GO:0050793;GO:0051960;GO:0051240;GO:0042127;GO:2000026" "regulation of cell population proliferation" 1
0 0.638569023093405 5 17 "GO:0002090;GO:0048259;GO:0030100;GO:0060627" "regulation of endocytosis" 1
0 0.542029976680602 4 12 "GO:0002092;GO:0048260;GO:0045807;GO:0051050;GO:0051130" "positive regulation of transport" 1
0 0.61765708786875 2 24 "GO:0002164;GO:0009791" "post-embryonic development" 1
0 0.445862508953095 2 11 "GO:0002165" "instar larval or pupal development" 1
0 0.25983967870428 4 5 "GO:0002168" "instar larval development" 1
0 0.279595482399405 4 20 "GO:0002218;GO:0002253;GO:0045089;GO:0045088" "activation of immune response" 1
