"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0157990377520296 3 4 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.419642857142857
0 0.398760979672297 6 19 "GO:0000054;GO:0031503;GO:0033750;GO:0051168;GO:0006913;GO:0051169" "nuclear export" 1
0 0.342148922035069 3 16 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 1
0 0.0110565911262384 2 5 "GO:0000076" "DNA replication checkpoint signaling" 0.329166666666667
0 0.211992298208561 5 6 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of kinase activity" 1
0 0.586804907609437 2 22 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.0427470568614481 4 18 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.698837209302326
0 0.00830820310455712 5 4 "GO:0000105;GO:0006547;GO:0008652" "histidine metabolic process" 0.2825
0 0.100725067250628 2 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.977966101694915
0 0.8281489154179 6 89 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 1
0 0.283927724311651 2 111 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 0.0423954226183597 2 8 "GO:0000255" "allantoin metabolic process" 0.711904761904762
0 0.0176056024687062 3 3 "GO:0000256;GO:0043605" "cellular amide catabolic process" 0.42741935483871
0 0.150533000325741 2 4 "GO:0000266" "mitochondrial fission" 1
0 0.183342364491093 3 46 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 1
0 0.126697923799865 3 108 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing" 1
0 0.341268212728687 2 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.55361924576098 4 48 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA metabolic process" 1
0 0.0729000041709394 4 22 "GO:0000387" "spliceosomal snRNP assembly" 0.863888888888889
0 0.110126609725714 7 3 "GO:0000390;GO:0032988" "spliceosomal complex disassembly" 1
0 9.88804009229611e-09 5 29 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0
0 1.91317297122784e-14 2 10 "GO:0000727" "double-strand break repair via break-induced replication" 0
0 0.00162147876947629 4 12 "GO:0000731;GO:0071897;GO:0034654" "nucleobase-containing compound biosynthetic process" 0.0529411764705882
0 0.186877074140281 3 38 "GO:0000902" "cell morphogenesis" 1
0 0.214534598373446 4 7 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.00845132518699571 4 4 "GO:0000971;GO:0000968;GO:0000378" "tRNA exon ligation" 0.269047619047619
0 0.0727636641741484 2 11 "GO:0001501" "skeletal system development" 0.879245283018868
0 0.0109799759380849 6 5 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456" "prostanoid metabolic process" 0.343478260869565
0 0.00018588153802377 4 5 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.0115384615384615
0 0.0604127727277447 2 52 "GO:0001525" "angiogenesis" 0.805
0 0.312718323172959 2 19 "GO:0001558;GO:0040008" "regulation of cell growth" 1
0 0.0159092854622336 2 7 "GO:0001568" "blood vessel development" 0.406896551724138
0 0.0422404530369653 3 21 "GO:0001654;GO:0007423" "sensory organ development" 0.724390243902439
0 0.0767146880101656 2 11 "GO:0001656" "metanephros development" 0.878181818181818
0 0.239711858681386 2 7 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
