"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.236260984529066 5 22 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.0644830796199371 5 14 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle localization" 1
0 0.155779572769323 3 89 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 1
0 0.00379031939798308 2 111 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.825
0 0.035172588883602 2 14 "GO:0000245" "spliceosomal complex assembly" 0.868421052631579
0 0.0975325107387213 2 8 "GO:0000255" "allantoin metabolic process" 1
0 0.0260823341837643 2 108 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing" 0.871428571428571
0 0.118283103968335 4 48 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of RNA splicing" 1
0 0.0876604573844992 3 13 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 1
0 0.0203611642905151 2 12 "GO:0001503" "ossification" 0.859090909090909
0 0.0171051847031413 2 52 "GO:0001525" "angiogenesis" 0.99375
0 0.0766987760381514 4 7 "GO:0001662;GO:0002209;GO:0042596;GO:0006952;GO:0033555" "defense response" 1
0 0.122166985743091 2 12 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.028865459987557 2 5 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.81875
0 0.0712241216249055 4 13 "GO:0001754;GO:0046530;GO:0030182" "neuron differentiation" 1
0 0.176528271022923 2 21 "GO:0001764" "neuron migration" 1
0 0.000910430686687205 5 4 "GO:0001782;GO:0002260;GO:0001776;GO:0048872" "lymphocyte homeostasis" 0.25
0 0.0113973366580672 4 34 "GO:0001822" "kidney development" 1
0 0.100809567265825 2 43 "GO:0001932;GO:0031399;GO:0042325;GO:0051246;GO:0019220;GO:0051174" "regulation of protein metabolic process" 1
0 0.163945060015426 1 59 "GO:0002376" "immune system process" 1
0 0.0125166723693068 3 4 "GO:0003002" "regionalization" 1
0 0.0295827128607802 2 153 "GO:0006396" "RNA processing" 0.785294117647059
0 0.0215994841151132 6 3 "GO:0006417;GO:0010608;GO:0034248;GO:2000112" "post-transcriptional regulation of gene expression" 0.833333333333333
0 0.0493090072787808 4 13 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.927272727272727
0 0.016092864474823 2 4 "GO:0006493" "protein O-linked glycosylation" 1
0 0.29392435525365 2 33 "GO:0006631;GO:0032787" "fatty acid metabolic process" 0.988888888888889
0 0.052249559324315 2 8 "GO:0006796;GO:0006793" "phosphorus metabolic process" 0.91304347826087
0 0.701763171783205 2 130 "GO:0006950;GO:0050896" "response to stimulus" 1
0 0.0151393031842813 4 186 "GO:0006996" "organelle organization" 1
0 0.0185290971231907 2 6 "GO:0007389" "pattern specification process" 0.86
0 0.235631655916219 2 24 "GO:0007610" "behavior" 1
0 0.193340487310821 2 21 "GO:0009451" "RNA modification" 1
0 0.263613086108556 4 23 "GO:0010604;GO:0009893" "positive regulation of metabolic process" 1
0 0.238677058740554 5 205 "GO:0016070" "RNA metabolic process" 1
0 0.0282225132513416 2 132 "GO:0016071" "mRNA metabolic process" 0.853333333333333
0 0.238226548618163 2 30 "GO:0016477;GO:0048870" "cell migration" 1
0 0.0992024732605635 4 16 "GO:0018130;GO:0019438;GO:1901362" "organic cyclic compound biosynthetic process" 1
0 0.0173670691653571 2 177 "GO:0019538;GO:1901564" "organonitrogen compound metabolic process" 0.894444444444444
0 0.0333062999856427 2 5 "GO:0019637" "organophosphate metabolic process" 0.861111111111111
0 0.417887587563858 5 53 "GO:0019752;GO:0043436;GO:0006082;GO:0044281" "small molecule metabolic process" 1
0 0.176820019529106 4 151 "GO:0022607;GO:0022618;GO:0065003;GO:0071826;GO:0043933" "cellular component assembly" 1
0 0.213005369045476 2 18 "GO:0031325;GO:0001934;GO:0031401;GO:0042327;GO:0051247;GO:0051173;GO:0045937;GO:0010562" "positive regulation of cellular metabolic process" 1
0 0.0889694565543978 1 153 "GO:0032501" "multicellular organismal process" 1
0 0.0236579546143563 3 148 "GO:0036211;GO:0043412" "macromolecule modification" 0.846153846153846
0 0.0409266864106463 3 26 "GO:0042592" "homeostatic process" 0.9075
0 0.0705628739550993 3 7 "GO:0043414;GO:0032259;GO:0001510" "macromolecule methylation" 1
0 0.300206733952142 2 28 "GO:0043603" "cellular amide metabolic process" 0.973636363636364
0 0.0968441477960861 3 58 "GO:0044249;GO:1901576;GO:0009058" "biosynthetic process" 1
0 0.384167352630066 3 47 "GO:0044255;GO:0006629" "lipid metabolic process" 1
0 0.665182744256182 3 142 "GO:0044260" "cellular macromolecule metabolic process" 1
0 0.383834068989472 3 40 "GO:0044772;GO:0044770" "cell cycle phase transition" 1
0 0.0440895105880286 3 80 "GO:0048513" "animal organ development" 0.919047619047619
0 0.593327308803943 2 68 "GO:0048518" "positive regulation of biological process" 1
0 0.419991263275616 4 41 "GO:0048522" "positive regulation of cellular process" 0.996666666666667
0 0.00813644197536029 2 83 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
0 0.113198230700182 2 198 "GO:0048856" "anatomical structure development" 1
0 0.275233313934025 2 72 "GO:0048869;GO:0030154" "cellular developmental process" 1
0 0.288053316174577 1 109 "GO:0051179;GO:0006810;GO:0051234" "localization" 1
0 0.186519856934779 2 51 "GO:0051649" "establishment of localization in cell" 1
0 0.144250713168656 2 36 "GO:0051656;GO:0051640" "organelle localization" 1
0 0.242401355342511 2 77 "GO:0065008" "regulation of biological quality" 0.994
0 0.16552492007287 2 29 "GO:1901566" "organonitrogen compound biosynthetic process" 1
0 0.395476514127079 3 132 "GO:1903047;GO:0022402" "cell cycle process" 1
0 1 5 3 "GO:0000001;GO:0048308;GO:0048311;GO:0051646" "organelle inheritance" 1
0 1 6 6 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 1 4 "GO:0000003" "reproduction" 1
0 1 4 10 "GO:0000012" "single strand break repair" 1
0 1 7 5 "GO:0000017;GO:0042946;GO:1901656;GO:1901264" "alpha-glucoside transport" 1
0 1 4 4 "GO:0000018;GO:0051052" "regulation of DNA recombination" 1
0 1 2 3 "GO:0000022;GO:0051231" "mitotic spindle elongation" 1
0 1 2 32 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 3 6 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 6 11 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 4 4 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 1
0 1 3 19 "GO:0000054;GO:0031503;GO:0033750;GO:0051168;GO:0006913;GO:0051169" "ribosomal subunit export from nucleus" 1
0 1 4 6 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 1 3 16 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 1
0 1 2 5 "GO:0000076" "DNA replication checkpoint signaling" 1
0 1 4 20 "GO:0000077;GO:0042770" "DNA damage checkpoint signaling" 1
0 1 6 6 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338;GO:0050790;GO:0065009" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 1 3 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 2 18 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 3 4 "GO:0000105;GO:0006547;GO:0008652" "histidine metabolic process" 1
0 1 3 5 "GO:0000154" "rRNA modification" 1
0 1 2 36 "GO:0000165" "MAPK cascade" 1
0 1 4 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 5 8 "GO:0000212;GO:0007051" "spindle organization" 1
0 1 4 12 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 5 3 "GO:0000256;GO:0043605" "cellular amide catabolic process" 1
0 1 6 4 "GO:0000266" "mitochondrial fission" 1
0 1 2 46 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 1
0 1 3 62 "GO:0000278;GO:0007049" "cell cycle" 1
0 1 6 6 "GO:0000280" "nuclear division" 1
0 1 2 38 "GO:0000281;GO:0061640;GO:0000910" "mitotic cytokinesis" 1
0 1 3 11 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 2 6 "GO:0000302;GO:1901700;GO:0042221" "response to chemical" 1
0 1 5 9 "GO:0000338;GO:0070646" "protein deneddylation" 1
0 1 2 5 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 1
0 1 2 3 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 1
0 1 2 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 6 3 "GO:0000390;GO:0032988" "ribonucleoprotein complex disassembly" 1
