"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0804673135024734 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.693269230769231
0 0.0312928441398508 2 6 "GO:0000028" "ribosomal small subunit assembly" 0.490540540540541
0 0.000454814855635233 2 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.0125
0 0.0234251072342743 3 18 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.410606060606061
0 0.99990821277092 3 532 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219;GO:1903507;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0010605;GO:0031324;GO:0045934;GO:0009892;GO:0048523;GO:0051172;GO:0048519" "negative regulation of biological process" 1
0 0.00592754741717924 2 8 "GO:0000255" "allantoin metabolic process" 0.103703703703704
0 0.321913016497614 3 46 "GO:0000272;GO:0005976;GO:0016052;GO:0005975" "carbohydrate metabolic process" 1
0 0.800478426500736 3 108 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing" 1
0 1.82104128414207e-05 3 52 "GO:0001525" "angiogenesis" 0.00625
0 0.00177142800701361 3 15 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to oxygen levels" 0.0318181818181818
0 1.78790739860805e-08 5 12 "GO:0001778;GO:0007009" "plasma membrane repair" 0
0 9.46335223279656e-08 3 5 "GO:0001913;GO:0001909;GO:0001906" "T cell mediated cytotoxicity" 0
0 0.110569259516896 5 43 "GO:0001932;GO:0031399;GO:0042325;GO:0051246;GO:0019220;GO:0051174" "regulation of protein metabolic process" 0.773214285714286
0 0.00655699214002255 5 9 "GO:0001990;GO:0003044;GO:0050886;GO:0003073;GO:0008217" "regulation of blood pressure" 0.114285714285714
0 0.0155296955527194 6 7 "GO:0002084;GO:0035601;GO:0042159;GO:0098734;GO:0098732;GO:0030163;GO:0042157" "macromolecule depalmitoylation" 0.317741935483871
0 0.00277930459555648 2 20 "GO:0002218;GO:0002253;GO:0045089;GO:0045088" "activation of immune response" 0.0479166666666667
0 0.000155338058384162 5 8 "GO:0002221;GO:0002764" "pattern recognition receptor signaling pathway" 0.0115384615384615
0 1.71270689111294e-05 2 14 "GO:0002250" "adaptive immune response" 0.00714285714285714
