"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-70 0.866879660902365 2 13 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.957799337945867
-98 0.440979393224412 3 144 "GO:0000118" "histone deacetylase complex" 0.638293347428893
247 0.230148567406924 4 54 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.470886677285153
-234 0.561912202999405 5 14 "GO:0000124;GO:0070461" "SAGA complex" 0.741724107959215
-119 0.794002546871404 4 11 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.919371370061626
-232 0.683436616838577 3 7 "GO:0000137" "Golgi cis cisterna" 0.805478869845466
384 0.28011038578309 2 18 "GO:0000138" "Golgi trans cisterna" 0.506500971552985
110 0.109704583450491 2 535 "GO:0000139" "Golgi membrane" 0.335509449743025
-277 0.315461593738348 2 30 "GO:0000145;GO:0099023" "vesicle tethering complex" 0.547906978598183
617 3.92308883109823e-05 2 103 "GO:0000151" "ubiquitin ligase complex" 0.00103569545140993
-548 0.0756846930379719 3 24 "GO:0000159;GO:0005963" "magnesium-dependent protein serine/threonine phosphatase complex" 0.263406240006844
647 0.174650479103717 2 10 "GO:0000164" "protein phosphatase type 1 complex" 0.42221150802919
-746 0.190812892272337 3 7 "GO:0000176" "nuclear exosome (RNase complex)" 0.434263823792215
2081 0.00202420595953538 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.0205534758968208
433 0.320196251808552 4 12 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.548907860243232
-65 0.876023400563102 3 13 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 0.957799337945867
-84 0.84676439784294 5 12 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.957799337945867
-273 0.0870682857582025 3 91 "GO:0000228;GO:0005694" "chromosome" 0.287325343002068
586 0.243751405201612 2 9 "GO:0000242" "pericentriolar material" 0.470886677285153
-384 0.420993185187479 2 10 "GO:0000243;GO:0005684" "U2-type spliceosomal complex" 0.624394387019632
-2072 0.000759973554505531 3 6 "GO:0000274;GO:0045265" "mitochondrial proton-transporting ATP synthase, stator stalk" 0.0111462787994145
-2080 0.000724887845562474 4 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.0111462787994145
571 0.256331129574475 6 9 "GO:0000307;GO:1902554;GO:1902911;GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.476559283152545
-821 0.123416856590949 4 8 "GO:0000325" "plant-type vacuole" 0.345930830382558
1305 0.0018189203792441 2 13 "GO:0000407" "phagophore assembly site" 0.0201961120046444
-65 0.871527174000891 3 14 "GO:0000421" "autophagosome membrane" 0.957799337945867
1072 0.0245808252207768 2 10 "GO:0000439" "transcription factor TFIIH core complex" 0.141072562136632
-689 5.45930533049535e-05 4 79 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.00120104717270898
-520 0.0596955597830639 2 30 "GO:0000775" "chromosome, centromeric region" 0.231759232098954
5 0.978983135917656 2 53 "GO:0000776" "kinetochore" 0.98715969354
-299 0.510956591685681 2 11 "GO:0000781" "chromosome, telomeric region" 0.681275455580908
142 0.222757180374199 2 172 "GO:0000785" "chromatin" 0.470886677285153
-541 0.0273951182631427 2 38 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.150673150447285
-8 0.979681211013182 3 21 "GO:0000791" "euchromatin" 0.98715969354
36 0.949662250590143 3 7 "GO:0000792" "heterochromatin" 0.979339195921085
-275 0.131664246217831 5 69 "GO:0000794;GO:0000793" "condensed chromosome" 0.354687357158239
-714 0.180535987390827 2 8 "GO:0000812;GO:0097346" "Swr1 complex" 0.425549113135521
306 0.50096392985591 2 11 "GO:0000835;GO:0000153;GO:0000836" "ER ubiquitin ligase complex" 0.674767742254899
-63 0.925121068037577 6 5 "GO:0000839" "Hrd1p ubiquitin ligase ERAD-L complex" 0.976927847847681
215 0.363837721018373 2 41 "GO:0000922" "spindle pole" 0.576986750641248
746 0.002676868541829 5 37 "GO:0000932;GO:0036464;GO:0035770" "P-body" 0.0252390462515306
961 0.154094618396101 2 5 "GO:0000938" "GARP complex" 0.39116326208241
-491 0.466083428491596 2 5 "GO:0000974" "Prp19 complex" 0.654500133626497
-627 0.239634396257666 3 8 "GO:0001401;GO:0005742;GO:0098799" "mitochondrial outer membrane translocase complex" 0.470886677285153
1175 0.0018360101822404 4 16 "GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702" "cation channel complex" 0.0201961120046444
262 0.623159441592631 2 8 "GO:0001527" "microfibril" 0.752433791970829
472 0.184756605533999 2 18 "GO:0001533" "cornified envelope" 0.427857402289261
-409 0.15189385275176 2 28 "GO:0001650" "fibrillar center" 0.39116326208241
-917 0.00806469433979541 6 19 "GO:0001669;GO:0030141;GO:0099503" "secretory vesicle" 0.0560284027817365
17 0.949565909487585 3 30 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.979339195921085
576 0.0312360091217274 2 32 "GO:0001726" "ruffle" 0.164926128162721
646 0.175921461678829 2 10 "GO:0001750" "photoreceptor outer segment" 0.42221150802919
26 0.968851272409876 2 5 "GO:0001772" "immunological synapse" 0.98715969354
719 0.286063683288133 2 5 "GO:0001891" "phagocytic cup" 0.50973006721897
203 0.627028159975691 2 13 "GO:0001917" "photoreceptor inner segment" 0.752433791970829
837 0.142015320621211 5 7 "GO:0002102" "podosome" 0.374920446439997
1233 0.00108335097749899 3 16 "GO:0002116;GO:0043235" "semaphorin receptor complex" 0.0143002329029867
-1929 0.00421155346843393 2 5 "GO:0002199" "zona pellucida receptor complex" 0.0327014739901929
-107 0.236973452206893 2 291 "GO:0005576" "extracellular region" 0.470886677285153
-256 0.111836483247675 2 89 "GO:0005615" "extracellular space" 0.335509449743025
53 0.419476997913835 3 604 "GO:0005634" "nucleus" 0.624394387019632
-30 0.916715876768458 2 28 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.975858836559971
