"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
139 0.220720251848735 3 11 "GO:0000118" "histone deacetylase complex" 0.657555786251359
68 0.533140806447995 3 12 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.822446555414187
2 0.990462566964378 4 5 "GO:0000124;GO:0070461" "SAGA complex" 0.990462566964378
-6 0.855309120370457 3 149 "GO:0000139" "Golgi membrane" 0.945515967261005
-110 0.441049395126547 3 7 "GO:0000145" "exocyst" 0.807520472620982
-72 0.342189446563296 2 25 "GO:0000151" "ubiquitin ligase complex" 0.768347631692479
208 0.175679416909122 2 6 "GO:0000159;GO:0005963;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.657555786251359
70 0.356335133538541 3 25 "GO:0000228;GO:0005694" "nuclear chromosome" 0.768347631692479
-30 0.7331176857483 4 18 "GO:0000502;GO:1905369" "endopeptidase complex" 0.908654313590392
-114 0.497157333240038 3 5 "GO:0000775" "chromosome, centromeric region" 0.807520472620982
34 0.76379637953975 2 11 "GO:0000776" "kinetochore" 0.908654313590392
-52 0.299562254851166 2 58 "GO:0000785" "chromatin" 0.765547984619646
-66 0.599167609793487 3 9 "GO:0000791" "euchromatin" 0.841299002364692
133 0.136491796775595 3 18 "GO:0000794;GO:0000793" "condensed chromosome" 0.657555786251359
-16 0.866846819390763 2 15 "GO:0000922" "spindle pole" 0.945515967261005
-133 0.2431046542505 4 11 "GO:0000932;GO:0036464;GO:0035770" "P-body" 0.657555786251359
53 0.183306317844409 2 94 "GO:0000943" "retrotransposon nucleocapsid" 0.657555786251359
124 0.201397657880067 3 15 "GO:0001533" "cornified envelope" 0.657555786251359
28 0.824855437619503 2 9 "GO:0001650" "fibrillar center" 0.945515967261005
-263 0.0155307618958557 3 12 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "stress fiber" 0.569201583137648
-232 0.0816250913318516 4 8 "GO:0001726" "ruffle" 0.569201583137648
-53 0.709842600372259 2 7 "GO:0002116;GO:0043235" "semaphorin receptor complex" 0.908654313590392
98 0.0886841869338423 2 44 "GO:0005615" "extracellular space" 0.569201583137648
4 0.910369143322582 5 143 "GO:0005634" "nucleus" 0.945515967261005
-6 0.90918595986455 2 61 "GO:0005654" "nucleoplasm" 0.945515967261005
96 0.569359279263491 2 5 "GO:0005667" "transcription regulator complex" 0.835867878067678
-19 0.896229529966341 2 7 "GO:0005730" "nucleolus" 0.945515967261005
47 0.352086112823073 5 57 "GO:0005739" "mitochondrion" 0.768347631692479
72 0.67043493359054 3 5 "GO:0005764;GO:0000323" "lytic vacuole" 0.907059027798966
-85 0.498782821464186 4 9 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.807520472620982
-163 0.0532980688259019 7 20 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.569201583137648
184 0.194916957579889 2 7 "GO:0005773" "vacuole" 0.657555786251359
-62 0.5363781883136 2 14 "GO:0005774" "vacuolar membrane" 0.822446555414187
140 0.404074113535868 5 5 "GO:0005777;GO:0042579" "microbody" 0.779707804684785
120 0.0706351599005623 5 33 "GO:0005783" "endoplasmic reticulum" 0.569201583137648
195 0.246736731380328 2 5 "GO:0005788" "endoplasmic reticulum lumen" 0.657555786251359
36 0.609321799897475 2 29 "GO:0005789" "endoplasmic reticulum membrane" 0.841299002364692
-98 0.247774644094715 5 20 "GO:0005794" "Golgi apparatus" 0.657555786251359
151 0.324523642710682 4 6 "GO:0005802" "trans-Golgi network" 0.768347631692479
135 0.379230254270061 2 6 "GO:0005811" "lipid droplet" 0.779707804684785
44 0.503237395981192 2 33 "GO:0005829" "cytosol" 0.807520472620982
-11 0.761456816625 2 120 "GO:0005886" "plasma membrane" 0.908654313590392
8 0.931812837300701 3 16 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.945515967261005
103 0.222883845154929 2 20 "GO:0010339" "external side of cell wall" 0.657555786251359
-102 0.05674820901458 3 51 "GO:0016021;GO:0031224" "integral component of membrane" 0.569201583137648
21 0.902009739189242 2 5 "GO:0019867" "outer membrane" 0.945515967261005
178 0.0680137180695082 3 15 "GO:0020003;GO:0033655;GO:0065010;GO:0033646;GO:0043230;GO:0033643;GO:0018995" "host intracellular part" 0.569201583137648
62 0.39656020389051 2 27 "GO:0031966;GO:0005743;GO:0019866" "mitochondrial membrane" 0.779707804684785
-331 0.0491167926831234 2 5 "GO:0031985" "Golgi cisterna" 0.569201583137648
-24 0.470805513699349 1 148 "GO:0032991" "protein-containing complex" 0.807520472620982
-355 0.0343616401978107 2 5 "GO:0032993" "protein-DNA complex" 0.569201583137648
6 0.904605361985176 4 65 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.945515967261005
165 0.189599814983038 3 9 "GO:0070013;GO:0043233;GO:0031974" "organelle lumen" 0.657555786251359
-107 0.451309036551936 2 7 "GO:0098687" "chromosomal region" 0.807520472620982
-68 0.548379166102082 3 11 "GO:0098791;GO:0031984" "Golgi apparatus subcompartment" 0.822568749153123
-117 0.107068741358953 2 27 "GO:0098796" "membrane protein complex" 0.579570456464129
-125 0.458615574095723 5 5 "GO:0098797;GO:0034703;GO:0034702" "cation channel complex" 0.807520472620982
-275 0.0383093289739407 2 8 "GO:0098800;GO:0098798" "mitochondrial protein-containing complex" 0.569201583137648
-99 0.406804072009453 2 10 "GO:0099023" "vesicle tethering complex" 0.779707804684785
-96 0.181333929336324 2 28 "GO:0099080" "supramolecular complex" 0.657555786251359
-260 0.0907422813697699 3 6 "GO:0099513;GO:0099512;GO:0099081" "supramolecular polymer" 0.569201583137648
-156 0.109194433826575 3 15 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.579570456464129
71 0.230527359253559 2 41 "GO:0140513" "nuclear protein-containing complex" 0.657555786251359
-54 0.703079358641303 2 7 "GO:0140534" "endoplasmic reticulum protein-containing complex" 0.908654313590392
-5 0.92324396950076 2 62 "GO:0140535" "intracellular protein-containing complex" 0.945515967261005
15 0.727939469767116 2 86 "GO:1902494" "catalytic complex" 0.908654313590392
-132 0.354381275581952 2 7 "GO:1902495;GO:1990351" "transmembrane transporter complex" 0.768347631692479
-23 0.757948923121573 3 25 "GO:1905368" "peptidase complex" 0.908654313590392
-30 0.609636958235284 3 41 "GO:1990234" "transferase complex" 0.841299002364692
