"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.269831231636881 3 12 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.34552278307634 2 149 "GO:0000139" "Golgi membrane" 1
0 0.0195669709179155 3 25 "GO:0000151" "ubiquitin ligase complex" 0.35625
0 0.0490199248199921 3 25 "GO:0000228;GO:0005694" "chromosome" 0.567857142857143
0 0.000507428854840469 4 18 "GO:0000502;GO:1905369" "endopeptidase complex" 0.05
0 0.0161226916151151 2 58 "GO:0000785" "chromatin" 0.335714285714286
0 0.125006737931784 2 9 "GO:0000791" "euchromatin" 0.8875
0 0.0241525081675037 2 18 "GO:0000794;GO:0000793" "condensed nuclear chromosome" 0.38
0 0.0113601571353858 5 11 "GO:0000932;GO:0036464;GO:0035770" "P-body" 0.33
0 0.0402337939770964 2 94 "GO:0000943" "retrotransposon nucleocapsid" 0.534615384615385
0 0.619459263735316 4 15 "GO:0001533" "cornified envelope" 1
0 0.0909614225020314 2 9 "GO:0001650" "fibrillar center" 0.896875
0 0.775542024725413 2 44 "GO:0005615" "extracellular space" 1
0 0.200710345935313 3 143 "GO:0005634" "nucleus" 0.923076923076923
0 0.576776059142994 2 61 "GO:0005654" "nucleoplasm" 1
0 0.114040113417442 3 57 "GO:0005739" "mitochondrion" 0.876315789473684
0 0.127679287330605 3 33 "GO:0005783" "endoplasmic reticulum" 0.85
0 0.0713078294578758 2 5 "GO:0005788" "endoplasmic reticulum lumen" 0.78
0 0.200512601860142 2 29 "GO:0005789" "endoplasmic reticulum membrane" 0.958
0 0.130485525907127 3 6 "GO:0005811" "lipid droplet" 0.818181818181818
0 0.299447544106964 2 33 "GO:0005829" "cytosol" 1
0 0.13672981484059 3 120 "GO:0005886" "plasma membrane" 0.804347826086957
0 0.0301176963620319 4 6 "GO:0008287;GO:1903293;GO:0000159;GO:0005963" "protein serine/threonine phosphatase complex" 0.395833333333333
0 0.782303344077644 2 51 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 0.166445203695152 2 27 "GO:0031966;GO:0019866;GO:0005743" "mitochondrial membrane" 0.8625
0 0.0218248555179407 1 148 "GO:0032991" "protein-containing complex" 0.333333333333333
0 0.0244694288235992 2 65 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.354545454545455
0 0.113090315792968 3 9 "GO:0070013;GO:0043233;GO:0031974" "organelle lumen" 0.908333333333333
0 0.101002725785098 2 28 "GO:0099080" "supramolecular complex" 0.905882352941176
0 0.449744414399518 2 41 "GO:0140513" "nuclear protein-containing complex" 1
0 0.000813534632761939 2 62 "GO:0140535" "intracellular protein-containing complex" 0.0333333333333333
0 0.000738048637578399 2 86 "GO:1902494" "catalytic complex" 0.05
0 0.00102987748283806 2 25 "GO:1905368" "peptidase complex" 0.025
0 0.0119442537719585 3 41 "GO:1990234" "transferase complex" 0.275
0 1 2 11 "GO:0000118" "histone deacetylase complex" 1
0 1 2 5 "GO:0000124;GO:0070461" "SAGA complex" 1
0 1 3 7 "GO:0000145" "exocyst" 1
0 1 3 5 "GO:0000775" "chromosome, centromeric region" 1
0 1 3 11 "GO:0000776" "kinetochore" 1
0 1 2 15 "GO:0000922" "spindle pole" 1
0 1 3 12 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "stress fiber" 1
0 1 4 8 "GO:0001726" "ruffle" 1
0 1 2 7 "GO:0002116;GO:0043235" "semaphorin receptor complex" 1
0 1 2 5 "GO:0005667" "transcription regulator complex" 1
0 1 3 7 "GO:0005730" "nucleolus" 1
0 1 3 5 "GO:0005764;GO:0000323" "lysosome" 1
0 1 4 9 "GO:0005765;GO:0098852" "lysosomal membrane" 1
0 1 2 20 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 1 3 7 "GO:0005773" "vacuole" 1
0 1 2 14 "GO:0005774" "vacuolar membrane" 1
0 1 3 5 "GO:0005777;GO:0042579" "microbody" 1
0 1 2 20 "GO:0005794" "Golgi apparatus" 1
0 1 2 6 "GO:0005802" "trans-Golgi network" 1
0 1 4 16 "GO:0005887;GO:0031226" "integral component of plasma membrane" 1
0 1 2 20 "GO:0010339" "external side of cell wall" 1
0 1 3 5 "GO:0019867" "outer membrane" 1
0 1 5 15 "GO:0020003;GO:0033655;GO:0065010;GO:0033646;GO:0033643;GO:0018995;GO:0043230" "host intracellular part" 1
0 1 2 5 "GO:0031985" "Golgi cisterna" 1
0 1 2 5 "GO:0032993" "protein-DNA complex" 1
0 1 2 7 "GO:0098687" "chromosomal region" 1
0 1 3 11 "GO:0098791;GO:0031984" "Golgi apparatus subcompartment" 1
0 1 2 27 "GO:0098796" "membrane protein complex" 1
0 1 3 5 "GO:0098797;GO:0034703;GO:0034702" "plasma membrane protein complex" 1
0 1 2 8 "GO:0098800;GO:0098798" "mitochondrial protein-containing complex" 1
0 1 2 10 "GO:0099023" "vesicle tethering complex" 1
0 1 3 6 "GO:0099513;GO:0099512;GO:0099081" "supramolecular fiber" 1
0 1 3 15 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 1
0 1 2 7 "GO:0140534" "endoplasmic reticulum protein-containing complex" 1
0 1 3 7 "GO:1902495;GO:1990351" "transmembrane transporter complex" 1
