"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.118309055017986 3 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.606019183933058 2 65 "GO:0000118" "histone deacetylase complex" 0.863333333333333
0 0.0155067300628293 3 34 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.0447572120657284 5 6 "GO:0000124;GO:0070461" "SAGA complex" 1
0 0.134670356829405 2 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.834
0 0.192657447061945 2 317 "GO:0000139" "Golgi membrane" 0.891379310344828
0 0.310229838208499 2 74 "GO:0000151" "ubiquitin ligase complex" 0.817948717948718
0 0.256744699821446 3 58 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.869117647058824
0 0.186834976881833 2 112 "GO:0000785" "chromatin" 0.914285714285714
0 0.0579930613467561 2 64 "GO:0000794;GO:0000228;GO:0000793;GO:0005694" "chromosome" 1
0 0.126716049726066 4 9 "GO:0000836;GO:0000835;GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.865217391304348
0 0.073574817281263 6 5 "GO:0000839" "Hrd1p ubiquitin ligase ERAD-L complex" 0.982142857142857
0 0.312005464254796 3 21 "GO:0000932;GO:0036464;GO:0035770" "P-body" 0.79875
0 0.008423182935657 2 4 "GO:0001772" "immunological synapse" 1
0 0.123098381606795 2 6 "GO:0001917" "photoreceptor inner segment" 0.884090909090909
0 0.0315552439009659 2 12 "GO:0002116;GO:0043235" "semaphorin receptor complex" 1
0 0.122317982114921 2 89 "GO:0005576" "extracellular region" 0.926190476190476
0 0.561652987952462 2 38 "GO:0005615" "extracellular space" 0.8625
0 0.286569723704519 3 17 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.861111111111111
0 0.0203134115655406 2 97 "GO:0005654" "nucleoplasm" 1
0 0.18624324507124 2 13 "GO:0005667" "transcription regulator complex" 0.948148148148148
0 0.300545806731634 2 269 "GO:0005737" "cytoplasm" 0.832894736842105
0 0.249497114673284 2 112 "GO:0005739" "mitochondrion" 0.878787878787879
0 0.342700430773982 3 26 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.80609756097561
0 0.0569796214028102 5 47 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 1
0 0.0222284079903588 2 13 "GO:0005769" "early endosome" 1
0 0.112201448329539 2 12 "GO:0005777;GO:0042579" "peroxisome" 1
0 0.470617728356801 5 74 "GO:0005783" "endoplasmic reticulum" 0.857142857142857
0 0.0735487278658596 5 9 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.120247152592036 3 51 "GO:0005789" "endoplasmic reticulum membrane" 0.9625
0 0.0830703969225992 5 25 "GO:0005794" "Golgi apparatus" 0.993333333333333
0 0.100538547354777 2 5 "GO:0005797" "Golgi medial cisterna" 1
0 0.067958071676779 2 93 "GO:0005829" "cytosol" 1
0 0.0662107854925567 2 168 "GO:0005886" "plasma membrane" 1
0 0.0728343659284293 5 4 "GO:0020003;GO:0033655;GO:0065010;GO:0033646;GO:0033643;GO:0018995;GO:0043230" "host cell cytoplasm part" 1
0 0.688577921672019 3 60 "GO:0031224;GO:0016021" "integral component of membrane" 0.853191489361702
0 0.207063850723133 4 11 "GO:0031985" "Golgi cisterna" 0.866129032258065
0 0.245729470107366 2 161 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.9
0 0.150907450968075 3 21 "GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.848076923076923
0 0.27042677051299 3 15 "GO:0098791;GO:0031984" "Golgi apparatus subcompartment" 0.855714285714286
0 0.550174529576534 2 72 "GO:0098796" "membrane protein complex" 0.877906976744186
0 0.641273209413847 2 67 "GO:0099080" "supramolecular complex" 0.859782608695652
0 0.132363460498633 2 142 "GO:0140513" "nuclear protein-containing complex" 0.8625
0 0.19790021590669 2 15 "GO:0140534" "endoplasmic reticulum protein-containing complex" 0.873333333333333
0 0.110652638775504 2 164 "GO:0140535" "intracellular protein-containing complex" 1
0 0.290854808991323 2 298 "GO:1902494" "catalytic complex" 0.844594594594595
0 0.06522384317513 2 123 "GO:1990234" "transferase complex" 1
0 1 2 3 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 2 4 "GO:0000138" "Golgi trans cisterna" 1
0 1 2 7 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 4 5 "GO:0000172;GO:0005732;GO:1902555;GO:1905348" "endoribonuclease complex" 1
0 1 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 3 4 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
