"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.785418086309443 3 65 "GO:0000118" "histone deacetylase complex" 1
0 0.0825900110369551 4 34 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.635555555555556
0 0.569649747081591 2 6 "GO:0000124;GO:0070461" "SAGA complex" 1
0 0.0420609974163725 4 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.5
0 0.202218022950821 3 4 "GO:0000138" "Golgi trans cisterna" 0.9025
0 0.0596511221909404 2 356 "GO:0000139;GO:0098588" "bounding membrane of organelle" 0.582894736842105
0 0.0219298321371381 2 74 "GO:0000151" "ubiquitin ligase complex" 0.352
0 0.272347471574091 2 7 "GO:0000164" "protein phosphatase type 1 complex" 0.948507462686567
0 0.254495602831782 4 5 "GO:0000172;GO:0005732;GO:1902555;GO:1905348" "endoribonuclease complex" 0.936153846153846
0 0.0878041566730987 2 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.646808510638298
0 0.169117089213544 4 10 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.841379310344827
0 0.0648664021056592 4 10 "GO:0000220;GO:0033179;GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.607692307692308
0 0.0112657048765631 5 9 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.25
0 0.0214162207732769 2 9 "GO:0000243;GO:0005684;GO:0005681" "spliceosomal complex" 0.364583333333333
0 0.12843674188982 2 3 "GO:0000346" "transcription export complex" 0.807843137254902
0 0.598142915665538 2 8 "GO:0000407" "phagophore assembly site" 1
0 0.812449826091088 2 11 "GO:0000421" "autophagosome membrane" 1
0 2.71471846476692e-09 4 58 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0
0 2.02663607169223e-05 2 23 "GO:0000775" "chromosome, centromeric region" 0
0 0.00115540764942524 3 35 "GO:0000776" "kinetochore" 0.040625
0 0.029575434518587 2 8 "GO:0000781" "chromosome, telomeric region" 0.4
0 0.446634824423734 2 112 "GO:0000785" "chromatin" 1
0 0.00171251985906537 3 15 "GO:0000791" "euchromatin" 0.0735294117647059
0 0.0996579640103274 3 6 "GO:0000792" "heterochromatin" 0.695833333333333
0 0.0586686350996329 2 64 "GO:0000794;GO:0000228;GO:0000793;GO:0005694" "chromosome" 0.606944444444445
0 0.161202212677273 2 9 "GO:0000836;GO:0000835;GO:0000153" "ER ubiquitin ligase complex" 0.866363636363636
0 0.526248489815569 2 5 "GO:0000839" "Hrd1p ubiquitin ligase ERAD-L complex" 1
0 0.822306497438554 2 28 "GO:0000922" "spindle pole" 1
