"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.780557423250888 2 65 "GO:0000118" "histone deacetylase complex" 1
0 0.144081808521496 2 34 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 1
0 0.20733981215589 4 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.965789473684211
0 0.025438894030665 5 317 "GO:0000139" "Golgi membrane" 0.433333333333333
0 0.175140048375512 2 74 "GO:0000151" "ubiquitin ligase complex" 0.986764705882353
0 0.0471720930817873 2 10 "GO:0000220;GO:0033179;GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.725
0 0.0158757980060574 3 9 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.330769230769231
0 0.0552368282330277 4 9 "GO:0000243;GO:0005684;GO:0005681" "spliceosomal complex" 0.65
0 0.126270408262466 2 3 "GO:0000346" "transcription export complex" 0.983928571428571
0 6.62975867028996e-05 3 58 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0
0 0.00578670483060361 3 23 "GO:0000775" "chromosome, centromeric region" 0.172222222222222
0 0.185420512308928 3 35 "GO:0000776" "kinetochore" 0.984285714285714
0 0.05376029091828 3 8 "GO:0000781" "chromosome, telomeric region" 0.664285714285714
0 0.508146820577386 2 112 "GO:0000785" "chromatin" 1
0 0.0512678302775314 2 15 "GO:0000791" "euchromatin" 0.6775
0 0.360718422524824 2 64 "GO:0000794;GO:0000228;GO:0000793;GO:0005694" "chromosome" 1
0 0.729932557620903 2 28 "GO:0000922" "spindle pole" 1
0 0.617252585286679 3 21 "GO:0000932;GO:0036464;GO:0035770" "P-body" 1
0 0.00084025148561271 2 21 "GO:0001650" "fibrillar center" 0.08
0 0.00155671534361744 4 10 "GO:0001669;GO:0030141;GO:0099503" "acrosomal vesicle" 0.108333333333333
0 0.526357403423818 3 19 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "stress fiber" 1
0 0.162539065254422 2 22 "GO:0001726" "ruffle" 1
0 0.000278500653850018 2 5 "GO:0002199" "zona pellucida receptor complex" 0
0 0.401858173361764 2 89 "GO:0005576" "extracellular region" 1
0 0.358009954284324 4 17 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 1
0 0.521543245691258 2 97 "GO:0005654" "nucleoplasm" 1
0 0.273044824544931 2 13 "GO:0005667" "transcription regulator complex" 1
0 0.088969645114309 3 26 "GO:0005730" "nucleolus" 0.821153846153846
0 0.261990689538447 2 269 "GO:0005737" "cytoplasm" 1
0 0.300058145682382 3 112 "GO:0005739" "mitochondrion" 1
0 0.468897419660069 3 26 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.000305049832167316 7 47 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.0375
0 0.0555253844017039 2 13 "GO:0005769" "early endosome" 0.626086956521739
0 0.732886114513276 2 33 "GO:0005774" "vacuolar membrane" 1
0 0.144361616063061 3 12 "GO:0005777;GO:0042579" "microbody" 0.991666666666667
0 0.824557439613996 3 74 "GO:0005783" "endoplasmic reticulum" 1
0 0.0919399648396024 2 9 "GO:0005788" "endoplasmic reticulum lumen" 0.814814814814815
