"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.237300531129231 2 317 "GO:0000139" "Golgi membrane" 0.966666666666667
0 0.00239472824457176 2 6 "GO:0036452" "ESCRT complex" 0.15
0 0.0283573381007538 2 72 "GO:0098796" "membrane protein complex" 0.45
0 1 3 3 "GO:0000015" "phosphopyruvate hydratase complex" 1
0 1 2 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 2 65 "GO:0000118" "histone deacetylase complex" 1
0 1 3 34 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 5 6 "GO:0000124;GO:0070461" "SAGA-type complex" 1
0 1 2 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 1
0 1 4 4 "GO:0000138" "Golgi trans cisterna" 1
0 1 3 74 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 7 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 3 5 "GO:0000172;GO:0005732;GO:1902555;GO:1905348" "endoribonuclease complex" 1
0 1 2 6 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 5 4 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 4 10 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 1 4 10 "GO:0000220;GO:0033179;GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 1
0 1 5 9 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 1
0 1 2 5 "GO:0000242" "pericentriolar material" 1
0 1 4 9 "GO:0000243;GO:0005684;GO:0005681" "spliceosomal complex" 1
0 1 3 3 "GO:0000274;GO:0045265" "proton-transporting ATP synthase, stator stalk" 1
0 1 2 9 "GO:0000307;GO:1902554;GO:1902911;GO:0061695" "transferase complex, transferring phosphorus-containing groups" 1
0 1 6 5 "GO:0000325" "plant-type vacuole" 1
0 1 2 3 "GO:0000346" "transcription export complex" 1
0 1 2 8 "GO:0000407" "phagophore assembly site" 1
0 1 2 11 "GO:0000421" "autophagosome membrane" 1
0 1 3 58 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 1 2 23 "GO:0000775" "chromosome, centromeric region" 1
0 1 3 35 "GO:0000776" "kinetochore" 1
0 1 3 8 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 112 "GO:0000785" "chromatin" 1
0 1 3 21 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 1
0 1 2 15 "GO:0000791" "euchromatin" 1
0 1 2 6 "GO:0000792" "heterochromatin" 1
0 1 5 64 "GO:0000794;GO:0000228;GO:0000793;GO:0005694" "chromosome" 1
0 1 4 4 "GO:0000812;GO:0097346;GO:0070603;GO:1904949" "SWI/SNF superfamily-type complex" 1
0 1 3 3 "GO:0000815" "ESCRT III complex" 1
0 1 4 9 "GO:0000836;GO:0000835;GO:0000153" "ER ubiquitin ligase complex" 1
0 1 5 5 "GO:0000839" "Hrd1p ubiquitin ligase ERAD-L complex" 1
0 1 2 28 "GO:0000922" "spindle pole" 1
0 1 4 21 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 1
0 1 2 4 "GO:0000938" "GARP complex" 1
0 1 2 5 "GO:0000974" "Prp19 complex" 1
0 1 3 13 "GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702" "cation channel complex" 1
0 1 2 7 "GO:0001527" "microfibril" 1
0 1 4 8 "GO:0001533" "cornified envelope" 1
0 1 2 21 "GO:0001650" "fibrillar center" 1
0 1 7 10 "GO:0001669;GO:0030141;GO:0099503" "secretory vesicle" 1
0 1 2 19 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "stress fiber" 1
0 1 2 22 "GO:0001726" "ruffle" 1
0 1 2 3 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 4 "GO:0001772" "immunological synapse" 1
0 1 2 6 "GO:0001917" "photoreceptor inner segment" 1
0 1 3 6 "GO:0002102" "podosome" 1
0 1 3 12 "GO:0002116;GO:0043235" "semaphorin receptor complex" 1
0 1 2 5 "GO:0002199" "zona pellucida receptor complex" 1
0 1 2 89 "GO:0005576" "extracellular region" 1
0 1 2 38 "GO:0005615" "extracellular space" 1
0 1 4 17 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 1
0 1 2 97 "GO:0005654" "nucleoplasm" 1
0 1 2 13 "GO:0005667" "transcription regulator complex" 1
0 1 3 26 "GO:0005730" "nucleolus" 1
0 1 2 269 "GO:0005737" "cytoplasm" 1
0 1 3 112 "GO:0005739" "mitochondrion" 1
0 1 4 6 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 1 3 5 "GO:0005758;GO:0031970" "mitochondrial intermembrane space" 1
0 1 2 6 "GO:0005759" "mitochondrial matrix" 1
0 1 7 26 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 1 3 18 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 1 7 47 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 1 2 13 "GO:0005769" "early endosome" 1
0 1 2 33 "GO:0005774" "vacuolar membrane" 1
0 1 4 12 "GO:0005777;GO:0042579" "peroxisome" 1
0 1 3 74 "GO:0005783" "endoplasmic reticulum" 1
0 1 5 9 "GO:0005788" "endoplasmic reticulum lumen" 1
0 1 4 51 "GO:0005789" "endoplasmic reticulum membrane" 1
0 1 3 25 "GO:0005794" "Golgi apparatus" 1
0 1 3 5 "GO:0005797" "Golgi medial cisterna" 1
0 1 3 4 "GO:0005802" "trans-Golgi network" 1
0 1 3 3 "GO:0005811" "lipid droplet" 1
0 1 3 8 "GO:0005813;GO:0005815" "centrosome" 1
0 1 2 93 "GO:0005829" "cytosol" 1
0 1 3 4 "GO:0005840" "ribosome" 1
0 1 2 4 "GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 1
0 1 3 168 "GO:0005886" "plasma membrane" 1
0 1 2 13 "GO:0005887;GO:0031226" "integral component of plasma membrane" 1
0 1 2 6 "GO:0005929" "cilium" 1
0 1 3 3 "GO:0005938" "cell cortex" 1
0 1 3 3 "GO:0008250" "oligosaccharyltransferase complex" 1
0 1 4 29 "GO:0008287;GO:1903293;GO:0000159" "protein serine/threonine phosphatase complex" 1
0 1 3 60 "GO:0016021;GO:0031224" "integral component of membrane" 1
