"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 10 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 1
0 1 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 1
0 1 5 54 "GO:0000030" "mannosyltransferase activity" 1
0 0.231946481620092 4 85 "GO:0000049" "tRNA binding" 1
0 1 2 33 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 1
0 1 2 83 "GO:0000146" "microfilament motor activity" 1
0 1 2 37 "GO:0000149" "SNARE binding" 1
0 1 5 27 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796;GO:0004540" "ribonuclease activity" 1
0 1 3 6 "GO:0000182" "rDNA binding" 1
0 0.0570548973673881 3 19 "GO:0000217" "DNA secondary structure binding" 1
0 1 3 5 "GO:0000268" "peroxisome targeting sequence binding" 1
0 1 2 152 "GO:0000287" "magnesium ion binding" 1
0 1 2 16 "GO:0000339" "RNA cap binding" 1
0 1 3 7 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 0.0153277297625231 6 5 "GO:0000403" "Y-form DNA binding" 1
0 1 3 7 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 1
0 0.0148347460428201 2 677 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565;GO:0000978;GO:0000987" "double-stranded DNA binding" 1
0 1 3 73 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 1
0 1 3 5 "GO:0000993" "RNA polymerase II complex binding" 1
0 0.0364081237690046 2 12 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 5 6 "GO:0001091;GO:0140296;GO:0001096" "RNA polymerase II general transcription initiation factor binding" 1
0 1 3 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 3 9 "GO:0001221" "transcription coregulator binding" 1
0 1 2 6 "GO:0001530" "lipopolysaccharide binding" 1
0 1 2 17 "GO:0001540" "amyloid-beta binding" 1
0 1 3 8 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 5 18 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 1 3 23 "GO:0001653" "peptide receptor activity" 1
0 0.102664849318573 2 35 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 13 "GO:0001671;GO:0140677" "ATPase activator activity" 1
0 1 5 5 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 1
0 1 3 14 "GO:0001786" "phosphatidylserine binding" 1
0 1 4 13 "GO:0002020" "protease binding" 1
0 1 2 16 "GO:0002039" "p53 binding" 1
0 1 4 5 "GO:0002058;GO:0002061;GO:0002054" "uracil binding" 1
0 1 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.226335684884327 2 2832 "GO:0003677" "DNA binding" 1
0 1 2 11 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 1 2 34 "GO:0003682" "chromatin binding" 1
0 1 3 7 "GO:0003684" "damaged DNA binding" 1
0 1 2 17 "GO:0003693" "P-element binding" 1
0 1 2 7 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 43 "GO:0003712" "transcription coregulator activity" 1
0 1 2 10 "GO:0003713" "transcription coactivator activity" 1
0 1 3 13 "GO:0003714" "transcription corepressor activity" 1
0 0.0787803576201402 3 535 "GO:0003723" "RNA binding" 1
0 1 2 28 "GO:0003729" "mRNA binding" 1
0 1 3 7 "GO:0003730" "mRNA 3'-UTR binding" 1
