"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
386 0.540559764354674 2 9 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.672986052007827
916 0.000918235068461896 2 47 "GO:0000030" "mannosyltransferase activity" 0.005474093677369
-326 0.126762903835606 2 79 "GO:0000049" "tRNA binding" 0.248712026512898
-1441 4.13231531848528e-05 2 29 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 0.000533757395304349
-471 0.031714996124294 2 75 "GO:0000146" "microfilament motor activity" 0.0981801712011508
587 0.0668301450630216 3 35 "GO:0000149" "SNARE binding" 0.165738759756294
-448 0.24594678779197 6 24 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796;GO:0004540" "ribonuclease activity" 0.389750334239969
-557 0.509896129884666 7 5 "GO:0000182" "rDNA binding" 0.653172728364655
386 0.387114983178592 2 18 "GO:0000217" "DNA secondary structure binding" 0.535739485648944
-1587 0.0604159615306381 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.153515967823753
-1038 1.56721794764484e-09 2 123 "GO:0000287" "magnesium ion binding" 6.07296954712375e-08
305 0.561089243306289 2 13 "GO:0000339" "RNA cap binding" 0.690228831051387
385 0.617922286242495 3 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.728701048637442
1421 0.0925986758900376 4 5 "GO:0000403" "Y-form DNA binding" 0.203585741318522
1471 0.0564843240341614 3 6 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.146974606803423
1316 4.52990721660613e-59 2 595 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565;GO:0000978;GO:0000987" "double-stranded DNA binding" 7.0213561857395e-57
866 0.000189524576642156 3 67 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.00172801819879613
445 0.598318216116086 5 5 "GO:0000993" "RNA polymerase II complex binding" 0.716133772185277
1726 0.00246482660636358 2 11 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0127349374662118
-774 0.315912670356022 5 6 "GO:0001091;GO:0140296;GO:0001096" "RNA polymerase II general transcription initiation factor binding" 0.459779003804539
-220 0.699834840345244 4 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.786046378648644
-480 0.44590182114642 2 9 "GO:0001221" "transcription coregulator binding" 0.598396383356668
-241 0.634140147175183 3 14 "GO:0001540" "amyloid-beta binding" 0.741824323110591
-712 0.286467107198148 2 8 "GO:0001618;GO:0140272" "virus receptor activity" 0.433194162104517
1616 0.00306043394140402 3 12 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.0153021697070201
898 0.0999394386153933 3 12 "GO:0001653" "peptide receptor activity" 0.211215397866966
90 0.801393811316348 2 28 "GO:0001664" "G protein-coupled receptor binding" 0.865617008738912
-593 0.298491827007788 3 11 "GO:0001671;GO:0140677" "ATPase activator activity" 0.446821031270499
681 0.420457377736425 5 5 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 0.574192894706131
241 0.672928305663259 2 11 "GO:0001786" "phosphatidylserine binding" 0.772621387983742
-554 0.291024758805399 4 13 "GO:0002020" "protease binding" 0.437949879755698
177 0.725934719157628 3 14 "GO:0002039" "p53 binding" 0.807672788072738
111 0.895404896740502 5 5 "GO:0002058;GO:0002061;GO:0002054" "uracil binding" 0.919124231753495
-466 0.514174675244264 5 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.655943001340419
825 1.00490631536877e-60 2 2078 "GO:0003677" "DNA binding" 3.11520957764319e-58
446 0.433961285821633 6 11 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.584904341759592
-135 0.695149494843021 2 30 "GO:0003682" "chromatin binding" 0.786046378648644
1577 0.0620882725374482 2 5 "GO:0003684" "damaged DNA binding" 0.15522068134362
650 0.276858983983739 7 10 "GO:0003693" "P-element binding" 0.422789581453
158 0.824582290463687 2 7 "GO:0003697" "single-stranded DNA binding" 0.881450034633596
222 0.476111969787367 2 37 "GO:0003712" "transcription coregulator activity" 0.617967497779836
-133 0.85227662065233 2 7 "GO:0003713" "transcription coactivator activity" 0.898818968223285
1209 0.0338774456392008 2 11 "GO:0003714" "transcription corepressor activity" 0.101961244156818
-372 5.83479231738089e-05 4 447 "GO:0003723" "RNA binding" 0.000669920599402991
