"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
669 0.366351637089788 5 10 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.521348356630411
-1075 0.304466550229248 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.464346245555109
311 0.33005821334978 5 54 "GO:0000030" "mannosyltransferase activity" 0.494347279187563
-627 0.0139455776194422 2 85 "GO:0000049" "tRNA binding" 0.0418874518636706
-1980 1.23543772402313e-06 2 33 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 1.42288344766802e-05
-329 0.202860269800562 2 83 "GO:0000146" "microfilament motor activity" 0.354959348958811
1369 0.000386253586720208 2 37 "GO:0000149" "SNARE binding" 0.00238904996230647
-294 0.514104735088967 6 27 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796;GO:0004540" "ribonuclease activity" 0.650420384544375
-344 0.718790852064385 2 6 "GO:0000182" "rDNA binding" 0.795954264284312
304 0.57192091017433 5 19 "GO:0000217" "DNA secondary structure binding" 0.697159065686957
-1244 0.234744901985459 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.39251620152114
-842 1.11360814338623e-05 2 152 "GO:0000287" "magnesium ion binding" 0.000103318088858611
-217 0.711535617665138 2 16 "GO:0000339" "RNA cap binding" 0.795174015192868
1039 0.240395670366928 2 7 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.394707579725002
1333 0.202985735482434 2 5 "GO:0000403" "Y-form DNA binding" 0.354959348958811
2518 0.00444275786442489 2 7 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.0174574250202107
1127 3.96173191317289e-33 2 677 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565;GO:0000978;GO:0000987" "double-stranded DNA binding" 1.32321845899975e-30
312 0.256550247227163 2 73 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.408037059875583
-19 0.985893742757892 2 5 "GO:0000993" "RNA polymerase II complex binding" 0.99284566209335
2372 0.000452443731762876 4 12 "GO:0001046" "core promoter sequence-specific DNA binding" 0.00269850368587144
-993 0.299108803099637 3 6 "GO:0001091;GO:0140296;GO:0001096" "general transcription initiation factor binding" 0.460379448088842
-550 0.43592347001687 2 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.577771583276328
-806 0.301969282773629 3 9 "GO:0001221" "transcription coregulator binding" 0.462650185533909
-1450 0.129224494189785 2 6 "GO:0001530" "lipopolysaccharide binding" 0.260005909996314
485 0.393210257840655 2 17 "GO:0001540" "amyloid-beta binding" 0.543842684797784
-1060 0.200310992350181 3 8 "GO:0001618;GO:0140272" "virus receptor activity" 0.354959348958811
1282 0.0202898164930996 3 18 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.0555475303991415
1230 0.0118389494889169 2 23 "GO:0001653" "peptide receptor activity" 0.0369552255074602
471 0.235039641629425 3 35 "GO:0001664" "G protein-coupled receptor binding" 0.39251620152114
240 0.711847396834334 3 13 "GO:0001671;GO:0140677" "ATPase activator activity" 0.795174015192868
2151 0.0399299092547342 3 5 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 0.0973473700078921
-15 0.980897176767014 2 14 "GO:0001786" "phosphatidylserine binding" 0.992786839515705
-799 0.219034622957528 2 13 "GO:0002020" "protease binding" 0.377100845710383
-81 0.890675112286206 2 16 "GO:0002039" "p53 binding" 0.935488954413814
-147 0.888349749504978 3 5 "GO:0002058;GO:0002061;GO:0002054" "uracil binding" 0.935488954413814
-793 0.309573809405445 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 0.467862680277912
648 1.36754022227861e-32 2 2832 "GO:0003677" "DNA binding" 2.28379217120528e-30
646 0.360274280153776 2 11 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.520916058750481
-132 0.742373470043041 2 34 "GO:0003682" "chromatin binding" 0.81295979998156
394 0.655951021312444 5 7 "GO:0003684" "damaged DNA binding" 0.750300140816289
258 0.649600249664304 2 17 "GO:0003693" "P-element binding" 0.749805186499675
239 0.787368268310124 5 7 "GO:0003697" "single-stranded DNA binding" 0.856615640441633
30 0.934004217282719 2 43 "GO:0003712" "transcription coregulator activity" 0.962831507939593
-251 0.7349076957509 2 10 "GO:0003713" "transcription coactivator activity" 0.807431481515791
904 0.16404973895461 3 13 "GO:0003714" "transcription corepressor activity" 0.306103982183462
-535 3.15186868335042e-07 4 535 "GO:0003723" "RNA binding" 4.21089656095616e-06
-86 0.846931100795915 2 28 "GO:0003729" "mRNA binding" 0.900875756897566
320 0.717606841041593 3 7 "GO:0003730" "mRNA 3'-UTR binding" 0.795954264284312
-2063 6.69128566107482e-13 2 67 "GO:0003735" "structural constituent of ribosome" 3.72481568466498e-11
-339 0.538916493887675 3 18 "GO:0003743" "translation initiation factor activity" 0.671634734919714
-1224 0.000538742656225074 3 44 "GO:0003746" "translation elongation factor activity" 0.00304983130812161
-275 0.61848102769273 3 18 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.727368532568211
-1309 0.113952470451065 3 8 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.234939044016393
2068 2.73624876092982e-07 2 34 "GO:0003777" "microtubule motor activity" 3.807946192294e-06
33 0.906366668493056 2 72 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.946020210239627
-1199 0.17548526444064 4 7 "GO:0003841;GO:0016411;GO:0042171;GO:0071617" "acylglycerol O-acyltransferase activity" 0.322044386391065
-2260 0.0308925770158894 2 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.0798801759326716
-2542 0.00782332205269812 2 6 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.0263938339959714
197 0.851036960410181 2 5 "GO:0003872" "6-phosphofructokinase activity" 0.902369348498414
2561 0.0144326364092259 2 5 "GO:0003873" "6-phosphofructo-2-kinase activity" 0.042659296997181
-135 0.477636905565573 7 155 "GO:0003924;GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.612822202685946
1110 0.179832061691301 2 8 "GO:0003925" "G protein activity" 0.328218079808167
-3632 0.000522197625912224 2 5 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.00300713805266695
1179 0.154462491191807 5 8 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.29649696585094
