"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-194 0.793153857755056 2 10 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.903385708998722
-297 0.776896491938579 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.894037034667236
1055 0.000957954249301661 2 54 "GO:0000030" "mannosyltransferase activity" 0.0168398273298292
167 0.51350695450954 2 85 "GO:0000049" "tRNA binding" 0.779596921846302
722 0.0768172657499326 5 33 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 0.312816902366958
-365 0.157563938405784 2 83 "GO:0000146" "microfilament motor activity" 0.459155268644766
-814 0.0347159237195223 2 37 "GO:0000149" "SNARE binding" 0.224524542344123
-422 0.349929158569606 5 27 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796;GO:0004540" "ribonuclease activity" 0.660568162770186
78 0.935398996368145 2 6 "GO:0000182" "rDNA binding" 0.959622423967438
-525 0.328660880030344 5 19 "GO:0000217" "DNA secondary structure binding" 0.652861149321424
-1029 0.325637055279906 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.652861149321424
-423 0.027412538331607 2 152 "GO:0000287" "magnesium ion binding" 0.194803995803335
407 0.486752600758785 2 16 "GO:0000339" "RNA cap binding" 0.759697984361842
-732 0.408076143721509 5 7 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.709882458348875
-462 0.658895287907362 2 5 "GO:0000403" "Y-form DNA binding" 0.860860986318668
-1247 0.158909223002272 2 7 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.459155268644766
564 1.8940088067569e-09 2 677 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565;GO:0000978;GO:0000987" "double-stranded DNA binding" 3.16299470728402e-07
1014 0.000227924864817087 2 73 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.00760330968161424
1047 0.317241566856751 5 5 "GO:0000993" "RNA polymerase II complex binding" 0.652861149321424
-412 0.542059161019213 2 12 "GO:0001046" "core promoter sequence-specific DNA binding" 0.790677408578673
387 0.685792082330234 2 6 "GO:0001091;GO:0140296;GO:0001096" "RNA polymerase II general transcription initiation factor binding" 0.860860986318668
687 0.330305493183399 3 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.652861149321424
359 0.645363326587876 4 9 "GO:0001221" "transcription coregulator binding" 0.856529435293368
-330 0.729780533998787 2 6 "GO:0001530" "lipopolysaccharide binding" 0.870523922698553
-1231 0.0303203829906783 2 17 "GO:0001540" "amyloid-beta binding" 0.206673630997685
137 0.868494219802719 3 8 "GO:0001618;GO:0140272" "virus receptor activity" 0.944876447602958
242 0.660936298810532 3 18 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.860860986318668
302 0.536298157393625 3 23 "GO:0001653" "peptide receptor activity" 0.790677408578673
-226 0.568863005753347 2 35 "GO:0001664" "G protein-coupled receptor binding" 0.805577035305766
-370 0.569210120754972 3 13 "GO:0001671;GO:0140677" "ATPase activator activity" 0.805577035305766
-1360 0.193848784955684 5 5 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 0.486808226881191
-30 0.961577585646841 2 14 "GO:0001786" "phosphatidylserine binding" 0.973233071533469
-89 0.890810926032903 3 13 "GO:0002020" "protease binding" 0.946767856578127
-74 0.900147847195379 3 16 "GO:0002039" "p53 binding" 0.946767856578127
331 0.751963984888876 4 5 "GO:0002058;GO:0002061;GO:0002054" "uracil binding" 0.881219069866413
790 0.311750093850739 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 0.650808436113417
509 9.77730410407746e-21 3 2832 "GO:0003677" "DNA binding" 3.26561957076187e-18
-183 0.795195803729414 2 11 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.903385708998722
-206 0.608192372930472 2 34 "GO:0003682" "chromatin binding" 0.842341946832878
678 0.443357315513321 2 7 "GO:0003684" "damaged DNA binding" 0.736579483997113
273 0.630753273528312 4 17 "GO:0003693" "P-element binding" 0.846070656058057
49 0.955871286046118 5 7 "GO:0003697" "single-stranded DNA binding" 0.97039820528694
323 0.366604413981772 2 43 "GO:0003712" "transcription coregulator activity" 0.672041930977046
617 0.404830520732485 3 10 "GO:0003713" "transcription coactivator activity" 0.707923528401309
81 0.90056797284886 3 13 "GO:0003714" "transcription corepressor activity" 0.946767856578127
39 0.708792728256388 3 535 "GO:0003723" "RNA binding" 0.860860986318668
213 0.630522575437478 4 28 "GO:0003729" "mRNA binding" 0.846070656058057
-264 0.76545413643924 5 7 "GO:0003730" "mRNA 3'-UTR binding" 0.890807252859603
-805 0.00505227157079937 2 67 "GO:0003735" "structural constituent of ribosome" 0.056248623488233
1073 0.051983513199569 5 18 "GO:0003743" "translation initiation factor activity" 0.244219055403785
-363 0.304603625299885 5 44 "GO:0003746" "translation elongation factor activity" 0.648010260192112
406 0.462380222676667 3 18 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.739907174135559
-746 0.367744847003052 4 8 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.672041930977046
-1354 0.000762408845719658 2 34 "GO:0003777" "microtubule motor activity" 0.0144392957962063
-466 0.0927757468861322 4 72 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.33319461784912
-156 0.860275860548844 2 7 "GO:0003841;GO:0016411;GO:0042171;GO:0071617" "acylglycerol O-acyltransferase activity" 0.942294534230815
1771 0.0908147955052157 2 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.33319461784912
-553 0.562895596402379 2 6 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.805577035305766
670 0.522523456960613 2 5 "GO:0003872" "6-phosphofructokinase activity" 0.78261360818316
-433 0.679216597003593 2 5 "GO:0003873" "6-phosphofructo-2-kinase activity" 0.860860986318668
-498 0.00873966086663661 4 155 "GO:0003924;GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.0834013351273322
-1070 0.196252008022348 5 8 "GO:0003925" "G protein activity" 0.48897328443301
-350 0.737933349196907 2 5 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.872548799582845
-1684 0.0418970464061343 5 8 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.225703443542723
462 0.402669612925736 2 18 "GO:0003951" "NAD+ kinase activity" 0.707850793248399
-1966 0.0263339984676702 4 7 "GO:0003952" "NAD+ synthase (glutamine-hydrolyzing) activity" 0.191207728004388
1294 0.216525978307259 3 5 "GO:0003958" "NADPH-hemoprotein reductase activity" 0.527880852223537
-1604 0.0526460239193789 4 8 "GO:0003980" "UDP-glucose:glycoprotein glucosyltransferase activity" 0.244219055403785
-327 0.754576808328725 6 5 "GO:0003985;GO:0016453" "C-acetyltransferase activity" 0.881219069866413
-115 0.882576197076971 3 9 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.946767856578127
-465 0.442458480646618 3 15 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.736579483997113
-1393 0.115592913324979 5 7 "GO:0003997" "acyl-CoA oxidase activity" 0.389980131823666
-726 0.447658060724264 2 6 "GO:0004016" "adenylate cyclase activity" 0.736579483997113
-875 0.237592402536614 4 10 "GO:0004017;GO:0050145" "nucleoside monophosphate kinase activity" 0.562807535086731
-110 0.908380922882447 5 6 "GO:0004018" "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" 0.94819170035177
411 0.619603716114873 5 8 "GO:0004022;GO:0018455" "alcohol dehydrogenase (NAD+) activity" 0.842341946832878
1086 0.0161162773054168 3 27 "GO:0004029;GO:0004030;GO:0016620" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" 0.131288698049005
358 0.707729234578943 4 6 "GO:0004035" "alkaline phosphatase activity" 0.860860986318668
3032 0.000250408402687894 2 8 "GO:0004046" "aminoacylase activity" 0.00760330968161424
1952 0.0411806903592075 2 6 "GO:0004068" "aspartate 1-decarboxylase activity" 0.225481157048776
