"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.354561455824543 4 24 "GO:0000030" "mannosyltransferase activity" 1
0 0.0633430573120881 5 24 "GO:0000049" "tRNA binding" 0.956451612903226
0 0.761006318871319 2 32 "GO:0000146" "microfilament motor activity" 1
0 0.168122559527802 2 12 "GO:0000149" "SNARE binding" 1
0 0.310226882504461 2 170 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 1
0 0.0338709283563759 2 246 "GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.790476190476191
0 0.219525392642427 2 195 "GO:0000978;GO:0000977;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.0018784170059077 2 9 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.0113964652451385 2 7 "GO:0001540" "amyloid-beta binding" 0.531818181818182
0 0.201730423688829 5 7 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 0.155047234331099 2 25 "GO:0001653" "peptide receptor activity" 1
0 0.0982475541950761 3 22 "GO:0001664" "G protein-coupled receptor binding" 0.97906976744186
0 0.016148305711736 4 714 "GO:0003677" "DNA binding" 0.567857142857143
0 0.0273958647709015 2 12 "GO:0003682" "chromatin binding" 0.6775
0 0.00945047924732475 2 14 "GO:0003693" "P-element binding" 0.64375
0 0.102340898999732 2 41 "GO:0003700;GO:0000981" "DNA-binding transcription factor activity" 0.953333333333333
0 0.304144182800932 2 26 "GO:0003712" "transcription coregulator activity" 1
0 0.0954309596369729 2 11 "GO:0003713" "transcription coactivator activity" 0.973809523809524
0 0.121293608634198 2 176 "GO:0003723" "RNA binding" 1
0 0.411838608852301 5 11 "GO:0003743" "translation initiation factor activity" 1
0 0.645662029605342 2 33 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 1
0 0.0849072782660504 5 68 "GO:0003924;GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 1
0 0.261986278924852 2 5 "GO:0003951" "NAD+ kinase activity" 1
0 0.0566869975734066 2 94 "GO:0004175" "endopeptidase activity" 0.927586206896552
0 0.0098770200686709 2 13 "GO:0004197" "cysteine-type endopeptidase activity" 0.583333333333333
0 0.257036586843084 2 33 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.189380965815498 3 41 "GO:0004518" "nuclease activity" 1
0 0.0185641955071571 2 7 "GO:0004519" "endonuclease activity" 0.62
0 0.196786394768327 2 96 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.0340576150795953 6 67 "GO:0004567;GO:0015923" "mannosidase activity" 0.761363636363636
0 0.0754025516192677 3 25 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 1
0 0.428215624094531 5 13 "GO:0004620" "phospholipase activity" 1
0 0.404372127900493 2 124 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 0.00810572249859619 3 55 "GO:0004674" "protein serine/threonine kinase activity" 0.758333333333333
0 0.0428052155487213 3 21 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.848
0 0.152281526570322 3 11 "GO:0004843;GO:0008242;GO:0101005;GO:0019783" "ubiquitin-like protein-specific protease activity" 1
0 0.0368407148519648 3 28 "GO:0004857" "enzyme inhibitor activity" 0.75
0 0.0872349817465812 6 14 "GO:0004867;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "endopeptidase inhibitor activity" 0.975641025641026
0 0.252656821386547 2 147 "GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 1
0 0.208941230997288 2 65 "GO:0004930" "G protein-coupled receptor activity" 1
0 0.438417073400542 3 48 "GO:0004970;GO:0008066;GO:0022824;GO:0005230;GO:0022835;GO:0015276;GO:0022834;GO:0030594" "ligand-gated ion channel activity" 1
0 0.00569426645085383 3 43 "GO:0005096;GO:0008047" "enzyme activator activity" 0.7625
0 0.0483681601292722 2 66 "GO:0005102" "signaling receptor binding" 0.896153846153846
0 0.621810140406213 1 98 "GO:0005198" "structural molecule activity" 1
0 0.241119147674006 2 7 "GO:0005200" "structural constituent of cytoskeleton" 1
0 0.623962609761727 2 97 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 1
0 0.0891445328154502 2 8 "GO:0005229;GO:0022839;GO:0061778" "ion gated channel activity" 0.97375
0 0.0622523052209233 4 14 "GO:0005254;GO:0005253;GO:0015103" "inorganic anion transmembrane transporter activity" 0.975
0 0.474738429076748 2 48 "GO:0005261" "cation channel activity" 1
