"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0137688558605973 2 75 "GO:0000146" "microfilament motor activity" 0.634375
0 0.00677988661107366 2 401 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 0.51
0 0.233452491006719 2 123 "GO:0000287" "magnesium ion binding" 1
0 0.0506726286037659 2 11 "GO:0001786" "phosphatidylserine binding" 0.8828125
0 0.983676756242143 2 2078 "GO:0003677" "DNA binding" 1
0 0.00420273937953844 2 386 "GO:0003723" "RNA binding" 0.36875
0 0.201034772258355 2 26 "GO:0003777" "microtubule motor activity" 1
0 0.659009511734774 7 142 "GO:0003924;GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 1
0 0.0478784546822813 2 6 "GO:0003925" "G protein activity" 0.882258064516129
0 0.106659459843756 4 14 "GO:0003995;GO:0052890" "oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor" 1
0 9.72270435238516e-09 2 8 "GO:0004100;GO:0008375" "acetylglucosaminyltransferase activity" 0
0 0.715714546819392 2 166 "GO:0004175" "endopeptidase activity" 1
0 0.0259452874662176 2 36 "GO:0004180" "carboxypeptidase activity" 0.817391304347826
0 0.354917541229646 2 54 "GO:0004222" "metalloendopeptidase activity" 1
0 0.0342436749319137 5 7 "GO:0004335" "galactokinase activity" 0.793103448275862
0 0.00413348326306126 4 23 "GO:0004364" "glutathione transferase activity" 0.4
0 0.0197058812292493 2 145 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.773684210526316
0 0.195862758077209 2 29 "GO:0004620" "phospholipase activity" 1
0 0.0301119051681249 3 4 "GO:0004630" "phospholipase D activity" 0.813461538461538
0 0.216832493718356 2 184 "GO:0004672" "protein kinase activity" 1
0 0.225079289761056 4 107 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.0423266639867535 3 36 "GO:0004857" "enzyme inhibitor activity" 0.87
0 0.0263222524444607 3 21 "GO:0004867;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase regulator activity" 0.79375
0 0.145375005084262 3 64 "GO:0005085" "guanyl-nucleotide exchange factor activity" 1
0 0.517987894297068 3 88 "GO:0005102" "signaling receptor binding" 1
0 0.0251511042285001 2 3 "GO:0005113" "patched binding" 0.840909090909091
0 0.0888460718633809 2 164 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 1
0 0.0206447729047476 6 22 "GO:0005243;GO:0022829" "gap junction channel activity" 0.775
0 0.00744904867932142 2 13 "GO:0005319" "lipid transporter activity" 0.531818181818182
0 0.543848707092354 2 158 "GO:0005509" "calcium ion binding" 1
0 0.681446204231909 2 289 "GO:0005515" "protein binding" 1
0 0.125969885422354 2 23 "GO:0005516" "calmodulin binding" 1
0 0.00945300585804682 3 19 "GO:0005542;GO:0019842;GO:0031406;GO:0043177" "carboxylic acid binding" 0.55
0 0.112243080110681 2 26 "GO:0005543" "phospholipid binding" 1
0 0.114279878491744 2 16 "GO:0008081" "phosphoric diester hydrolase activity" 1
0 7.61697442885846e-07 2 21 "GO:0008194" "UDP-glycosyltransferase activity" 0
0 0.334373442959059 3 247 "GO:0008233" "peptidase activity" 1
0 0.461210781482989 2 77 "GO:0008237" "metallopeptidase activity" 1
0 0.0339885323191943 4 50 "GO:0008238" "exopeptidase activity" 0.816071428571429
0 0.0160835156136079 2 64 "GO:0008289" "lipid binding" 0.685294117647059
0 0.763538598338011 3 225 "GO:0015318;GO:0015075" "ion transmembrane transporter activity" 1
0 0.0310768796378569 5 92 "GO:0015923;GO:0004567" "mannosidase activity" 0.801851851851852
0 0.0164825993606944 5 7 "GO:0015926" "glucosidase activity" 0.666666666666667
0 0.25787558246951 2 40 "GO:0016298" "lipase activity" 1
0 0.20452841116655 2 268 "GO:0016301;GO:0016773" "kinase activity" 1
0 0.801852219340937 2 244 "GO:0016491" "oxidoreductase activity" 1
0 0.231700476024839 3 33 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 1
0 0.000358738538497207 4 106 "GO:0016758;GO:0016757" "glycosyltransferase activity" 0.05
0 0.011049680987849 3 39 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.57
0 0.186073309775263 2 800 "GO:0016787" "hydrolase activity" 1
0 0.732525537602692 3 217 "GO:0016788" "hydrolase activity, acting on ester bonds" 1
0 0.52513017422052 5 106 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 1
0 0.477991820947262 2 79 "GO:0016829" "lyase activity" 1
0 0.234753329620173 2 32 "GO:0016831;GO:0016830" "carbon-carbon lyase activity" 1
0 0.0243464976189916 2 80 "GO:0016874" "ligase activity" 0.85
0 0.00671634075564862 2 17 "GO:0016877;GO:0003987;GO:0016405;GO:0016878" "ligase activity, forming carbon-sulfur bonds" 0.561111111111111
0 0.00337309550122229 3 3 "GO:0018786;GO:0019120;GO:0016824" "hydrolase activity, acting on acid halide bonds" 0.35
0 0.0796087758646516 2 17 "GO:0019200" "carbohydrate kinase activity" 1
0 0.0816117443810191 2 285 "GO:0022857;GO:0005215" "transporter activity" 1
0 0.660193878937197 4 154 "GO:0022890;GO:0008324;GO:0046873" "cation transmembrane transporter activity" 1
0 0.115620280073236 2 195 "GO:0030234;GO:0098772" "molecular function regulator activity" 1
0 0.231888079615278 2 133 "GO:0030695;GO:0060589" "GTPase regulator activity" 1
0 0.00297583462363831 1 4 "GO:0038024;GO:0005044" "cargo receptor activity" 0.37
0 0.00821870100103032 2 710 "GO:0043167" "ion binding" 0.525
0 0.000417746673260679 3 367 "GO:0043168;GO:0032553;GO:0097367;GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076" "carbohydrate derivative binding" 0.0375
0 0.554703775714515 4 382 "GO:0046872;GO:0043169" "metal ion binding" 1
0 0.0683069722437437 3 9 "GO:0046915" "transition metal ion transmembrane transporter activity" 1
0 0.119847937412557 2 28 "GO:0072341" "modified amino acid binding" 1
0 0.00954400824205654 2 4 "GO:0090599;GO:0032450;GO:0004558" "alpha-glucosidase activity" 0.517857142857143
0 0.316996218126123 2 610 "GO:0140096" "catalytic activity, acting on a protein" 1
0 0.0263712907214894 1 136 "GO:0140657;GO:0003774" "ATP-dependent activity" 0.764
0 1 2 3 "GO:0000009" "alpha-1,6-mannosyltransferase activity" 1
0 1 2 4 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 1
0 1 2 47 "GO:0000030" "mannosyltransferase activity" 1
0 1 2 79 "GO:0000049" "tRNA binding" 1
0 1 6 29 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "acyl-CoA binding" 1
0 1 3 35 "GO:0000149" "SNARE binding" 1
0 1 4 24 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796;GO:0004540" "ribonuclease activity" 1
0 1 4 5 "GO:0000182" "rDNA binding" 1
0 1 2 18 "GO:0000217" "DNA secondary structure binding" 1
0 1 2 5 "GO:0000268" "peroxisome targeting sequence binding" 1
0 1 2 13 "GO:0000339" "RNA cap binding" 1
0 1 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 1 2 5 "GO:0000403" "Y-form DNA binding" 1
0 1 5 4 "GO:0000703;GO:0000702" "oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity" 1
0 1 2 4 "GO:0000822;GO:0043178" "inositol hexakisphosphate binding" 1
0 1 4 6 "GO:0000900;GO:0030371" "mRNA regulatory element binding translation repressor activity" 1
0 1 7 595 "GO:0000978;GO:0000977;GO:0000987;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "double-stranded DNA binding" 1
0 1 2 67 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 1
0 1 2 5 "GO:0000993" "RNA polymerase II complex binding" 1
0 1 2 3 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 1
0 1 2 11 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 2 6 "GO:0001096;GO:0001091;GO:0140296" "RNA polymerase II general transcription initiation factor binding" 1
0 1 2 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 2 9 "GO:0001221" "transcription coregulator binding" 1
0 1 2 3 "GO:0001222" "transcription corepressor binding" 1
0 1 3 4 "GO:0001223" "transcription coactivator binding" 1
0 1 2 4 "GO:0001530" "lipopolysaccharide binding" 1
0 1 2 14 "GO:0001540" "amyloid-beta binding" 1
0 1 2 3 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 2 8 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 4 12 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 1
0 1 2 12 "GO:0001653" "peptide receptor activity" 1
0 1 4 28 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 3 11 "GO:0001671;GO:0140677" "ATPase activator activity" 1
0 1 2 5 "GO:0001784;GO:0045309;GO:0051219" "phosphotyrosine residue binding" 1
0 1 4 3 "GO:0001872;GO:0030247;GO:0030246" "(1->3)-beta-D-glucan binding" 1
0 1 2 13 "GO:0002020" "protease binding" 1
0 1 2 14 "GO:0002039" "p53 binding" 1
0 1 3 5 "GO:0002058;GO:0002061;GO:0002054" "pyrimidine nucleobase binding" 1
0 1 3 7 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 1 6 11 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 1 2 30 "GO:0003682" "chromatin binding" 1
0 1 5 5 "GO:0003684" "damaged DNA binding" 1
0 1 4 10 "GO:0003693" "P-element binding" 1
0 1 2 7 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 37 "GO:0003712" "transcription coregulator activity" 1
0 1 3 7 "GO:0003713" "transcription coactivator activity" 1
0 1 3 11 "GO:0003714" "transcription corepressor activity" 1
0 1 3 3 "GO:0003724;GO:0008186" "RNA helicase activity" 1
0 1 5 3 "GO:0003725" "double-stranded RNA binding" 1
0 1 2 4 "GO:0003727" "single-stranded RNA binding" 1
0 1 3 25 "GO:0003729" "mRNA binding" 1
0 1 6 7 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 64 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 18 "GO:0003743" "translation initiation factor activity" 1
0 1 2 42 "GO:0003746" "translation elongation factor activity" 1
0 1 3 17 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 1 3 5 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 1 2 67 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 1
0 1 2 10 "GO:0003810;GO:0016755" "aminoacyltransferase activity" 1
0 1 7 4 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 1
0 1 2 3 "GO:0003842" "1-pyrroline-5-carboxylate dehydrogenase activity" 1
0 1 2 3 "GO:0003844" "1,4-alpha-glucan branching enzyme activity" 1
0 1 3 3 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 2 3 "GO:0003863" "3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity" 1
0 1 2 4 "GO:0003865;GO:0033765;GO:0016229" "steroid dehydrogenase activity" 1
0 1 2 4 "GO:0003872" "6-phosphofructokinase activity" 1
0 1 6 5 "GO:0003873" "6-phosphofructo-2-kinase activity" 1
0 1 2 3 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 2 3 "GO:0003921" "GMP synthase activity" 1
0 1 6 4 "GO:0003934;GO:0003933;GO:0019238" "cyclohydrolase activity" 1
0 1 3 4 "GO:0003939" "L-iditol 2-dehydrogenase activity" 1
0 1 2 3 "GO:0003948" "N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity" 1
0 1 5 8 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 2 15 "GO:0003951" "NAD+ kinase activity" 1
0 1 2 3 "GO:0003952" "NAD+ synthase (glutamine-hydrolyzing) activity" 1
0 1 5 3 "GO:0003958" "NADPH-hemoprotein reductase activity" 1
0 1 6 6 "GO:0003980" "UDP-glucose:glycoprotein glucosyltransferase activity" 1
0 1 7 6 "GO:0003983;GO:0051748;GO:0070569" "uridylyltransferase activity" 1
0 1 7 5 "GO:0003985;GO:0016453" "acetyl-CoA C-acetyltransferase activity" 1
0 1 6 9 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 1
0 1 4 4 "GO:0003989" "acetyl-CoA carboxylase activity" 1
0 1 2 3 "GO:0003993" "acid phosphatase activity" 1
0 1 2 3 "GO:0003994" "aconitate hydratase activity" 1
0 1 2 5 "GO:0003997" "acyl-CoA oxidase activity" 1
0 1 5 3 "GO:0004001" "adenosine kinase activity" 1
0 1 2 5 "GO:0004016" "adenylate cyclase activity" 1
0 1 2 5 "GO:0004017" "adenylate kinase activity" 1
0 1 2 3 "GO:0004018" "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" 1
0 1 3 8 "GO:0004022;GO:0018455" "alcohol dehydrogenase [NAD(P)+] activity" 1
0 1 3 18 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 1
0 1 2 3 "GO:0004033" "aldo-keto reductase (NADP) activity" 1
0 1 2 6 "GO:0004035" "alkaline phosphatase activity" 1
0 1 3 3 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 1
0 1 5 8 "GO:0004046" "aminoacylase activity" 1
0 1 2 3 "GO:0004062" "aryl sulfotransferase activity" 1
0 1 5 5 "GO:0004068" "aspartate 1-decarboxylase activity" 1
0 1 2 7 "GO:0004069" "L-aspartate:2-oxoglutarate aminotransferase activity" 1
0 1 7 3 "GO:0004081;GO:0008796" "bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity" 1
0 1 2 3 "GO:0004084" "branched-chain-amino-acid transaminase activity" 1
0 1 2 4 "GO:0004089" "carbonate dehydratase activity" 1
0 1 3 5 "GO:0004096" "catalase activity" 1
0 1 5 6 "GO:0004108;GO:0036440" "citrate synthase activity" 1
0 1 3 8 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 2 3 "GO:0004127" "cytidylate kinase activity" 1
0 1 2 3 "GO:0004128" "cytochrome-b5 reductase activity, acting on NAD(P)H" 1
0 1 2 6 "GO:0004134" "4-alpha-glucanotransferase activity" 1
0 1 2 3 "GO:0004139" "deoxyribose-phosphate aldolase activity" 1
0 1 5 4 "GO:0004149;GO:0016751" "dihydrolipoyllysine-residue succinyltransferase activity" 1
0 1 2 3 "GO:0004161" "dimethylallyltranstransferase activity" 1
0 1 4 5 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 1
0 1 2 13 "GO:0004176" "ATP-dependent peptidase activity" 1
0 1 2 13 "GO:0004177" "aminopeptidase activity" 1
0 1 2 23 "GO:0004181;GO:0008235" "metallocarboxypeptidase activity" 1
