"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.147438683760359 2 4 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.949065420560748
0 0.593687925803893 2 47 "GO:0000030" "mannosyltransferase activity" 1
0 0.738665260210207 4 79 "GO:0000049" "tRNA binding" 1
0 0.00748578634727658 3 29 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty acid derivative binding" 0.161764705882353
0 0.000761086538073184 2 401 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 0.0242857142857143
0 0.498983236928085 5 18 "GO:0000217" "DNA secondary structure binding" 1
0 9.13291816062768e-09 5 123 "GO:0000287" "magnesium ion binding" 0
0 0.95735718353887 2 595 "GO:0000978;GO:0000977;GO:0000987;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "double-stranded DNA binding" 1
0 0.787011768099935 3 67 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 1
0 0.0718775462255536 2 3 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 0.724137931034483
0 0.0830508419634293 3 11 "GO:0001671;GO:0140677" "ATPase activator activity" 0.779213483146067
0 0.0616183823728782 2 13 "GO:0002020" "protease binding" 0.692073170731707
0 0.982849333318931 3 2078 "GO:0003677" "DNA binding" 1
0 0.137168251631385 2 30 "GO:0003682" "chromatin binding" 0.952450980392157
0 0.97191409783485 3 386 "GO:0003723" "RNA binding" 1
0 0.5435324864309 2 25 "GO:0003729" "mRNA binding" 1
0 0.717201783398114 2 64 "GO:0003735" "structural constituent of ribosome" 1
0 0.00930463346802508 3 42 "GO:0003746" "translation elongation factor activity" 0.188679245283019
0 0.559555041289631 2 26 "GO:0003777" "microtubule motor activity" 1
0 0.866283535895413 2 67 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 1
0 0.00256081902016471 3 3 "GO:0003842" "1-pyrroline-5-carboxylate dehydrogenase activity" 0.0522222222222222
0 0.0682810400049893 5 3 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.726190476190476
0 0.00531029066275999 3 3 "GO:0003863" "3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity" 0.107291666666667
0 0.163313726841379 4 142 "GO:0003924;GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.928205128205128
0 0.145519912843127 5 4 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.95
0 0.150014762663218 5 6 "GO:0003983;GO:0051748;GO:0070569" "uridylyltransferase activity" 0.940366972477064
0 0.00669665782951544 7 5 "GO:0003985;GO:0016453" "acetyl-CoA C-acetyltransferase activity" 0.14
0 0.0214485864665151 2 9 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.375409836065574
0 0.000453901730186756 5 14 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.0125
0 0.133148069082628 5 5 "GO:0003997" "acyl-CoA oxidase activity" 0.945049504950495
0 0.100260887489783 3 5 "GO:0004017" "adenylate kinase activity" 0.835106382978723
0 0.114399876447566 2 3 "GO:0004018" "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" 0.876530612244898
0 0.0131932430925888 5 18 "GO:0004029;GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 0.271818181818182
0 0.000107218216242574 3 3 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.004
0 1.80674904061551e-06 2 7 "GO:0004069" "L-aspartate:2-oxoglutarate aminotransferase activity" 0
0 9.96399365871767e-07 3 6 "GO:0004108;GO:0036440" "citrate synthase activity" 0
0 0.00151064781702001 3 6 "GO:0004134" "4-alpha-glucanotransferase activity" 0.0394736842105263
0 0.10998452442539 2 3 "GO:0004139" "deoxyribose-phosphate aldolase activity" 0.867708333333333
0 0.000124476453953068 6 4 "GO:0004149;GO:0016751" "S-succinyltransferase activity" 0.0037037037037037
0 0.0551839563639545 2 166 "GO:0004175" "endopeptidase activity" 0.641975308641975
0 0.315249546519451 3 13 "GO:0004176" "ATP-dependent peptidase activity" 1
0 0.103660473404106 2 13 "GO:0004177" "aminopeptidase activity" 0.84578947368421
0 0.229792256325149 2 36 "GO:0004180" "carboxypeptidase activity" 1
0 0.600330229840993 2 23 "GO:0004181;GO:0008235" "metallocarboxypeptidase activity" 1
0 0.667866715421309 2 39 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.358159470973095 6 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.00184737048136723 5 54 "GO:0004222" "metalloendopeptidase activity" 0.0404761904761905
0 0.668619847045276 3 46 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 0.253454806373324 2 10 "GO:0004300" "enoyl-CoA hydratase activity" 1
0 0.173326203035331 3 5 "GO:0004312" "fatty acid synthase activity" 0.955084745762712
0 0.154321803254538 3 4 "GO:0004345" "glucose-6-phosphate dehydrogenase activity" 0.93125
0 1.60642550601074e-13 4 8 "GO:0004352;GO:0004353;GO:0016639" "oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" 0
0 0.000156823634959065 3 23 "GO:0004364" "glutathione transferase activity" 0.00357142857142857
0 0.0986926350611086 5 3 "GO:0004367;GO:0047952" "glycerol-3-phosphate dehydrogenase [NAD(P)+] activity" 0.841397849462366
0 0.00220326505356947 4 4 "GO:0004470;GO:0016615" "malate dehydrogenase activity" 0.0454545454545455
0 0.0281540729936488 3 29 "GO:0004497" "monooxygenase activity" 0.446212121212121
0 0.840087168676802 2 50 "GO:0004518" "nuclease activity" 1
0 0.416766575101529 3 13 "GO:0004519" "endonuclease activity" 1
0 0.313439759864302 3 9 "GO:0004520;GO:0004536;GO:0000014" "endodeoxyribonuclease activity" 1
0 0.882558296295649 2 145 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.139106575447139 2 15 "GO:0004559" "alpha-mannosidase activity" 0.940384615384615
0 0.201575299915661 3 6 "GO:0004591" "oxoglutarate dehydrogenase (succinyl-transferring) activity" 0.977777777777778
0 0.138865471026428 2 8 "GO:0004596;GO:0034212;GO:0008080" "N-acetyltransferase activity" 0.948543689320388
0 0.140926069372419 2 19 "GO:0004601;GO:0016684" "peroxidase activity" 0.93952380952381
0 0.571402703879691 3 29 "GO:0004620" "phospholipase activity" 1
0 0.158166221483978 2 5 "GO:0004623" "phospholipase A2 activity" 0.939380530973451
0 0.00467070988806119 3 3 "GO:0004638" "phosphoribosylaminoimidazole carboxylase activity" 0.0956521739130435
0 0.955437830300806 3 184 "GO:0004672" "protein kinase activity" 1
0 0.913545238969456 2 107 "GO:0004674" "protein serine/threonine kinase activity" 1
0 8.47848559392151e-06 3 7 "GO:0004739;GO:0004738" "pyruvate dehydrogenase (acetyl-transferring) activity" 0
0 1.27093155575019e-07 3 8 "GO:0004784;GO:0016721" "superoxide dismutase activity" 0
0 0.000579473068667519 3 4 "GO:0004807" "triose-phosphate isomerase activity" 0.0196969696969697
0 0.484316230994009 2 19 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 1
0 0.149537961290921 3 36 "GO:0004857" "enzyme inhibitor activity" 0.946296296296296
0 0.00177824289515404 4 3 "GO:0004864;GO:0019212;GO:0019888;GO:0019208" "protein phosphatase regulator activity" 0.04125
0 0.438328781348893 3 157 "GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 1
0 0.398476562006682 4 87 "GO:0004930" "G protein-coupled receptor activity" 1
0 0.811993531994474 2 64 "GO:0005085" "guanyl-nucleotide exchange factor activity" 1
0 0.199399364691896 2 88 "GO:0005102" "signaling receptor binding" 0.994715447154471
0 0.023496310873273 4 3 "GO:0005113" "patched binding" 0.397619047619048
0 0.0310622355022875 2 10 "GO:0005178" "integrin binding" 0.461594202898551
0 0.000861854091130866 1 160 "GO:0005198" "structural molecule activity" 0.0263888888888889
0 0.267091047766407 2 27 "GO:0005200" "structural constituent of cytoskeleton" 1
0 0.000447810731550657 2 9 "GO:0005201" "extracellular matrix structural constituent" 0.0129032258064516
0 0.391543924737996 3 164 "GO:0005216;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 1
0 0.387256319508104 3 98 "GO:0005261" "cation channel activity" 1
0 0.402845536336868 4 13 "GO:0005283;GO:0005416" "amino acid:cation symporter activity" 1
0 0.0133285459065984 2 6 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 0.269642857142857
0 0.586146737367781 4 23 "GO:0005343;GO:0005342" "organic acid transmembrane transporter activity" 1
0 0.0234204590943014 5 6 "GO:0005347;GO:0000295;GO:0005346" "adenine nucleotide transmembrane transporter activity" 0.404032258064516
0 0.162712873543168 3 11 "GO:0005388;GO:0015662;GO:0019829;GO:0140358;GO:0042626;GO:0015399" "primary active transmembrane transporter activity" 0.934051724137931
0 0.00470816682291167 3 8 "GO:0005452;GO:0140323" "solute:anion antiporter activity" 0.0946808510638298
0 0.0363914085461884 3 60 "GO:0005506" "iron ion binding" 0.511267605633803
0 0.0866624895600544 3 6 "GO:0005507" "copper ion binding" 0.796666666666667
0 0.63157301328758 2 158 "GO:0005509" "calcium ion binding" 1
