id,sign
g5198,0
g9125,0
g3693,0
g9035,0
g8430,0
g6816,0
g9122,0
g5984,0
g6554,0
g1361,0
g4395,0
g2337,0
g8216,0
g1953,0
g2972,0
g9217,0
g5072,0
g6216,0
g5093,0
g5392,0
g2797,0
g2727,0
g8494,0
g2616,0
g2007,0
g7059,0
g1533,0
g9014,0
g2708,0
g3439,0
g4851,0
g3189,0
g9003,0
g4390,0
g1699,0
g3683,0
g126,0
g3126,0
g9037,0
g247,0
g1649,0
g775,0
g4545,0
g241,0
g6491,0
g9170,0
g2542,0
g9120,0
g3287,0
g7348,0
g8508,0
g4381,0
g7258,0
g4235,0
g9067,0
g6924,0
g6215,0
g1351,0
g3175,0
g3978,0
g6848,0
g3931,0
g8370,0
g8188,0
g9016,0
g9173,0
g1532,0
g6606,0
g3083,0
g9036,0
g4671,0
g7628,0
g4038,0
g6574,0
g747,0
g246,0
g9022,0
g2623,0
g7951,0
g4739,0
g8358,0
g299,0
g5894,0
g9027,0
g4546,0
g2636,0
g301,0
g1240,0
g4691,0
g4229,0
g9118,0
g128,0
g2614,0
g9179,0
g1239,0
g6214,0
g8568,0
g3973,0
g2361,0
g5998,0
g2005,0
g6709,0
g2635,0
g7662,0
g4384,0
g8733,0
g3793,0
g7875,0
g3784,0
g627,0
g2617,0
g6887,0
g7832,0
g5369,0
g3071,0
g728,0
g4385,0
g7955,0
g6339,0
g5091,0
g2821,0
g3072,0
g1498,0
g2006,0
g2244,0
g2203,0
g8115,0
g7343,0
g4389,0
g3230,0
g5856,0
g6633,0
g58,0
g763,0
g3478,0
g7956,0
g2841,0
g4066,0
g3730,0
g738,0
g6881,0
g3715,0
g4387,0
g5757,0
g4492,0
g5539,0
g9013,0
g5900,0
g724,0
g7724,0
g5892,0
g4105,0
g1162,0
g1479,0
g2980,0
g4554,0
g5534,0
g7686,0
g7483,0
g6569,0
g5291,0
g1963,0
g6693,0
g6861,0
g3280,0
g6852,0
g4968,0
g4100,0
g7949,0
g2739,0
g868,0
g4743,0
g4359,0
g122,0
g6684,0
g7329,0
g1960,0
g5390,0
g4167,0
g8399,0
g4339,0
g3290,0
g2237,0
g221,0
g7007,0
g8913,0
g999,0
g7266,0
g7366,0
g7557,0
g8084,0
g761,0
g5726,0
g3341,0
g8083,0
g8089,0
g3107,0
g1107,0
g3403,0
g8400,0
g7805,0
g2416,0
g3208,0
g3021,0
g1578,0
g2843,0
g229,0
g623,0
g5018,0
g1906,0
g963,0
g5928,0
g1245,0
g8821,0
g872,0
g5269,0
g6454,0
g7278,0
g8088,0
g4340,0
g5471,0
g4503,0
g6051,0
g4349,0
g2076,0
g5458,0
g7732,0
g8065,0
g2977,0
g8949,0
g3630,0
g7591,0
g5637,0
g485,0
g6710,0
g2830,0
g7803,0
g3385,0
g7293,0
g4865,0
g1666,0
g1380,0
g6035,0
g2684,0
g1714,0
g5338,0
g6050,0
g7654,0
g9174,0
g2267,0
g3210,0
g2333,0
g860,0
g4600,0
g5618,0
g3539,0
g762,0
g306,0
g8856,0
g2368,0
g633,0
g3885,0
g2046,0
g6514,0
g5265,0
g6609,0
g1476,0
g8090,0
g858,0
g6256,0
g5263,0
g2683,0
g2613,0
g2558,0
g3388,0
g4680,0
g1799,0
g8850,0
g6379,0
g8648,0
g2249,0
g1630,0
g3389,0
g7314,0
g6438,0
g871,0
g575,0
g8251,0
g8112,0
g8020,0
g5543,0
g16,0
g3550,0
g143,0
g3862,0
g155,0
g7767,0
g348,0
g4280,0
g142,0
g7883,0
g3481,0
g3934,0
g543,0
g2073,0
g2245,0
g66,0
g4734,0
g2463,0
g8063,0
g4990,0
g5368,0
g4009,0
g5217,0
g1800,0
g206,0
g7297,0
g1036,0
g7112,0
g3933,0
g8403,0
g6380,0
g8204,0
g8524,0
g1773,0
g4138,0
g5653,0
g8884,0
g2051,0
g1775,0
g4202,0
g8252,0
g6799,0
g7194,0
g864,0
g1148,0
g6069,0
g1272,0
g8151,0
g3949,0
g7407,0
g6546,0
g8690,0
g5160,0
g82,0
g5443,0
g1774,0
g9167,0
g3706,0
g9043,0
g7811,0
g3143,0
g2481,0
g8284,0
g1680,0
g6544,0
g8785,0
g7145,0
g6589,0
g263,0
g2550,0
g3424,0
g7289,0
g3219,0
g5008,0
g8209,0
g5341,0
g7272,0
g9010,0
g788,0
g7383,0
g3601,0
g5346,0
g8651,0
g3432,0
g4194,0
g2609,0
g1975,0
g5294,0
g106,0
g3025,0
g2304,0
g305,0
g4808,0
g7558,0
g5782,0
g3932,0
g7280,0
g6901,0
g6791,0
g1777,0
g6962,0
g2897,0
g6293,0
g4912,0
g27,0
g5007,0
g146,0
g6171,0
g1669,0
g7621,0
g3705,0
g1613,0
g555,0
g1755,0
g6560,0
g2322,0
g6190,0
g3256,0
g2138,0
g3983,0
g8230,0
g8883,0
g832,0
g8014,0
g6006,0
g8650,0
g1896,0
g3711,0
g261,0
g7485,0
g6425,0
g297,0
g643,0
g8940,0
g7056,0
g3734,0
g7950,0
g1352,0
g6408,0
g5197,0
g6987,0
g7897,0
g7898,0
g546,0
g8600,0
g906,0
g2349,0
g4341,0
g843,0
g8086,0
g1936,0
g2165,0
g590,0
g1805,0
g831,0
g2316,0
g422,0.715092763551007
g8833,0.629260658354449
g6796,0.946313130247587
g898,0.95301736858387
g1754,0.9528731990409
g1752,0.934106606073508
g3592,0.950437478024272
g7163,0.896824976200465
g5934,0.938754713699436
g4919,0.592849960927988
g7387,0.940247208344767
g1940,0.717485420358588
g9194,0.577773159642421
g8469,0.792862031092528
g6015,0.705961291683755
g5191,0.930519610703637
g4714,0.754911013009358
g767,0.730278376138363
g7524,0.884963743842807
g1768,0.513048178912935
g7386,0.850211442368001
g8338,0.302995932275351
g5926,0.627894356844222
g1120,0.33133871898637
g9192,0.440982913509122
g6680,0.469213298331465
g1731,0.785297319182665
g6138,0.713932881659312
g7037,0.834111765201177
g7595,0.725027517325816
g8040,0.851774482824952
g3881,0.744227235783298
g4753,0.709246309453464
g9196,0.374295632389967
g8107,0.697982365637299
g6329,0.733553549473829
g755,0.686464441190789
g9034,0.827707106550914
g2813,0.69797476611051
g458,0.506190034038104
g2769,0.470766983183174
g8629,0.754436378449273
g8103,0.418885237344744
g454,0.565600183949814
g7593,0.691935000595669
g4394,0.8758096498876
g6588,0.222146610300815
g7035,0.66960292398152
g4330,0.439798989084963
g8329,0.743952660641289
g1977,0.511676442139441
g460,0.41649658029477
g3524,0.43172445859627
g4175,0.729655180004581
g5256,0.414789726925607
g285,0.497370583188797
g8534,0.48142980779492
g8530,0.559468345772668
g2669,0.559564320398512
g6040,0.654026740230932
g6312,0.264842687436024
g977,0.553701629470385
g5364,0.626395002472378
g4911,0.376067446260718
g8573,0.342835802364594
g459,0.333988629745478
g6320,0.592924124672766
g5635,0.756992960786196
g1445,0.504038987979594
g5829,0.584986160909655
g1251,0.628661771436261
g4749,0.629690866921277
g3101,0.53130852931148
g1477,0.702192307582668
g2275,0.707956280398586
g6304,0.377805668641127
g3642,0.261089388131308
g5376,0.532484990641701
g9206,0.553293345366405
g4925,0.404247674276039
g2282,0.663466328831795
g152,0.566793347949953
g4407,0.537606931734149
g6735,0.745997433591153
g2276,0.443541891275573
g5878,0.496750140756849
g5756,0.266688129940251
g1743,0.693382998526576
g1790,0.646305050741115
g1612,0.380719576771962
g9093,0.355983265684073
g5247,0.559214226131073
