Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	0.00E+00		5.06E-02	"ALPL,ENTPD6,NUDT11,PTPA"
3-phosphoinositide Degradation	0.00E+00		5.63E-02	"ALPL,ENTPD6,NUDT11,PTPA"
AMPK Signaling	0.00E+00	0	1.11E-01	"CCNA2,CCND1,CHRNA7,CKM,EP300,MLST8,MRAS,ORAI2,PBRM1,PTPA"
ATM Signaling	0.00E+00	0	1.03E-01	"CCNB3,CDK1,PTPA,SMC2"
Actin Cytoskeleton Signaling	0.00E+00	2.333333333	1.28E-01	"ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,ITGA8,ITGB2,MRAS,PAK1,SOS1,VCL"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00		1.25E-01	PPIB
Acute Phase Response Signaling	0.00E+00	1	1.11E-01	"A2M,MRAS,SOD2,SOS1"
Adipogenesis pathway	0.00E+00		1.27E-01	"CCNH,EBF1,FGFR1,GTF2H4,HDAC2,HDAC7,SIN3B"
Adrenomedullin signaling pathway	0.00E+00	0	1.38E-01	"ADCY1,CALM1 (includes others),CTH,GUCY1B1,GUCY2C,Gucy2d,KCNN2,MRAS,NPR1,PLCZ1,SOS1"
Agranulocyte Adhesion and Diapedesis	0.00E+00		1.25E-01	"ACTC1,ACTG1,ITGB2"
Aldosterone Signaling in Epithelial Cells	0.00E+00		2.63E-02	"PLCZ1,SOS1"
Amyloid Processing	0.00E+00		4.17E-02	CSNK2B
Amyotrophic Lateral Sclerosis Signaling	0.00E+00	0.447213595	1.30E-01	"CACNA1A,CAT,GLUL,GPX1,GRID1,GRIK2,PAK1"
Angiopoietin Signaling	0.00E+00	1	1.29E-01	"ANGPT1,MRAS,PAK1,SOS1"
Antioxidant Action of Vitamin C	0.00E+00		8.82E-02	"PLAAT4,PLCZ1,PRDX6"
Apelin Cardiomyocyte Signaling Pathway	0.00E+00		7.69E-02	"CAT,PLCZ1,SLC8A2"
Apelin Endothelial Signaling Pathway	0.00E+00	2	9.80E-02	"ADCY1,ANGPT1,CALM1 (includes others),GUCY1B1,MRAS"
Apelin Muscle Signaling Pathway	0.00E+00		7.69E-02	MRAS
Apoptosis Signaling	0.00E+00		1.05E-01	"CDK1,CYC1,MRAS,PARP1"
Autophagy	0.00E+00	0	5.26E-02	"CALM1 (includes others),EIF2A,MLST8,PTPA"
