Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	0.00E+00	0	5.06E-02	"PPP4R1,PRUNE1,SACM1L,SSH3"
3-phosphoinositide Degradation	0.00E+00	0	5.63E-02	"PPP4R1,PRUNE1,SACM1L,SSH3"
AMPK Signaling	0.00E+00		4.44E-02	"CHRNA6,CHRNA7,CHRNB2,CKM"
ATM Signaling	0.00E+00		5.13E-02	"CHEK1,MAP2K4"
Actin Cytoskeleton Signaling	0.00E+00	0	4.65E-02	"ARHGAP35,ARHGEF4,CSK,SSH3"
Acute Myeloid Leukemia Signaling	0.00E+00		6.06E-02	"IDH3G,MAP2K4"
Acute Phase Response Signaling	0.00E+00		5.56E-02	"MAP2K4,SOD2"
Adipogenesis pathway	0.00E+00		5.45E-02	"FGFR1,HDAC6,SIN3B"
Agrin Interactions at Neuromuscular Junction	0.00E+00		3.57E-02	MAP2K4
Aldosterone Signaling in Epithelial Cells	0.00E+00		6.58E-02	"DNAJC8,HSPA1L,KCNMA1,PLCB3,PLCL2"
Amyloid Processing	0.00E+00		4.17E-02	CSNK2B
Androgen Signaling	0.00E+00		5.08E-02	"CACNA1A,CACNA1G,CACNA2D4"
Angiopoietin Signaling	0.00E+00		3.23E-02	ANGPT1
Apelin Cardiomyocyte Signaling Pathway	0.00E+00		7.69E-02	"CAT,PLCB3,PLCL2"
Apelin Endothelial Signaling Pathway	0.00E+00		7.84E-02	"ANGPT1,GUCY1B1,MAP2K4,PLCB3"
Apelin Pancreas Signaling Pathway	0.00E+00		5.00E-02	MAP2K4
Apoptosis Signaling	0.00E+00		2.63E-02	MAP2K4
Atherosclerosis Signaling	0.00E+00		7.14E-02	PRDX6
Autophagy	0.00E+00		3.95E-02	"CDKN1B,EIF2A,MAP2K4"
Axonal Guidance Signaling	0.00E+00		5.63E-02	"ADAM10,L1CAM,PLCB3,PLCL2,PMPCB,ROBO1,TUBA1B,TUBA3C/TUBA3D,TUBB4A"
B Cell Receptor Signaling	0.00E+00		4.55E-02	"CAMK2D,CSK,MAP2K4"
BAG2 Signaling Pathway	0.00E+00		6.67E-02	"CHRNA7,HSPA1L,PSMC2"
BER (Base Excision Repair) Pathway	0.00E+00		6.90E-02	"MAP2K4,RFC2"
BEX2 Signaling Pathway	0.00E+00		5.00E-02	MAP2K4
BMP signaling pathway	0.00E+00		3.23E-02	MAP2K4
Bladder Cancer Signaling	0.00E+00		3.57E-02	HDAC6
Breast Cancer Regulation by Stathmin1	0.00E+00	-0.333333333	6.04E-02	"ARHGEF4,CAMK2D,CDKN1B,GABBR1,GPR139,PLCB3,TUBA1B,TUBA3C/TUBA3D,TUBB4A"
CCR3 Signaling in Eosinophils	0.00E+00		2.33E-02	PLCB3
CD27 Signaling in Lymphocytes	0.00E+00		5.26E-02	MAP2K4
CD28 Signaling in T Helper Cells	0.00E+00		5.13E-02	"CSK,MAP2K4"
CD40 Signaling	0.00E+00		4.76E-02	MAP2K4
CDC42 Signaling	0.00E+00		2.22E-02	MAP2K4
CDK5 Signaling	0.00E+00		4.17E-02	"CACNA1A,GUCY1B1"
CREB Signaling in Neurons	0.00E+00	-2.713602101	7.27E-02	"CACNA1A,CACNA1G,CACNA2D4,CAMK2D,FGFR1,GABBR1,GPR139,GRID2,GRIK2,GUCY1B1,PLCB3,PLCL2"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		3.57E-02	AP2A1
CXCR4 Signaling	0.00E+00		5.08E-02	"GUCY1B1,MAP2K4,PLCB3"
Cancer Drug Resistance By Drug Efflux	0.00E+00		4.55E-02	ABCB1
Cardiac Hypertrophy Signaling	0.00E+00	-2	6.38E-02	"CACNA1A,CACNA2D4,GUCY1B1,MAP2K4,PLCB3,PLCL2"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00	-2.121320344	6.21E-02	"CACNA1A,CACNA2D4,CAMK2D,FGFR1,GUCY1B1,HDAC6,MAP2K4,PDE4D,PLCB3,PLCL2"
Cardiac β-adrenergic Signaling	0.00E+00		7.35E-02	"CACNA1A,CACNA2D4,GRK3,GUCY1B1,PDE4D"
