© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.cyan
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.cyan
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446109

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.cyan
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	0.8528028654224417	2.96E-01	ALPL,ENPP1,FIG4,INPP5F,OCRL,PGAM5,PI4KA,PIP4K2A,PIP5K1C,PPP1CC,PPP1R7,PPP2R2A,PPP2R3A,PPP3CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTEN,PTPN13,SACM1L,SET,SSH3,WBP11	
3-phosphoinositide Degradation	-0E00	1.1470786693528088	2.88E-01	ALPL,ENPP1,FIG4,INPP5F,OCRL,PGAM5,PPP1CC,PPP1R7,PPP2R2A,PPP2R3A,PPP3CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTEN,PTPN13,SACM1L,SET,SSH3,WBP11	
4-1BB Signaling in T Lymphocytes	-0E00		1.11E-01	MAP2K1	
4-aminobutyrate Degradation I	-0E00		3.33E-01	SUCLG2	
5-aminoimidazole Ribonucleotide Biosynthesis I	-0E00		3.33E-01	PPAT	
AMPK Signaling	-0E00	-0.7745966692414834	3.22E-01	AK1,CCNA2,CHRNA7,CHRNA9,CHRNB2,CKM,CPT1A,EEF2,FOXO6,GNA11,MLST8,MRAS,ORAI2,PBRM1,PPAT,PPM1E,PPM1G,PPP2R2A,PPP2R3A,PRKAB2,PRKAR1A,PRKAR2A,PRKAR2B,SIRT1,SMARCA4,SMARCB1,SMARCD1,SMARCE1,TSC2	
ATM Signaling	-0E00	0.2773500981126146	3.59E-01	CBX1,CCNB2,CCNB3,CDK1,CHEK1,FANCD2,HERC2,PPP1CC,PPP2R2A,PPP2R3A,SMC1A,SMC2,TOPBP1,USP7	
Acetone Degradation I (to Methylglyoxal)	-0E00		8.33E-02	PTGR1	
Actin Cytoskeleton Signaling	-0E00	2.2	3.60E-01	ACTC1,ACTG1,ARHGAP35,ARPC1B,ARPC3,ARPC4,BAIAP2,DIAPH1,FLNA,ITGA8,ITGAV,MAP2K1,MPRIP,MRAS,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,PAK1,PIP5K1C,RAP1A,RASD2,SOS1,SSH3,TLN1,TRIO	
Actin Nucleation by ARP-WASP Complex	-0E00	0.7071067811865475	3.53E-01	ARPC1B,ARPC3,ARPC4,BAIAP2,Cdc42,ITGA8,ITGAV,MRAS,RAP1A,RASD2,RHOC,SOS1	
