© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.pink
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.pink
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446107

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.pink
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
1,25-dihydroxyvitamin D3 Biosynthesis	-0E00		5.00E-01	CYP2R1	
14-3-3-mediated Signaling	-0E00	-1.8073922282301278	5.20E-01	CDKN1B,EDC3,GSK3B,MAP2K1,MAP2K4,MRAS,PDCD6IP,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKCE,RALA,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2A,TUBB2B,TUBB4A,YWHAB	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00		2.00E-01	INPP5F	
3-phosphoinositide Biosynthesis	-0E00	-2.6666666666666665	4.81E-01	ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PI4K2A,PI4KB,PIK3C2B,PIK3R3,PIKFYVE,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2	
3-phosphoinositide Degradation	-0E00	-2.4009801919951235	5.07E-01	ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP4A,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PIKFYVE,PIP4P1,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2	
4-1BB Signaling in T Lymphocytes	-0E00		3.33E-01	MAP2K1,MAP2K4,NFKB1	
AMPK Signaling	-0E00	-2.3533936216582085	5.22E-01	ACACA,ADRA2C,AK1,CCNA2,CHRNA10,CHRNA4,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CKM,CPT2,CREB3L3,EP300,FASN,FOXO6,GNA11,GNA12,GNAO1,GNAS,GNB5,GYS2,HMGCR,MLST8,MRAS,ORAI2,PBRM1,PFKFB4,PFKP,PIK3C2B,PIK3R3,PPM1E,PPM1G,PPP2R1A,PRKAG1,PTPA,RAB11A,RAB6A,RAB7A,RPTOR,SIRT1,SLC2A1,SMARCA4,SMARCC1,SMARCD1,STIM1,TSC2	
ATM Signaling	-0E00	0.6882472016116852	5.64E-01	ATR,CBX1,CCNB2,CCNB3,CDK1,CHEK1,CREB3L3,HERC2,KAT5,MAP2K4,MRE11,NBN,PPP1CC,PPP2R1A,PTPA,RAD50,RAD51,SMC1A,SMC2,SMC3,TLK2,TOPBP1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	0.0	5.00E-01	MAP2K4,NFKB1,PPIB,TBK1	
Acute Myeloid Leukemia Signaling	-0E00	-3.05085107923876	5.15E-01	BRAF,IDH1,IDH3B,IDH3G,MAP2K1,MAP2K4,MAP2K7,MRAS,NFKB1,PIK3C2B,PIK3R3,RALA,RASD2,RPS6KB2,STAT5A,STAT5B,TCF7L1	
