Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
"1,25-dihydroxyvitamin D3 Biosynthesis"	0.00E+00		5.00E-01	POR
14-3-3-mediated Signaling	0.00E+00	1.386750491	4.60E-01	"CDKN1B,EDC3,MAP2K4,MAPK10,PDCD6IP,PIK3R3,PLCB1,PLCD3,PRKCE,PRKCQ,RALA,STK11,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,YAP1,YWHAE"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.00E+00		4.00E-01	"ITPKB,OCRL"
3-phosphoinositide Biosynthesis	0.00E+00	2.116950987	3.95E-01	"ALPL,DUSP10,DUSP12,DUSP8,ENTPD6,MDP1,NOCT,OCRL,PGAM5,PI4K2A,PIK3R3,PIKFYVE,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP1R3D,PPP2R5E,PPP4R1,PRUNE1,PSPH,PTPA,PTPN1,PTPN13,PTPN23,PTPN6,PTPRF,PTPRJ,RNGTT,SACM1L,SSH3,UBLCP1"
3-phosphoinositide Degradation	0.00E+00	1.8	4.11E-01	"ALPL,DUSP10,DUSP12,DUSP8,ENTPD6,MDP1,NOCT,OCRL,PGAM5,PIKFYVE,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP1R3D,PPP2R5E,PPP4R1,PRUNE1,PSPH,PTPA,PTPN1,PTPN13,PTPN23,PTPN6,PTPRF,PTPRJ,RNGTT,SACM1L,SSH3,UBLCP1"
4-1BB Signaling in T Lymphocytes	0.00E+00	0	4.44E-01	"MAP2K4,MAPK10,MAPK14,NFKB1"
AMPK Signaling	0.00E+00	-0.40824829	4.33E-01	"ACACA,AK1,CCNA2,CHRNA7,CHRNB2,CKM,CPT1A,CPT2,CREB3L3,EP300,FASN,FOXO6,GNA11,GNAO1,GNAS,GNB5,GYS2,HMGCR,HNF4A,LIPE,MAPK14,PBRM1,PFKFB4,PIK3R3,PPM1E,PPM1G,PPP2R5E,PRKAG1,PRKAR2B,PTPA,RAB6A,RAB7A,RAB9B,SLC2A1,SMARCA4,SMARCC1,SMARCE1,STK11,TSC2"
Actin Cytoskeleton Signaling	0.00E+00	-0.353553391	4.88E-01	"ACTC1,ACTG1,Actn3,ACTR2,ARHGEF1,ARHGEF4,ARPC1B,ARPC3,ARPC4,BAIAP2,CSK,EZR,FGD1,FGF20,FLNA,ITGA4,ITGA8,ITGAV,ITGB1,ITGB2,MYH10,MYH11,MYH4,MYH7,MYL1,MYL9,MYLK,MYO18A,MYO1H,NCKAP1,PAK1,PIK3R3,PXN,RALA,RDX,SLC9A1,SSH3,TIAM1,TTN,VCL,WAS,WASF1"
Actin Nucleation by ARP-WASP Complex	0.00E+00	-0.904534034	4.41E-01	"ACTR2,ARPC1B,ARPC3,ARPC4,BAIAP2,ITGA4,ITGA8,ITGAV,ITGB1,ITGB2,RALA,RHOBTB2,RHOT1,WAS,WASF1"
Acute Myeloid Leukemia Signaling	0.00E+00	2.333333333	3.64E-01	"IDH1,IDH3B,IDH3G,MAP2K4,MAP2K7,NFKB1,PIK3R3,RALA,RPS6KB2,STAT5A,STAT5B,TCF7L1"
