Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
"1,25-dihydroxyvitamin D3 Biosynthesis"	0.00E+00		5.00E-01	CYP2R1
14-3-3-mediated Signaling	0.00E+00	-1.807392228	5.20E-01	"CDKN1B,EDC3,GSK3B,MAP2K1,MAP2K4,MRAS,PDCD6IP,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKCE,RALA,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2A,TUBB2B,TUBB4A,YWHAB"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.00E+00		2.00E-01	INPP5F
3-phosphoinositide Biosynthesis	0.00E+00	-2.666666667	4.81E-01	"ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PI4K2A,PI4KB,PIK3C2B,PIK3R3,PIKFYVE,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2"
3-phosphoinositide Degradation	0.00E+00	-2.400980192	5.07E-01	"ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP4A,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PIKFYVE,PIP4P1,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2"
4-1BB Signaling in T Lymphocytes	0.00E+00		3.33E-01	"MAP2K1,MAP2K4,NFKB1"
AMPK Signaling	0.00E+00	-2.353393622	5.22E-01	"ACACA,ADRA2C,AK1,CCNA2,CHRNA10,CHRNA4,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CKM,CPT2,CREB3L3,EP300,FASN,FOXO6,GNA11,GNA12,GNAO1,GNAS,GNB5,GYS2,HMGCR,MLST8,MRAS,ORAI2,PBRM1,PFKFB4,PFKP,PIK3C2B,PIK3R3,PPM1E,PPM1G,PPP2R1A,PRKAG1,PTPA,RAB11A,RAB6A,RAB7A,RPTOR,SIRT1,SLC2A1,SMARCA4,SMARCC1,SMARCD1,STIM1,TSC2"
ATM Signaling	0.00E+00	0.688247202	5.64E-01	"ATR,CBX1,CCNB2,CCNB3,CDK1,CHEK1,CREB3L3,HERC2,KAT5,MAP2K4,MRE11,NBN,PPP1CC,PPP2R1A,PTPA,RAD50,RAD51,SMC1A,SMC2,SMC3,TLK2,TOPBP1"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00	0	5.00E-01	"MAP2K4,NFKB1,PPIB,TBK1"
Acute Myeloid Leukemia Signaling	0.00E+00	-3.050851079	5.15E-01	"BRAF,IDH1,IDH3B,IDH3G,MAP2K1,MAP2K4,MAP2K7,MRAS,NFKB1,PIK3C2B,PIK3R3,RALA,RASD2,RPS6KB2,STAT5A,STAT5B,TCF7L1"
Acute Phase Response Signaling	0.00E+00	0	4.72E-01	"A2M,ITIH3,KLKB1,MAP2K1,MAP2K4,MAP2K7,MRAS,NFKB1,PDPK1,PIK3R3,PLG,PTPN11,RALA,RASD2,SOCS7,SOD2,TAB1"
Acyl-CoA Hydrolysis	0.00E+00		5.00E-01	"PLA2G6,PPT1"
Adipogenesis pathway	0.00E+00		5.82E-01	"ARNTL,BMP2,CCNH,CLOCK,EBF1,ERCC2,FGFR1,FGFR3,FZD5,FZD8,GTF2H2,GTF2H3,GTF2H4,HDAC2,HDAC6,HDAC7,HIF1A,KAT6B,KMT2B,LPIN1,NOCT,NR1D1,PPIP5K1,RBBP7,SIN3B,SIRT1,SMAD1,SMAD9,SMO,SOX9,SREBF1,STAT5B"
