Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	14	5.511811023622047	0.0016238518486563721	P62909, P46791, Q7ZWJ4, P46782, Q9FY65, B4PEU8, P62083, Q7PQV7, Q8VEM8, P36241, Q5E973, Q4R7Y2, O16797, Q6GQS1	237	36	1536	2.520393811533052	0.8654018907163182	1.0	1.0
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	6	2.3622047244094486	0.003095329513871178	Q9JHW0, Q4R4T8, Q9JHR7, Q9Z2U1, O88696, Q95029	237	8	1536	4.860759493670886	0.978193787314547	1.0	1.0
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	6	2.3622047244094486	0.006098510488998011	P20108, Q61941, P54399, Q9V3P0, Q5E947, P19468	237	9	1536	4.320675105485232	0.9994731543981371	1.0	1.0
GOTERM_BP_DIRECT	GO:0015991~ATP hydrolysis coupled proton transport	5	1.968503937007874	0.006322935506492024	Q5TTG1, Q9V7D2, P13607, P49712, P15999	237	6	1536	5.40084388185654	0.9996012892137828	1.0	1.0
GOTERM_BP_DIRECT	GO:0034599~cellular response to oxidative stress	5	1.968503937007874	0.012985115138872187	P20108, P22392, A6QQJ8, P11413, A2AKX3	237	7	1536	4.629294755877034	0.999999901042552	1.0	1.0
GOTERM_BP_DIRECT	GO:0006379~mRNA cleavage	4	1.574803149606299	0.028196615415398425	A0A0R4IC37, P25991, Q9VAH9, Q7QJW7	237	5	1536	5.184810126582278	0.9999999999999996	1.0	1.0
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	16	6.299212598425196	0.032336141807204344	Q61941, Q13630, Q9V774, Q9V3P0, Q9VMJ7, Q9NZC7, P11413, A0JPQ8, Q2KIG5, P20108, Q91VD9, Q9QXN4, Q9NZ01, P0C2X9, Q5E947, Q68FU3	237	60	1536	1.7282700421940926	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	5	1.968503937007874	0.03629601298375317	Q6GL41, P25205, Q6NX31, Q9SF37, Q498J7	237	9	1536	3.60056258790436	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	4	1.574803149606299	0.05007029532435654	P47826, P36241, Q9UET6, O16797	237	6	1536	4.320675105485232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006891~intra-Golgi vesicle-mediated transport	4	1.574803149606299	0.05007029532435654	Q27954, O35142, Q5R5F2, Q5ZIK9	237	6	1536	4.320675105485232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046034~ATP metabolic process	4	1.574803149606299	0.05007029532435654	Q91VD9, Q5TTG1, P49712, P15999	237	6	1536	4.320675105485232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0021510~spinal cord development	4	1.574803149606299	0.05007029532435654	Q7TPD3, O94805, Q921E6, O08811	237	6	1536	4.320675105485232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007568~aging	4	1.574803149606299	0.05007029532435654	Q60520, P04040, O08811, P19468	237	6	1536	4.320675105485232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	6	2.3622047244094486	0.05033271631429672	Q3B8N8, P46782, A1L112, P62083, O00567, Q9ESX5	237	14	1536	2.77757685352622	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	20	7.874015748031496	0.05087054044251149	Q60520, P79779, Q32PW3, P07207, P11536, Q8TBZ8, P22392, Q9NZC7, A6QQJ8, Q3ZCC3, P31396, O08811, Q01295, P42003, Q8NFU7, Q9BZK7, A2AKX3, Q4U0S5, Q8N157, P08953	237	85	1536	1.5249441548771407	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007400~neuroblast fate determination	3	1.1811023622047243	0.06339067589572697	P07207, Q8SX83, Q8MQJ9	237	3	1536	6.481012658227848	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0015992~proton transport	3	1.1811023622047243	0.06339067589572697	Q61941, Q9V7D2, O01666	237	3	1536	6.481012658227848	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	3	1.1811023622047243	0.06339067589572697	Q93113, P11413, P19468	237	3	1536	6.481012658227848	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	4	1.574803149606299	0.07788418046342549	Q27954, Q66H80, O35142, Q5ZIK9	237	7	1536	3.703435804701627	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	4	1.574803149606299	0.07788418046342549	G3V9H8, P22392, Q13905, A2AKX3	237	7	1536	3.703435804701627	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	2.7559055118110236	0.08939134780031624	P54399, Q7SF72, P52013, P50991, Q10147, Q4R6V2, P11147	237	21	1536	2.160337552742616	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	5	1.968503937007874	0.09816248695940284	P53596, P04636, Q94517, O17214, Q17GM7	237	12	1536	2.70042194092827	1.0	1.0	1.0
