Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tank_10_Crab_1_R1	66.84997420008497	45.0	101.0	18.181818181818183	73925802.0
Tank_10_Crab_1_R2	61.58257811628642	45.0	101.0	18.181818181818183	73925802.0
Tank_10_Crab_2_R1	78.2239444815666	47.0	101.0	9.090909090909092	61795018.0
Tank_10_Crab_2_R2	71.45245157043455	47.0	101.0	27.27272727272727	61795018.0
Tank_10_Crab_3_R1	64.67281259125832	46.0	101.0	18.181818181818183	69618609.0
Tank_10_Crab_3_R2	59.344087395748794	46.0	101.0	18.181818181818183	69618609.0
Tank_11_Crab_1_R1	59.80970223094773	45.0	101.0	18.181818181818183	55464891.0
Tank_11_Crab_1_R2	55.577446747201385	45.0	101.0	18.181818181818183	55464891.0
Tank_11_Crab_2_R1	62.78297369811896	46.0	101.0	18.181818181818183	64142291.0
Tank_11_Crab_2_R2	57.56468988564049	46.0	101.0	27.27272727272727	64142291.0
Tank_11_Crab_3_R1	65.85370717817236	45.0	101.0	18.181818181818183	83542559.0
Tank_11_Crab_3_R2	60.942186491710885	45.0	101.0	18.181818181818183	83542559.0
Tank_13_Crab_1_R1	65.65954634964001	45.0	101.0	18.181818181818183	81287077.0
Tank_13_Crab_1_R2	60.27596673947965	45.0	101.0	18.181818181818183	81287077.0
Tank_13_Crab_2_R1	63.184334747892756	44.0	101.0	18.181818181818183	78643541.0
Tank_13_Crab_2_R2	58.04970766046362	44.0	101.0	18.181818181818183	78643541.0
Tank_13_Crab_3_R1	64.86053629330226	45.0	101.0	9.090909090909092	71824919.0
Tank_13_Crab_3_R2	59.50698020004724	45.0	101.0	18.181818181818183	71824919.0
Tank_15_Crab_1_R1	59.92529771426849	45.0	101.0	18.181818181818183	53396661.0
Tank_15_Crab_1_R2	55.1971686029315	45.0	101.0	18.181818181818183	53396661.0
Tank_15_Crab_2_R1	61.174641450371	45.0	101.0	18.181818181818183	51615699.0
Tank_15_Crab_2_R2	56.854447258470096	45.0	101.0	18.181818181818183	51615699.0
Tank_15_Crab_3_R1	63.2942801312817	45.0	101.0	18.181818181818183	70497342.0
Tank_15_Crab_3_R2	58.08467229235493	45.0	101.0	18.181818181818183	70497342.0
Tank_16_Crab_1_R1	62.596153588249805	45.0	101.0	18.181818181818183	69512525.0
Tank_16_Crab_1_R2	57.856334734349645	45.0	101.0	18.181818181818183	69512525.0
Tank_16_Crab_2_R1	59.60375045844445	45.0	101.0	18.181818181818183	56099717.0
Tank_16_Crab_2_R2	55.040881914181014	45.0	101.0	18.181818181818183	56099717.0
Tank_16_Crab_4_R1	60.241279991079026	46.0	101.0	9.090909090909092	54183967.0
Tank_16_Crab_4_R2	54.96999529703195	46.0	101.0	18.181818181818183	54183967.0
Tank_18_Crab_1_R1	62.409408073350775	45.0	101.0	18.181818181818183	55932350.0
Tank_18_Crab_1_R2	57.8691372155071	45.0	101.0	18.181818181818183	55932350.0
Tank_18_Crab_2_R1	56.705713008164565	45.0	101.0	27.27272727272727	34136612.0
Tank_18_Crab_2_R2	53.13946744463213	45.0	101.0	18.181818181818183	34136612.0
Tank_18_Crab_3_R1	64.1608432187462	45.0	101.0	18.181818181818183	73269300.0
Tank_18_Crab_3_R2	59.98435718444776	45.0	101.0	18.181818181818183	73269300.0
Tank_1_Crab_1_R1	67.82411903598222	48.0	101.0	9.090909090909092	53879725.0
Tank_1_Crab_1_R2	60.610703924854484	48.0	101.0	18.181818181818183	53879725.0
Tank_1_Crab_2_R1	64.38428425138375	48.0	101.0	9.090909090909092	47310025.0
Tank_1_Crab_2_R2	56.984794104453805	49.0	101.0	18.181818181818183	47310025.0
Tank_1_Crab_3_R1	65.8049187998418	49.0	101.0	9.090909090909092	52407583.0
Tank_1_Crab_3_R2	57.9833710022362	49.0	101.0	27.27272727272727	52407583.0
Tank_20_Crab_1_R1	60.44967339552307	45.0	101.0	18.181818181818183	60497602.0
Tank_20_Crab_1_R2	56.3167107524935	45.0	101.0	18.181818181818183	60497602.0
Tank_20_Crab_2_R1	63.802040729186984	45.0	101.0	18.181818181818183	79098771.0
Tank_20_Crab_2_R2	58.98594140199563	45.0	101.0	18.181818181818183	79098771.0
Tank_20_Crab_3_R1	58.78497971749256	46.0	101.0	18.181818181818183	51826545.0
Tank_20_Crab_3_R2	53.968135814990035	46.0	101.0	18.181818181818183	51826545.0
Tank_2_Crab_1_R1	66.67218106969075	48.0	101.0	9.090909090909092	55138059.0
Tank_2_Crab_1_R2	59.39584795654109	48.0	101.0	18.181818181818183	55138059.0
Tank_2_Crab_2_R1	72.27749879986433	49.0	101.0	9.090909090909092	65101447.0
Tank_2_Crab_2_R2	64.81502277213727	49.0	101.0	18.181818181818183	65101447.0
Tank_2_Crab_3_R1	67.47046769212366	48.0	101.0	9.090909090909092	49422262.0
Tank_2_Crab_3_R2	60.570741121805725	48.0	101.0	18.181818181818183	49422262.0
Tank_3_Crab_1_R1	66.18007855416384	49.0	101.0	9.090909090909092	49719815.0
Tank_3_Crab_1_R2	59.09986509082325	49.0	101.0	18.181818181818183	49719815.0
Tank_3_Crab_2_R1	73.87812650554767	48.0	101.0	9.090909090909092	55162820.0
Tank_3_Crab_2_R2	67.83865569995386	48.0	101.0	27.27272727272727	55162820.0
Tank_3_Crab_3_R1	62.01757951315515	45.0	101.0	27.27272727272727	65002254.0
Tank_3_Crab_3_R2	56.49720030453315	45.0	101.0	18.181818181818183	65002254.0
Tank_4_Crab_1_R1	60.45388943342176	45.0	101.0	9.090909090909092	62528198.0
Tank_4_Crab_1_R2	54.90280904593544	45.0	101.0	18.181818181818183	62528198.0
Tank_4_Crab_2_R1	60.297442961163746	44.0	101.0	18.181818181818183	62863023.0
Tank_4_Crab_2_R2	54.993007097929	44.0	101.0	18.181818181818183	62863023.0
Tank_4_Crab_3_R1	61.47093048851464	45.0	101.0	18.181818181818183	67244771.0
Tank_4_Crab_3_R2	56.11837622929782	45.0	101.0	18.181818181818183	67244771.0
Tank_5_Crab_1_R1	62.36519396201037	45.0	101.0	18.181818181818183	68295831.0
Tank_5_Crab_1_R2	57.17164612083787	45.0	101.0	18.181818181818183	68295831.0
Tank_5_Crab_2_R1	63.23961231760951	45.0	101.0	9.090909090909092	60253094.0
Tank_5_Crab_2_R2	57.56409192361635	45.0	101.0	18.181818181818183	60253094.0
Tank_5_Crab_3_R1	61.618666104698875	45.0	101.0	18.181818181818183	61846994.0
Tank_5_Crab_3_R2	56.941931585584655	45.0	101.0	18.181818181818183	61846994.0
Tank_7_Crab_1_R1	59.37106140976504	45.0	101.0	27.27272727272727	52344314.0
Tank_7_Crab_1_R2	55.22931473343075	45.0	101.0	18.181818181818183	52344314.0
Tank_7_Crab_3_R1	62.06491393424385	46.0	101.0	27.27272727272727	55366621.0
Tank_7_Crab_3_R2	57.938645589619824	46.0	101.0	27.27272727272727	55366621.0
Tank_7_Crab_4_R1	66.24728222984379	47.0	101.0	18.181818181818183	60653613.0
Tank_7_Crab_4_R2	60.773811448956444	47.0	101.0	27.27272727272727	60653613.0
Tank_9_Crab_1_R1	64.88442995314055	45.0	101.0	18.181818181818183	80860974.0
Tank_9_Crab_1_R2	59.79464469701602	45.0	101.0	18.181818181818183	80860974.0
Tank_9_Crab_2_R1	60.66033124687675	45.0	101.0	18.181818181818183	51318612.0
Tank_9_Crab_2_R2	55.809331441843526	45.0	101.0	18.181818181818183	51318612.0
Tank_9_Crab_3_R1	65.33378032063499	45.0	101.0	18.181818181818183	74198266.0
Tank_9_Crab_3_R2	60.42949332221804	45.0	101.0	18.181818181818183	74198266.0
Tank_9_Crab_4_R1	62.950616650364374	46.0	101.0	9.090909090909092	56248864.0
Tank_9_Crab_4_R2	57.27625435223594	46.0	101.0	18.181818181818183	56248864.0
