Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tank_10_Crab_1	61.9983896328671	45.0	98.988801821731	18.181818181818183	73790038.0
Tank_10_Crab_2	70.8343197439178	47.0	98.089856130265	18.181818181818183	61585225.0
Tank_10_Crab_3	59.58055162599418	46.0	98.61648584884207	18.181818181818183	69482088.0
Tank_11_Crab_1	55.852881762043545	45.0	99.01331605841031	18.181818181818183	55378925.0
Tank_11_Crab_2	58.01456393524024	46.0	99.10626105930885	27.27272727272727	64038812.0
Tank_11_Crab_3	61.65598988413749	45.0	99.10918429000776	18.181818181818183	83413383.0
Tank_13_Crab_1	60.810509017485806	45.0	99.09500847045362	18.181818181818183	81168026.0
Tank_13_Crab_2	58.636550000961726	44.0	99.00089466747615	18.181818181818183	78509616.0
Tank_13_Crab_3	59.96082365337552	45.0	98.87757062872524	18.181818181818183	71708430.0
Tank_15_Crab_1	55.68334051517961	45.0	99.10302908923182	18.181818181818183	53316224.0
Tank_15_Crab_2	57.16427290395482	45.0	98.97413201285708	18.181818181818183	51523027.0
Tank_15_Crab_3	58.61462219171536	45.0	99.08595637341902	18.181818181818183	70396211.0
Tank_16_Crab_1	58.307972820125244	45.0	98.96501527525041	18.181818181818183	69399517.0
Tank_16_Crab_2	55.461310955753184	45.0	99.130471962566	18.181818181818183	56004929.0
Tank_16_Crab_4	55.32491945436848	46.0	98.91237345695507	18.181818181818183	54097501.0
Tank_18_Crab_1	58.18677749194549	45.0	99.13584801802249	18.181818181818183	55841779.0
Tank_18_Crab_2	53.34498258750214	45.0	98.82416086852487	18.181818181818183	34089801.0
Tank_18_Crab_3	60.595856223566564	45.0	99.02229573619964	18.181818181818183	73151924.0
Tank_1_Crab_1	60.628577558935106	48.0	98.54825223076053	18.181818181818183	53786477.0
Tank_1_Crab_2	57.23198713448481	49.0	98.86157488498405	18.181818181818183	47243450.0
Tank_1_Crab_3	58.09828459688697	49.0	98.65204922785783	27.27272727272727	52331101.0
Tank_20_Crab_1	56.655210786626256	45.0	98.94951478864151	18.181818181818183	60395845.0
Tank_20_Crab_2	59.564606812851586	45.0	99.08013565216598	18.181818181818183	78969620.0
Tank_20_Crab_3	54.27211517372529	46.0	98.97318761981256	18.181818181818183	51728716.0
Tank_2_Crab_1	59.38584072589563	48.0	98.47473486732015	18.181818181818183	55036501.0
Tank_2_Crab_2	64.9430462197652	49.0	98.438898988302	18.181818181818183	64996076.0
Tank_2_Crab_3	60.35691058047355	48.0	98.2089167172264	18.181818181818183	49308012.0
Tank_3_Crab_1	58.878667085491834	49.0	98.22860380764347	18.181818181818183	49628176.0
Tank_3_Crab_2	67.468229006049	48.0	97.9856204791691	18.181818181818183	55039108.0
Tank_3_Crab_3	56.825277734013895	45.0	98.93114959909569	18.181818181818183	64885185.0
Tank_4_Crab_1	55.238782450082105	45.0	98.85755833950172	18.181818181818183	62423142.0
Tank_4_Crab_2	55.390127360981	44.0	98.93837323154402	18.181818181818183	62758913.0
Tank_4_Crab_3	56.51628090727633	45.0	98.90927542832134	18.181818181818183	67120868.0
Tank_5_Crab_1	57.60806963695863	45.0	98.94081220215922	18.181818181818183	68160789.0
Tank_5_Crab_2	58.07637021674289	45.0	99.26524976528238	18.181818181818183	60170172.0
Tank_5_Crab_3	57.21137833899755	45.0	98.83479191874335	18.181818181818183	61717332.0
Tank_7_Crab_1	55.34605414365444	45.0	98.7055837519734	27.27272727272727	52250333.0
Tank_7_Crab_3	58.25363716723659	46.0	98.9193626303836	27.27272727272727	55286476.0
Tank_7_Crab_4	61.168658168011795	47.0	98.99911308728208	27.27272727272727	60569658.0
Tank_9_Crab_1	60.35764424234429	45.0	99.01420728591242	18.181818181818183	80722244.0
Tank_9_Crab_2	56.18135812906894	45.0	98.98082975109965	18.181818181818183	51238980.0
Tank_9_Crab_3	60.94501543417617	45.0	99.04796861731818	18.181818181818183	74090545.0
Tank_9_Crab_4	57.66924301398701	46.0	98.9191427697775	18.181818181818183	56171328.0
