beta  ances 
0.201 0.364
0.203 0.365
0.203 0.363
0.204 0.362
0.205 0.363
0.205 0.362
0.205 0.361
0.204 0.361
0.204 0.361
0.204 0.362
0.205 0.362
0.205 0.362
0.205 0.362
0.204 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.363
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.204 0.364
0.205 0.364
0.204 0.364
0.204 0.364
0.205 0.364
