UniqueCount	AmbigCount
0	0
0	8
0	0
0	14
0	0
0	0
0	0
0	1
352	13
0	0
72	13
166	0
0	0
0	0
0	35
0	0
0	0
0	12
0	0
0	0
0	7
0	0
0	0
2	0
0	0
0	0
3	0
24	0
0	0
303	0
1	4
0	0
0	14
0	4
5	0
123	11
0	0
1	0
5	0
0	0
0	0
1	0
9	7
0	0
0	1
61	0
0	1
0	0
0	2
0	0
106	51
44	0
0	0
14	2
0	14
0	8
0	0
588	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	2
0	0
102	1
34	4
0	11
244	0
1	0
49	0
0	0
313	0
1617	1
76	1
0	2
0	0
0	0
0	2
455	217
2215	13
0	0
19	0
0	2
173	55
148	54
0	0
0	0
1	0
0	21
0	0
20	0
0	0
642	684
0	0
1	0
1	0
0	2
49	0
229	0
156	0
169	0
11	0
600	0
1094	0
2	0
4	0
0	1
0	0
0	0
0	22
0	2
30	1
11	111
424	0
6	529
6	22
12	4
17	0
0	0
83	0
1175	3
137	0
36	0
0	67
46	0
9	0
2038	0
259	1
158	0
0	0
3342	1
1142	0
0	9
0	0
0	0
485	0
270	2
40	0
0	0
1	0
194	0
1	0
0	0
0	0
70	0
10	0
125	0
0	5
669	0
19	0
6	0
3	0
0	0
0	0
0	1
0	4
3	0
3	0
146	0
152	1
225	0
31	0
0	1
0	0
15	0
44	0
136	0
0	8
154	0
272	0
38	0
0	0
0	9
46	0
31	0
15	0
0	0
102	0
2	0
54	0
28632	508
39	44
22	0
91	2
0	0
0	0
7	37
2	0
0	0
0	3
62	0
5	0
477	10
4	1
55	0
0	0
0	0
0	54
0	0
0	0
0	1
1	0
0	171
39	0
0	0
0	0
0	0
0	0
8	25
1	6
0	0
0	0
10	0
44	0
1	4
0	0
2	0
4	0
1294	0
891	0
42	0
0	0
0	19
694	0
1	86
4	0
0	0
0	0
5	0
3611	1
0	10
75	0
30	0
37	9
0	0
7	0
0	187
24	68
2	110
0	3
0	0
0	0
239	0
38	119
25	0
8	0
1090	0
1	2
0	0
0	0
0	0
198	0
0	0
0	0
180	0
104	0
0	4
0	0
0	2
0	1
0	0
19	82
0	7
0	0
0	1
0	0
0	0
0	2
0	0
1	0
451	0
66	0
10	0
76	0
5	8
0	12
0	0
0	0
35	0
709	0
3	0
492	0
89	0
0	3
235	5
114	0
4	0
0	6
0	0
97	0
7	0
0	0
1	0
0	0
117	0
55	0
666	0
5512	0
19	0
0	0
0	0
5989	0
292	0
703	0
11	0
0	0
2	0
0	8
0	27
5	0
18	0
624	0
199	0
9	2
0	0
0	0
1	0
175	0
59	0
0	30
263	0
497	0
11	0
0	22
209	4
71	3
0	3
0	1
126	0
17	0
39	0
1	0
9	0
0	8
6	5
0	0
0	0
0	0
12	113
0	9
193	0
0	6
0	0
0	15
12	0
238	2
1713	1
0	0
0	0
2	0
489	0
0	0
233	0
0	4
101	32
0	0
0	0
677	0
0	0
0	7
0	2
133	0
812	0
728	0
8	0
48	0
0	0
