name	term	lev	seq	value
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g11408	0.380238954013861
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g25548	0.15921101113991
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g27692	-0.0055431756977666
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g27745	-0.0348942066995064
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g33394	-0.038328039609021
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g33392	-0.0657432263814021
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g39558	-0.0784479603613848
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g44007	0.0337037890797795
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g44006	0.0401705782069953
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g54186	0.0104550831483201
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g55116	0.0234458174498534
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g66387	-0.22343047020748
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g66388	-0.089297230313295
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g69557	-0.159668003986351
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g71486	-0.284555422946475
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g76551	0.117273878748223
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g78268	0.0393988495440171
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g78267	0.214828020900052
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g78970	-0.41278586632913
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g78968	0.162005561000307
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g90145	-0.00374785430287235
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g90746	-0.0797463622893912
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g97982	-0.323113006459049
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g103607	0.184242972570333
"protein serine/threonine phosphatase complex"	GO:0008287;GO:1903293	3	g103608	0.0283027910821094
