Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	95	6.73758865248227	1.9794785250979794E-29	P82923, P35979, Q92616, Q56FH2, P46791, Q4GX87, O96647, Q7ZUH5, P70541, P29691, Q9BMX5, P62083, B0WN96, Q95V31, Q4GXH6, Q962R1, Q5R938, Q95V39, P22451, A7S3J7, Q8BU30, Q6XIM8, Q8WQI5, P62279, P62752, Q9NB33, Q9XYC2, Q9FJA6, Q95V32, Q803F6, O13019, P62832, Q90YT5, P31009, Q6NUH0, P48162, P60868, Q90Z10, Q7ZUG5, P46782, Q90YP3, Q9FY65, A2Q0R8, Q95WA0, Q9VXX8, P55833, Q6QN05, P09180, Q962U2, Q8BWW4, P62282, Q6DRC4, Q5E973, Q5REY2, Q9VF89, Q8JGS9, Q5UAP0, Q5R8K6, Q5REU2, Q9CYK1, Q90YS3, Q7ZWJ4, P10735, B4PEU8, Q6DRI1, Q963B6, P18665, Q962T1, P62250, Q7ZV82, Q7ZUB2, O61231, Q95307, Q7KF90, Q4R7Y2, P23403, P79781, Q8C3X4, Q9YIC0, Q90YV8, Q9VCD0, Q9VFJ2, Q91WK2, Q10039, P38935, Q1LUA8, Q9Y3D5, P36241, P49149, Q9VMU4, O16797, P27659, P48855, P62985, A2I3Z2	1320	153	6513	3.0636512180629834	6.823262476012735E-26	6.823262476012735E-26	6.795549776661364E-26
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	22	1.5602836879432624	2.574309614610228E-12	P30742, P31009, P35979, Q9UT21, Q7ZUG5, P46782, Q90YP3, Q58D56, Q9V3G1, Q9VXX8, A2AGT5, P09180, P47826, Q93572, P36241, Q5E973, O61231, Q86FP7, Q9VMU4, O16797, P27659, Q803F6	1320	24	6513	4.522916666666666	8.873522916452714E-9	4.436822620780728E-9	4.418802453478456E-9
GOTERM_BP_DIRECT	GO:0015074~DNA integration	36	2.553191489361702	8.81939001178027E-9	P10978, P0CT40, P11369, Q09575, Q8I7P9, Q74120, P0CT43, Q9ZT94, P04146, P04323, Q94HW2, P03359, Q12414, P03934, P10401, Q9UR07, P0CT39, Q99315, O13527, Q7M3K2, P35072, Q7LHG5, P10394, Q6R2W3, P20825, O93209, Q12088	1320	68	6513	2.6121657754010696	3.039997536191663E-5	1.013347912353553E-5	1.009232197014722E-5
GOTERM_BP_DIRECT	GO:0001732~formation of cytoplasmic translation initiation complex	22	1.5602836879432624	1.2857437038248358E-8	Q9GV27, Q7Q068, Q17Q06, A7MB16, Q91WK2, Q1HPW4, B4LYI3, Q6DRI1, B3MIF1, B0W0S3, B0WAM5, Q8AVJ0, Q1LUA8, O00303, K7IM66, Q7PGE8, Q6DRC4, B4JB43, Q6P878, A7RWP6, Q9UBQ5, Q1HDZ5	1320	31	6513	3.5016129032258063	4.431860353926176E-5	1.1079896367710522E-5	1.1034895338076653E-5
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	16	1.1347517730496455	2.0319811720210364E-7	P0CT39, Q99315, O13527, Q7LHG5, Q12414, P0CT43, P0CT40, Q12088, Q9UR07	1320	20	6513	3.9472727272727273	7.00178741607882E-4	1.4008478199913025E-4	1.3951582727096437E-4
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	41	2.9078014184397163	2.259299634085744E-6	O94761, P12956, Q9WUP7, P0CT40, Q17GZ9, P11369, Q9VGI8, O00370, Q74120, P0CT43, P43351, Q9ZT94, P46063, Q94HW2, Q9Z129, P03359, Q12414, P38935, Q9XSJ0, Q9UR07, P0CT39, Q99315, O13527, Q7M3K2, Q5EBA1, Q7LHG5, Q24558, O93209, Q0VGM9, Q68G58, Q12088, Q0IFL2	1320	98	6513	2.0642625231910947	0.007757568176524954	0.00129796763978226	0.0012926959406360599
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	55	3.900709219858156	1.3231675955687537E-5	Q15459, Q9N4G9, Q13435, Q5U526, Q9QXA5, Q91YR7, Q29RZ2, Q923D5, Q5F450, Q5F3X4, O62703, Q9BJZ5, P62311, Q922V4, Q9VLP7, Q9D554, Q60436, Q15428, Q5R628, Q96J01, Q9H7Z3, B2KI97, Q05519, Q5RKQ0, Q9UKA9, Q922U1, Q7ZVA0, Q9QXK7, Q6P886, Q7ZYV9, Q4QQT0, Q9CZU3, Q91VN6, Q8WN55, P51400, Q9UKF6, F4JRJ6, B9ENE7, Q7TSH6, Q21832, Q8K4Z5, Q9VM71, Q13148, Q8R3N6, O95900, Q9U299, Q80XC6, Q3SWT4, Q2HJH6, Q99PV0, Q24562, Q9VSH4, Q80W14, O14776, O43390	1320	155	6513	1.750806451612903	0.04458539253053384	0.006515655288464992	0.006489191936553617
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	48	3.404255319148936	2.0061919402608987E-5	Q13435, Q15459, Q9N4G9, Q9QXA5, Q91YR7, Q91VN6, Q15637, Q8R3C6, Q5F3X4, P17886, A1Z9L3, Q6PBE2, P62311, Q922V4, P42285, A7ENE0, Q9BUQ8, Q8K4Z5, Q7JVL3, Q9UK45, Q1JQE0, Q9VR99, O43660, Q9D554, Q4QQU1, Q27294, Q15428, Q5R628, O08837, Q4FZQ6, Q24562, Q99PV0, P63155, Q9V3C0, Q02427, Q80W14, Q5RKQ0, Q922U1, Q7ZVA0, O16216, Q94901, A7SD85, Q9BZJ0, Q96DF8, A1Z9G2, Q6P886, Q5RE65, O43390	1320	131	6513	1.8079111727966688	0.06681716235193547	0.007683715131199242	0.007652507701017406
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	48	3.404255319148936	2.0061919402608987E-5	Q13435, Q15459, Q9N4G9, Q9QXA5, Q5U526, Q4QQT0, Q9CZU3, Q91YR7, Q91VN6, Q29RZ2, Q8WN55, Q923D5, Q5F3X4, O62703, F4JRJ6, B9ENE7, Q9BJZ5, P62311, Q922V4, Q21832, Q9BUQ8, Q8K4Z5, Q13148, Q9VLP7, Q8R3N6, Q9D554, Q80XC6, Q15428, Q5R628, Q96J01, Q3SWT4, P30153, Q2HJH6, Q9H7Z3, Q24562, Q99PV0, B2KI97, Q02427, Q05519, P50902, Q99873, Q80W14, Q5RKQ0, Q9UKA9, Q922U1, Q7ZVA0, A1Z9G2, O14776	1320	131	6513	1.8079111727966688	0.06681716235193547	0.007683715131199242	0.007652507701017406
GOTERM_BP_DIRECT	GO:0006457~protein folding	37	2.624113475177305	4.9576794932189235E-5	Q8BYA0, Q6DGG0, O02649, P29413, Q9SF16, P50991, P29310, Q2NKZ1, P12613, Q99471, Q5ZJK8, Q9XT06, Q7SF72, Q3SZE9, Q6GLX7, Q9NB32, Q4R963, P48605, Q2T9X2, P50143, P54985, Q4R6F8, P80313, Q63525, Q3ZBH0, P53451, Q9BTW9, Q54TH8, Q9M888, Q9D113, Q9UTM4, Q9NQP4, Q5RF02, Q3T084, O14530, Q9UHV9, P80317	1320	95	6513	1.9216985645933014	0.15709030356989373	0.01581994461912677	0.015755691870456105
GOTERM_BP_DIRECT	GO:0006401~RNA catabolic process	11	0.7801418439716312	5.048430252694937E-5	Q9W0S7, Q5EBA1, Q9Y2L1, Q9CZU3, P42285, Q7ZT42, Q9Y3B2, Q5RCW2, Q66X93, P37202, Q15024	1320	14	6513	3.876785714285714	0.1597230873741463	0.01581994461912677	0.015755691870456105
GOTERM_BP_DIRECT	GO:1904851~positive regulation of establishment of protein localization to telomere	10	0.7092198581560284	6.778734378167773E-5	Q2T9X2, P80313, Q5RF02, Q3ZBH0, P50991, Q2NKZ1, Q4R6V2, Q5ZJK8, Q4R963, P80317	1320	12	6513	4.111742424242424	0.20837769937642103	0.01947191450128693	0.01939282926687497
GOTERM_BP_DIRECT	GO:0006396~RNA processing	22	1.5602836879432624	1.8249462080382198E-4	Q15459, Q9QXA5, Q9Y2L1, Q6NZS4, Q8K4L0, O95900, Q8IWX8, Q80XC6, Q91YR7, Q923D5, Q8VDM6, P51400, P63155, Q5ZJL4, Q9Y3B2, Q21832, Q5RCW2, Q5HZJ0, Q8K4Z5, Q9BZJ0, Q15024, Q6NV83	1320	48	6513	2.261458333333333	0.46693737416003034	0.0483891506085211	0.04819261793996315
GOTERM_BP_DIRECT	GO:1901998~toxin transport	14	0.9929078014184398	2.401437611180919E-4	Q2T9X2, P35605, P80313, Q3ZBH0, P50991, Q2NKZ1, Q5ZJK8, Q5R664, Q5RF02, Q3T084, Q4R6V2, Q5R5F2, Q4R963, P80317	1320	24	6513	2.878219696969697	0.5630231032162105	0.055553395940687124	0.05532776566996777
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	15	1.0638297872340425	2.5400660301437523E-4	P53621, P35605, P33947, Q9DBH5, Q5ZIK9, Q5TYW4, Q28104, Q27954, Q8CIE6, Q5ZL57, P42858, Q96JB2, Q9EQC5, Q5R5F2, Q5RA77	1320	27	6513	2.741161616161616	0.5834180085522827	0.055553395940687124	0.05532776566996777
GOTERM_BP_DIRECT	GO:0006891~intra-Golgi vesicle-mediated transport	16	1.1347517730496455	2.5786316653640673E-4	P53621, P35605, Q921L5, Q14746, Q5ZIA5, Q5ZIK9, Q28104, Q5R664, Q27954, Q23983, Q8CIE6, Q7PVF6, Q96JB2, Q5R5F2, P45437, Q66HV4	1320	30	6513	2.631515151515152	0.5889206248112343	0.055553395940687124	0.05532776566996777
GOTERM_BP_DIRECT	GO:0006313~transposition, DNA-mediated	8	0.5673758865248227	3.370581005351194E-4	Q7M3K2, Q95SX7, Q8I7P9, P35072, P03934, Q9NBX4	1320	9	6513	4.3858585858585855	0.687151152438759	0.06834348662026803	0.06806590936100382
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	28	1.9858156028368796	5.132711944433076E-4	Q9LVD0, Q5R9T6, Q8K4L0, Q9CZU3, Q8R5K5, Q923D5, Q9V9Z9, G0S8F1, P62083, Q6P5B0, O00567, P62250, P42285, P22451, A7S7F2, Q15024, Q7ZYQ6, Q9Y2L1, P53914, A1A4H6, P54008, Q1EB31, Q9P7S7, Q55DA6, Q9Y3B2, Q5SSI6, Q5R8K6, Q5RFQ0	1320	72	6513	1.9188131313131314	0.8296159060193891	0.09829143373589341	0.09789222280688195
GOTERM_BP_DIRECT	GO:0010499~proteasomal ubiquitin-independent protein catabolic process	12	0.851063829787234	6.174303409882062E-4	Q9XZJ4, Q9JHW0, Q5SSW2, Q9XYN7, Q8SXD4, Q54BC8, P18422, Q5E9K0, P25787, P40301	1320	20	6513	2.9604545454545454	0.8810366348343831	0.11201486238875509	0.11155991371644798
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	32	2.269503546099291	0.0013593056181295884	P50991, P29310, Q2NKZ1, P62083, Q99471, Q5ZJK8, Q91YE6, O00291, P84025, P22451, Q4R963, Q93008, P62832, Q2T9X2, P80313, Q3ZBH0, Q3UJD6, Q5XIH7, Q01484, P19388, Q9D113, Q9NQP4, Q5RF02, Q61191, Q9BXJ9, Q4R6V2, Q96JB2, A7MB43, Q5REU2, Q9UHV9, P05661, P80317	1320	91	6513	1.7350649350649352	0.9908014911142259	0.23427632328463455	0.23332480935194386
GOTERM_BP_DIRECT	GO:0007339~binding of sperm to zona pellucida	10	0.7092198581560284	0.0015980344769314014	Q2T9X2, P80313, Q5RF02, Q3ZBH0, P50991, Q2NKZ1, Q4R6V2, Q5ZJK8, Q4R963, P80317	1320	16	6513	3.0838068181818183	0.9959653303954166	0.2623059448563115	0.2612405885383572
GOTERM_BP_DIRECT	GO:0006368~transcription elongation from RNA polymerase II promoter	12	0.851063829787234	0.0017373066791656602	Q4QR29, Q62018, Q5ZI08, P20232, Q8MQI6, Q8UVK2, Q6GMD2, P41900, Q6DEU9, Q4U0S5, Q6PBD6, Q8IRG6	1320	22	6513	2.6913223140495868	0.997505592574998	0.2722043692310923	0.2710988104352596
GOTERM_BP_DIRECT	GO:0043044~ATP-dependent chromatin remodeling	11	0.7801418439716312	0.0028178681970740843	Q8TAQ2, Q24368, O97159, Q8K1P7, Q9NDJ2, Q8IN94, O94805, Q14839, P25439, P51532, A7Z019	1320	20	6513	2.71375	0.9999403432159849	0.42231268153540735	0.42059745741544924
GOTERM_BP_DIRECT	GO:0032543~mitochondrial translation	13	0.9219858156028369	0.005416274067986665	P82923, A1Z9A8, Q9VCD0, Q9VFJ2, P10735, Q5BJP6, Q0P5H7, Q9VCX3, Q498P2, Q9VY28, Q9Y3D5, Q92665, Q9VF89	1320	28	6513	2.2908279220779217	0.9999999925915208	0.7779123630145848	0.7747528698082592
GOTERM_BP_DIRECT	GO:0006337~nucleosome disassembly	7	0.4964539007092199	0.006753525339029453	Q8TAQ2, Q9VYG2, Q6P9Z1, Q8K1P7, Q04931, P51532, A7Z019	1320	10	6513	3.4538636363636366	0.9999999999282883	0.9311760737453809	0.9273940995555244
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	27	1.9148936170212765	0.007814357023930855	Q8TAQ2, O97159, Q8K1P7, Q9V333, Q9WUP7, Q17GZ9, Q7YQM3, Q8K4B0, A7Z019, Q24368, Q6P9Z1, Q9BTC8, O94805, O95619, Q9W0T1, Q14839, Q9XSJ0, P51532, Q9V3K3, Q5U379, D3ZA12, Q61191, Q8IN94, Q174R2, P25439, D3ZD32, B4MX21	1320	81	6513	1.6446969696969698	0.9999999999981976	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0006413~translational initiation	14	0.9929078014184398	0.008949825866009162	A7MB16, Q91WK2, P46782, P70541, Q6DRI1, Q5RKI1, Q8AVJ0, Q1LUA8, O00303, Q6DRC4, Q6P878, A7RWP6, Q9UBQ5, Q90511	1320	33	6513	2.0932506887052345	0.9999999999999651	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	15	1.0638297872340425	0.010169281634188584	Q6C036, Q9I7M2, Q8QGX4, Q9D6Z1, Q8IY37, O00567, Q5R434, O57592, Q21276, Q91YE6, Q93572, Q90YX1, Q5HZJ0, Q5ZI74, Q90YW2	1320	37	6513	2.0003071253071254	0.9999999999999996	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0097191~extrinsic apoptotic signaling pathway	6	0.425531914893617	0.010948558185377566	P84025, Q8BH75, Q61171, Q9NZC7, O88554, O55173	1320	8	6513	3.7005681818181815	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0006275~regulation of DNA replication	9	0.6382978723404255	0.011698918433628108	Q96KQ7, O93309, O95251, P17917, Q9WUP7, P30153, O16852, Q9XSJ0, P97690	1320	17	6513	2.6121657754010696	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0016570~histone modification	7	0.4964539007092199	0.01233404245291115	Q4QR29, Q62018, O95251, Q9VRP9, O88554, Q6DEU9, Q4U0S5	1320	11	6513	3.1398760330578512	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0070262~peptidyl-serine dephosphorylation	7	0.4964539007092199	0.01233404245291115	Q60676, P48452, Q0D2F4, Q6NY64, P63329, P30153, Q925E7	1320	11	6513	3.1398760330578512	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0080182~histone H3-K4 trimethylation	8	0.5673758865248227	0.012355999333140778	Q4QR29, Q62018, Q62725, Q8CGY8, Q6GMD2, Q6DEU9, Q6PBD6, Q27HV0	1320	14	6513	2.8194805194805195	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0032212~positive regulation of telomere maintenance via telomerase	10	0.7092198581560284	0.015473170690364876	Q2T9X2, P80313, Q5RF02, Q3ZBH0, P50991, Q2NKZ1, Q4R6V2, Q5ZJK8, Q4R963, P80317	1320	21	6513	2.3495670995671	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	5	0.3546099290780142	0.017697427341930524	Q8BU03, P46782, Q9FY65, A2I3Z2, Q803F6	1320	6	6513	4.111742424242424	1.0	1.0	0.9962275101567034
GOTERM_BP_DIRECT	GO:0061343~cell adhesion involved in heart morphogenesis	5	0.3546099290780142	0.017697427341930524	Q24048, Q9V8R9, Q9VN14, P20241, P38040	1320	6	6513	4.111742424242424	1.0	1.0	0.9962275101567034
