gene	gene_ontology_i_ds
evm.TU.HiC_scaffold_42.1	GO:0005524; GO:0005525; GO:0005737; GO:0005783; GO:0016887; GO:0043022; GO:0043023; GO:0046872
evm.TU.HiC_scaffold_22.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.1	GO:0001941; GO:0004252; GO:0005802; GO:0005886; GO:0008039; GO:0016020; GO:0016485; GO:0016486; GO:0030173; GO:0097090; GO:0097688
evm.TU.HiC_scaffold_28.2	GO:0003839; GO:0005112; GO:0005737; GO:0005802; GO:0005829; GO:0006751; GO:0006986; GO:0007219; GO:0010955; GO:0022008; GO:0045746; GO:0061928; GO:0070059
evm.TU.HiC_scaffold_50.1	GO:0003964
evm.TU.HiC_scaffold_50.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_92.1	GO:0005275; GO:0005524; GO:0005886; GO:0006727; GO:0006856; GO:0007613; GO:0008049; GO:0008558; GO:0015196; GO:0015208; GO:0015827; GO:0015842; GO:0015854; GO:0022857; GO:0030659; GO:0031409; GO:0031410; GO:0032217; GO:0032218; GO:0042332; GO:0042401; GO:0042441; GO:0042906; GO:0042907; GO:0048072; GO:0048770; GO:0051615; GO:0055085; GO:0070731; GO:0090740; GO:0098793; GO:1905948
evm.TU.HiC_scaffold_92.2	GO:0003964
evm.TU.HiC_scaffold_102.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.2	GO:0003964
evm.TU.HiC_scaffold_29.3	GO:0005886; GO:0006884; GO:0015379; GO:0016021; GO:0055064; GO:0055075; GO:1902476; GO:1990573
evm.TU.HiC_scaffold_29.4	GO:0005737; GO:0005874; GO:0030286; GO:0031514
evm.TU.HiC_scaffold_78.1	GO:0001826; GO:0003677; GO:0005506; GO:0005634; GO:0005694; GO:0006211; GO:0006325; GO:0006493; GO:0008270; GO:0008284; GO:0008327; GO:0019827; GO:0031062; GO:0045944; GO:0070579; GO:0070989; GO:0080111; GO:0090310
evm.TU.HiC_scaffold_78.2	GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074
evm.TU.HiC_scaffold_58.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_89.1	GO:0001664; GO:0003924; GO:0005525; GO:0007186; GO:0031683; GO:0046872
evm.TU.HiC_scaffold_89.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_89.3	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872
evm.TU.HiC_scaffold_50.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_50.4	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_50.5	GO:0003964
evm.TU.HiC_scaffold_82.1	GO:0003964
evm.TU.HiC_scaffold_82.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_28.3	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_28.4	GO:0003964
evm.TU.HiC_scaffold_61.1	GO:0003676; GO:0005634; GO:0005737; GO:0015074; GO:0045787; GO:0050679
evm.TU.HiC_scaffold_23.1	GO:0003964
evm.TU.HiC_scaffold_42.3	GO:0005769; GO:0005770; GO:0005938; GO:0006897; GO:0007032; GO:0008333; GO:0010008; GO:0016324; GO:0035091; GO:0046872
evm.TU.HiC_scaffold_42.4	GO:0005525; GO:0005737; GO:0005785; GO:0005881; GO:0016020; GO:0016021; GO:0031625; GO:0045047
evm.TU.HiC_scaffold_28.6	GO:0003779; GO:0005815; GO:0005829; GO:0007015; GO:0007411; GO:0016322; GO:0016709; GO:0030036; GO:0030042; GO:0030047; GO:0030240; GO:0031941; GO:0043195; GO:0045214; GO:0046872; GO:0048813; GO:0060386; GO:0071949; GO:1904799
evm.TU.HiC_scaffold_21.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_15.1	GO:0003964
evm.TU.HiC_scaffold_104.2	GO:0003964
evm.TU.HiC_scaffold_104.3	GO:0005576
evm.TU.HiC_scaffold_90.1	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_81.4	GO:0001933; GO:0005041; GO:0005102; GO:0005109; GO:0005576; GO:0005783; GO:0005886; GO:0006469; GO:0007204; GO:0007268; GO:0009986; GO:0014029; GO:0014033; GO:0016021; GO:0016055; GO:0017147; GO:0019210; GO:0019534; GO:0031410; GO:0031901; GO:0034392; GO:0042802; GO:0042803; GO:0042813; GO:0043025; GO:0043434; GO:0044335; GO:0044340; GO:0045121; GO:0045202; GO:0045787; GO:0045893; GO:0045944; GO:0051091; GO:0060070; GO:0071397; GO:0071542; GO:0071901; GO:0071936; GO:0072659; GO:0090118; GO:0090244; GO:0098609; GO:1904928; GO:1904948; GO:1904953; GO:1990851; GO:1990909
