name	term	lev	seq	value
"vacuolar membrane"	GO:0005774	2	g2422	0.12209563148592
"vacuolar membrane"	GO:0005774	2	g2428	-0.0845086751760242
"vacuolar membrane"	GO:0005774	2	g2763	0.0187890178006791
"vacuolar membrane"	GO:0005774	2	g13554	-0.215765384056262
"vacuolar membrane"	GO:0005774	2	g13557	-0.0397100556883172
"vacuolar membrane"	GO:0005774	2	g13719	-0.265297287078328
"vacuolar membrane"	GO:0005774	2	g13948	0.0830734790672609
"vacuolar membrane"	GO:0005774	2	g16066	-0.596506710616717
"vacuolar membrane"	GO:0005774	2	g16067	-0.540312484335387
"vacuolar membrane"	GO:0005774	2	g16081	0.116651680198731
"vacuolar membrane"	GO:0005774	2	g16085	0.351371361293163
"vacuolar membrane"	GO:0005774	2	g18812	0.0521767393599396
"vacuolar membrane"	GO:0005774	2	g20117	0.0211508737044884
"vacuolar membrane"	GO:0005774	2	g26960	-0.593170448213798
"vacuolar membrane"	GO:0005774	2	g27023	0.606884877563482
"vacuolar membrane"	GO:0005774	2	g29143	0.00716810348417834
"vacuolar membrane"	GO:0005774	2	g29356	-0.333743448078691
"vacuolar membrane"	GO:0005774	2	g29951	0.0398918298488343
"vacuolar membrane"	GO:0005774	2	g31122	0.178180328793776
"vacuolar membrane"	GO:0005774	2	g35208	0.0600822941654674
"vacuolar membrane"	GO:0005774	2	g35563	0.0935677579353189
"vacuolar membrane"	GO:0005774	2	g36519	0.0490911176981648
"vacuolar membrane"	GO:0005774	2	g44024	-0.00164760141996241
"vacuolar membrane"	GO:0005774	2	g46180	0.073449473822862
"vacuolar membrane"	GO:0005774	2	g49374	-0.566115953362984
"vacuolar membrane"	GO:0005774	2	g49477	0.0203478339852982
"vacuolar membrane"	GO:0005774	2	g50522	0.0165415808071089
"vacuolar membrane"	GO:0005774	2	g51813	0.118184139430164
"vacuolar membrane"	GO:0005774	2	g52594	0.505544381422415
"vacuolar membrane"	GO:0005774	2	g59472	0.612908389231121
"vacuolar membrane"	GO:0005774	2	g59473	0.660193965215014
"vacuolar membrane"	GO:0005774	2	g63100	-0.418372733021999
"vacuolar membrane"	GO:0005774	2	g69625	0.297288282969848
"vacuolar membrane"	GO:0005774	2	g76692	0.0455810133486484
"vacuolar membrane"	GO:0005774	2	g77263	0.0449688059509891
"vacuolar membrane"	GO:0005774	2	g78713	-0.110653235015942
"vacuolar membrane"	GO:0005774	2	g78766	-0.113505278297526
"vacuolar membrane"	GO:0005774	2	g85137	0.0549346082774889
"vacuolar membrane"	GO:0005774	2	g95675	-0.111670449690422
"vacuolar membrane"	GO:0005774	2	g102209	-0.219802072650035
"vacuolar membrane"	GO:0005774	2	g106122	0.727583782484493
"vacuolar membrane"	GO:0005774	2	g106757	0.0393448824678479
"vacuolar membrane"	GO:0005774	2	g108265	0.047801902687274
"vacuolar membrane"	GO:0005774	2	g116854	-0.5583962019372
"vacuolar membrane"	GO:0005774	2	g116855	-0.49581823720052
"vacuolar membrane"	GO:0005774	2	g121900	0.21296151185068
"vacuolar membrane"	GO:0005774	2	g131262	0.226909239733953
"vacuolar membrane"	GO:0005774	2	g134425	-0.0189059393786298
"vacuolar membrane"	GO:0005774	2	g136284	-0.384028760122101
"vacuolar membrane"	GO:0005774	2	g138697	-0.0588095778501793
"vacuolar membrane"	GO:0005774	2	g143477	0.031875820572383
"vacuolar membrane"	GO:0005774	2	g151041	-0.16334468397638
"vacuolar membrane"	GO:0005774	2	g154074	-0.0908238335449492
"vacuolar membrane"	GO:0005774	2	g156897	0.374438117015055
"vacuolar membrane"	GO:0005774	2	g3399	0.011665003889606
"vacuolar membrane"	GO:0005774	2	g57031	-0.801118955598254
"vacuolar membrane"	GO:0005774	2	g63102	-0.546325212896478
"vacuolar membrane"	GO:0005774	2	g136360	-0.231242660052714
"vacuolar membrane"	GO:0005774	2	g143353	-0.186798989961552
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g2613	0.0137751819825114
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g14566	-0.154938367471241
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g23480	0.0429975619371087
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g28632	0.426661706993634
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g36726	-0.0424648436590534
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g38705	-0.179721188616217
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g39975	0.0110976840138727
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g61723	-0.62082916003597
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g65081	0.00624563989379777
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g66806	0.652011662708424
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g73017	0.276977311708632
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g73735	-0.0551485017136706
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g83505	-0.00545188177843191
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g83504	-0.105501716839973
"Golgi apparatus subcompartment"	GO:0031985;GO:0098791;GO:0031984	2	g88315	-0.525394890596776
