"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","start","end","saccver","spid","gene_uni","evalue","protein_names","gene_ontology_biological_process","gene_ontology_i_ds"
"g12054",655.427997846771,9.89475459091883,1.08889196514778,9.08699385028148,1.01815145573844e-19,7.12889286278944e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g30042",102.836066252272,6.27215890296311,0.727377074184169,8.62298129205956,6.52331159614982e-18,2.28374615669609e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g55150",441.250151675037,7.47519254852167,0.880757163875693,8.48723445589447,2.1161256533609e-17,4.93889619990078e-13,0,9464,"sp|Q4R4T8|LGMN_MACFA","Q4R4T8","LGMN",5.67e-32,"Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)","negative regulation of ERBB signaling pathway [GO:1901185]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; receptor catabolic process [GO:0032801]; renal system process [GO:0003014]","GO:0003014; GO:0004197; GO:0005764; GO:0006508; GO:0032801; GO:0051603; GO:1901185"
"g30043",241.464053049787,7.08674108182974,0.843872268806677,8.39788359422112,4.54597507339064e-17,7.95750206721665e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g11730",138.486666534113,7.33848576949363,0.910146420912949,8.06297272710533,7.44611407285646e-16,1.04272403030653e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g103777",72.1665996518102,4.8188291792342,0.62784746896285,7.67515904331745,1.65213536680573e-14,1.92798690188339e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g29611",80.3458877166156,4.42106347585362,0.594457901051187,7.43713468697414,1.02892630772251e-13,1.02919088877307e-09,0,35434,"sp|B3EWZ5|MLRP1_ACRMI","B3EWZ5","MLRP1",9.38e-173,"MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",NA,"GO:0005576; GO:0016020"
"g67692",47.362014385733,4.87996394368819,0.664684766219056,7.34177190707561,2.10784401522357e-13,1.84483777822405e-09,0,11389,"sp|P22985|XDH_RAT","P22985","XDH",2.67e-11,"Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; adenosine catabolic process [GO:0006154]; aging [GO:0007568]; allantoin metabolic process [GO:0000255]; AMP catabolic process [GO:0006196]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; dAMP catabolic process [GO:0046059]; deoxyadenosine catabolic process [GO:0006157]; deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; dGMP catabolic process [GO:0046055]; GMP catabolic process [GO:0046038]; guanine catabolic process [GO:0006147]; hypoxanthine catabolic process [GO:0009114]; IMP catabolic process [GO:0006204]; inosine catabolic process [GO:0006148]; iron-sulfur cluster assembly [GO:0016226]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; regulation of epithelial cell differentiation [GO:0030856]; response to aluminum ion [GO:0010044]; response to azide [GO:0097184]; response to carbon monoxide [GO:0034465]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to lipopolysaccharide [GO:0032496]; xanthine catabolic process [GO:0009115]","GO:0000255; GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006147; GO:0006148; GO:0006149; GO:0006154; GO:0006157; GO:0006161; GO:0006196; GO:0006204; GO:0006919; GO:0007568; GO:0007595; GO:0009114; GO:0009115; GO:0009408; GO:0010044; GO:0010629; GO:0016226; GO:0016491; GO:0016529; GO:0030856; GO:0032496; GO:0034465; GO:0042542; GO:0042802; GO:0042803; GO:0043546; GO:0045602; GO:0046038; GO:0046055; GO:0046059; GO:0050421; GO:0050660; GO:0051537; GO:0051898; GO:0070674; GO:0070675; GO:0071347; GO:0071356; GO:0071949; GO:0097184; GO:1900745; GO:1900747; GO:2000379; GO:2001213"
"g68732",53.5885092873462,4.91590052217873,0.674817316111455,7.28478716359259,3.22178523944983e-13,2.50647732106443e-09,0,11159,"sp|P22985|XDH_RAT","P22985","XDH",2.61e-11,"Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; adenosine catabolic process [GO:0006154]; aging [GO:0007568]; allantoin metabolic process [GO:0000255]; AMP catabolic process [GO:0006196]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; dAMP catabolic process [GO:0046059]; deoxyadenosine catabolic process [GO:0006157]; deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; dGMP catabolic process [GO:0046055]; GMP catabolic process [GO:0046038]; guanine catabolic process [GO:0006147]; hypoxanthine catabolic process [GO:0009114]; IMP catabolic process [GO:0006204]; inosine catabolic process [GO:0006148]; iron-sulfur cluster assembly [GO:0016226]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; regulation of epithelial cell differentiation [GO:0030856]; response to aluminum ion [GO:0010044]; response to azide [GO:0097184]; response to carbon monoxide [GO:0034465]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to lipopolysaccharide [GO:0032496]; xanthine catabolic process [GO:0009115]","GO:0000255; GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006147; GO:0006148; GO:0006149; GO:0006154; GO:0006157; GO:0006161; GO:0006196; GO:0006204; GO:0006919; GO:0007568; GO:0007595; GO:0009114; GO:0009115; GO:0009408; GO:0010044; GO:0010629; GO:0016226; GO:0016491; GO:0016529; GO:0030856; GO:0032496; GO:0034465; GO:0042542; GO:0042802; GO:0042803; GO:0043546; GO:0045602; GO:0046038; GO:0046055; GO:0046059; GO:0050421; GO:0050660; GO:0051537; GO:0051898; GO:0070674; GO:0070675; GO:0071347; GO:0071356; GO:0071949; GO:0097184; GO:1900745; GO:1900747; GO:2000379; GO:2001213"
"g11904",93.0112242476842,3.84332991244366,0.536726105858587,7.1606912175356,8.02712750956291e-13,4.68369511637147e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
